序號,行政區,院所名稱,地址,緯度,經度,電話,語音預約,緯度,經度
40,大安區,臺北市立聯合醫院附設大安門診部,臺北市大安區辛亥路三段15號1樓,25.021577,121.544274,(02)27390997,,25.021577,121.544274
41,大安區,啟誠聯合診所,臺北市大安區和平東路二段120號,25.0247199,121.5429539,(02)23784380,,25.0247199,121.5429539
42,大安區,小禾馨小兒專科診所,臺北市大安區新生南路三段4號1樓,25.025638,121.534529,(02)23698833,,25.025638,121.534529
43,大安區,尹書田醫療財團法人書田泌尿科眼科診所,臺北市大安區建國南路二段276號,25.0252194,121.5371884,(02)23690211,,25.0252194,121.5371884
44,大安區,仁安診所,臺北市大安區和平東路二段175巷34號,25.0268541,121.5417644,(02)27065995,,25.0268541,121.5417644
45,大安區,安東診所,臺北市大安區和平東路二段229號,25.0252092,121.5429088,(02)27088995,,25.0252092,121.5429088
46,大安區,吳坤光婦產科診所,臺北市大安區信義路四段59號,25.0335544,121.5454675,(02)27059320,,25.0335544,121.5454675
47,大安區,呂小兒科診所,臺北市大安區通化街24巷6號1樓,25.0317962,121.5538745,(02)27000708,,25.0317962,121.5538745
48,大安區,李細祥內科診所,臺北市大安區四維路198巷30弄5號,25.026519,121.5458646,(02)27018159,,25.026519,121.5458646
49,大安區,杏保醫網信誠診所,臺北市大安區信義路四段197號,25.0334156,121.5514928,(02)27068208,,25.0334156,121.5514928
50,大安區,那明珠診所,臺北市大安區和平東路三段8號,25.0244621,121.5469852,(02)27360589,,25.0244621,121.5469852
51,大安區,松德診所,臺北市大安區四維路170巷16號1樓,25.0281223,121.5473509,(02)27073326,,25.0281223,121.5473509
52,大安區,林繼國診所,臺北市大安區忠孝東路三段217巷1弄12號1樓,25.042392,121.5391259,(02)27315568,,25.042392,121.5391259
53,大安區,邱醫師診所,臺北市大安區和平東路三段288號,25.0208037,121.5561433,(02)27392696,,25.0208037,121.5561433
54,大安區,夏爾診所,臺北市大安區信義路四段265巷54號,25.0351741,121.555769,(02)23255508,,25.0351741,121.555769
55,大安區,家齡診所,臺北市大安區敦化南路一段191號B1,25.0424571,121.5492637,(02)27211258,,25.0424571,121.5492637
56,大安區,健華診所,臺北市大安區和平東路二段299號,25.0249641,121.5447751,(02)27072990,,25.0249641,121.5447751
57,大安區,國立台灣大學保健中心,臺北市大安區羅斯福路四段1號,25.0153816,121.5341658,(02)33662156,,25.0153816,121.5341658
58,大安區,許靜瑛小兒科診所,臺北市大安區和平東路一段230號1樓,25.0260775,121.5323691,(02)23629088,,25.0260775,121.5323691
59,大安區,博全婦產科診所,臺北市大安區大安路一段18號,25.0441073,121.5460712,(02)27774427,,25.0441073,121.5460712
60,大安區,博安家庭醫學診所,臺北市大安區麗水街3號,25.0324319,121.5291,(02)23567066,,25.0324319,121.5291
61,大安區,黃文香兒科診所,臺北市大安區忠孝東路四段250號2樓之1,25.0411765,121.5542524,(02)27313305,,25.0411765,121.5542524
62,大安區,愛群兒童成長診所,臺北市大安區信義路三段155號1樓,25.0336067,121.5428886,(02)55998330,,25.0336067,121.5428886
63,大安區,葉明憲小兒科診所,臺北市大安區羅斯福路三段191號2樓,25.021088,121.528109,(02)23691688,,25.021088,121.528109
64,大安區,劉建宏診所,臺北市大安區大安路二段139號,25.02855,121.5461772,(02)27002368,,25.02855,121.5461772
65,大安區,樂益耳鼻喉科診所,臺北市大安區復興南路二段161號1樓,25.0280339,121.5437215,(02)27096199,,25.0280339,121.5437215
66,大安區,東風診所,臺北市大安區忠孝東路四段132號4樓,25.0412362,121.5481867,(02)27775868,,25.0412362,121.5481867
67,大安區,伊生診所,臺北市大安區忠孝東路四段216巷32弄15號,25.0400063,121.5521399,(02)27751301,,25.0400063,121.5521399
68,大安區,禾馨新生婦幼診所,臺北市大安區新生南路三段2號,25.0258209,121.534547,(02)23682333,,25.0258209,121.534547
69,中山區,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市中山區中山北路二段92號,25.0588457,121.5223977,(02)25433535,,25.0588457,121.5223977
70,中山區,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,臺北市中山區中山北路二段92號,25.0588457,121.5223977,(02)25433535,,25.0588457,121.5223977
71,中山區,協和婦女醫院,臺北市中山區松江路85巷5號,25.0503253,121.5339024,(02)25072222,,25.0503253,121.5339024
72,中山區,臺北市立聯合醫院附設中山門診部,臺北市中山區松江路367號1樓,25.0643338,121.5336997,(02)25013363,,25.0643338,121.5336997
73,中山區,大直佳恩診所,臺北市中山區北安路591號,25.081959,121.548607,(02)25323301,,25.081959,121.548607
74,中山區,大直診所,臺北市中山區北安路595巷2弄2號1樓,25.0819988,121.5483172,(02)25332339,,25.0819988,121.5483172
75,中山區,木生婦幼診所,臺北市中山區長安東路二段90號1-4樓,25.0482593,121.5345612,(02)25012312,,25.0482593,121.5345612
76,中山區,北安聯合診所,臺北市中山區北安路569-3號,25.0809155,121.5482474,(02)25337777,,25.0809155,121.5482474
77,中山區,四季和安婦幼診所,臺北市中山區林森北路458號,25.0608794,121.5253564,(02)25677310,,25.0608794,121.5253564
78,中山區,正恩耳鼻喉科診所,臺北市中山區錦州街321號,25.0603334,121.5386246,(02)25052293,,25.0603334,121.5386246
79,中山區,永育樂群診所,臺北市中山區樂群二路210之2號,25.079518,121.559291,(02)85012268,,25.079518,121.559291
80,中山區,杏慈診所,臺北市中山區民權東路二段152巷2-1號1樓,25.0619681,121.5350437,(02)25013109,,25.0619681,121.5350437
81,中山區,固廉診所,臺北市中山區北安路613號595巷1號地下一層,25.082687,121.548768,(02)25323036,,25.082687,121.548768
82,中山區,高固廉診所,臺北市中山區北安路613號,25.082687,121.548768,(02)25323036,,25.082687,121.548768
83,中山區,惟廉診所,臺北市中山區北安路595巷1號B1,25.0823024,121.5485852,(02)25323036,,25.0823024,121.5485852
84,中山區,莊宇龍診所,臺北市中山區北安路637號1樓,25.08373,121.549022,(02)25331255,,25.08373,121.549022
85,中山區,陳世澤內科診所,臺北市中山區龍江路284-1號,25.0609826,121.5406557,(02)25011239,,25.0609826,121.5406557
86,中山區,陳炯輝診所,臺北市中山區民生東路二段103號,25.0581019,121.531288,(02)25221796,,25.0581019,121.531288
87,中山區,晴光診所,臺北市中山區林森北路556號1樓,25.0642894,121.5254986,(02)25853210,,25.0642894,121.5254986
88,中山區,愛鄰診所,臺北市中山區北安路520-1號,25.0796826,121.5461131,(02)25322333,,25.0796826,121.5461131
89,中山區,農安診所,臺北市中山區農安街62號,25.0647653,121.5284609,(02)25978590,,25.0647653,121.5284609
90,中山區,寧康聯合診所,臺北市中山區龍江路209巷6-1號,25.0564601,121.540973,(02)25013862,,25.0564601,121.540973
91,中山區,榮星診所,臺北市中山區龍江路272號,25.0606048,121.5406268,(02)25168112,,25.0606048,121.5406268
92,中山區,德美診所,臺北市中山區北安路596號1樓,25.0815673,121.5488519,(02)25326618,,25.0815673,121.5488519
93,中山區,慶恩小兒科診所,臺北市中山區吉林路117號,25.0567407,121.5302883,(02)25683199,,25.0567407,121.5302883
94,中山區,鄭志誠小兒科診所,臺北市中山區民生東路一段8號,25.0578291,121.5233323,(02)25512246,,25.0578291,121.5233323
95,中山區,龍江小兒科診所,臺北市中山區龍江路181-1號1樓,25.0552012,121.5407533,(02)25152433,,25.0552012,121.5407533
96,中山區,龍江固廉診所,臺北市中山區龍江路360號,25.0661594,121.5408252,(02)25170093,,25.0661594,121.5408252
97,中山區,雙連婦產科小兒科診所,臺北市中山區民生西路30號4樓,25.0576456,121.5217812,(02)25222350,,25.0576456,121.5217812
98,中山區,綠葉親子診所,臺北市中山區農安街12-1號1樓,25.0648345,121.5237713,(02)25935559,,25.0648345,121.5237713
99,中山區,中崙國際診所,臺北市中山區八德路二段305號1樓,25.0473869,121.542597,(02)27711501,,25.0473869,121.542597
100,中正區,臺北市立聯合醫院和平院區,臺北市中正區中華路二段33號,25.0353943,121.5071105,(02)23889595,,25.0353943,121.5071105
101,中正區,臺北市立聯合醫院婦幼院區,臺北市中正區福州街12號,25.0289947,121.5192885,(02)23916470,,25.0289947,121.5192885
102,中正區,國立臺灣大學醫學院附設醫院兒童醫院,臺北市中正區中山南路8號,25.0443271,121.518583,"(02)23123456
",(02)23567890,25.0443271,121.518583
103,中正區,臺北市立聯合醫院附設中正門診部,臺北市中正區牯嶺街24號,25.0304306,121.5160136,(02)23210168,,25.0304306,121.5160136
104,中正區,禾馨婦產科診所,臺北市中正區懷寧街78號1樓,25.0432027,121.5139338,(02)23612323,,25.0432027,121.5139338
105,中正區,周正成小兒科診所,臺北市中正區徐州路24號,25.0406064,121.5233726,(02)23516830,,25.0406064,121.5233726
106,中正區,和眾綜合診所,臺北市中正區忠孝西路一段6號1樓,25.0457882,121.5179649,(02)23818766,,25.0457882,121.5179649
107,中正區,悅心診所,臺北市中正區羅斯福路二段7-2號,25.0291185,121.5212306,(02)23961008,,25.0291185,121.5212306
108,中正區,健康101診所,臺北市中正區牯嶺街97號1樓,25.0258949,121.5190675,(02)23648085,,25.0258949,121.5190675
109,大同區,臺北市立聯合醫院中興院區,臺北市大同區鄭州路145號,25.0513086,121.5087132,(02)25523234,,25.0513086,121.5087132
110,大同區,臺北市立聯合醫院附設大同門診部,臺北市大同區昌吉街52號1樓,25.0656996,121.5162533,(02)25948971,,25.0656996,121.5162533
111,大同區,建順診所,臺北市大同區甘州街51號1樓,25.0596329,121.5128815,(02)25573250,,25.0596329,121.5128815
112,大同區,施小兒科診所,臺北市大同區重慶北路三段28號,25.0651103,121.5134393,(02)25941935,,25.0651103,121.5134393
113,大同區,鈞生診所,臺北市大同區甘州街28號,25.0588267,121.5126782,(02)25570048,,25.0588267,121.5126782
114,大同區,寧夏診所,臺北市大同區民生西路236號1樓,25.0569008,121.5144381,(02)25586060,,25.0569008,121.5144381
115,大同區,澤康診所,臺北市大同區重慶北路三段71號,25.0663565,121.5139452,(02)25960922,,25.0663565,121.5139452
116,大同區,羅志弘診所,臺北市大同區重慶北路三段115號,25.0674448,121.5139488,(02)25921666,,25.0674448,121.5139488
117,大同區,羅源彰診所,臺北市大同區長安西路137號,25.0514479,121.515086,(02)25552500,,25.0514479,121.515086
118,大同區,悅昇診所,臺北市大同區錦西街50-1號,25.060251,121.519998,(02)25502664,,25.060251,121.519998
119,萬華區,國立臺灣大學醫學院附設醫院北護分院,臺北市萬華區內江街87號,25.0416765,121.5035547,(02)23717101,,25.0416765,121.5035547
120,萬華區,西園醫療社團法人西園醫院,臺北市萬華區西園路二段270號,25.0277299,121.4943799,(02)23076968,,25.0277299,121.4943799
121,萬華區,臺北市立聯合醫院附設萬華門診部,臺北市萬華區東園街152號,25.0232014,121.4976402,(02)23395383,,25.0232014,121.4976402
122,萬華區,可為診所,臺北市萬華區青年路24號1樓,25.0259172,121.5053638,(02)23370111,,25.0259172,121.5053638
123,萬華區,光耳鼻喉科診所,臺北市萬華區青年路90號,25.0231,121.5025942,(02)23077565,,25.0231,121.5025942
124,萬華區,名家耳鼻喉科診所,臺北市萬華區西藏路107-2號1樓,25.0294985,121.5034524,(02)23036513,,25.0294985,121.5034524
125,萬華區,快樂兒童診所,臺北市萬華區寶興街121號,25.0251946,121.4948419,(02)23328610,,25.0251946,121.4948419
126,萬華區,佳安診所,臺北市萬華區青年路34號,25.0257006,121.5045323,(02)23320898,,25.0257006,121.5045323
127,萬華區,青年診所,臺北市萬華區中華路二段424號,25.0275478,121.506136,(02)23032450,,25.0275478,121.506136
128,萬華區,益銓診所,臺北市萬華區萬大路233號,25.0264556,121.5006874,(02)23331323,,25.0264556,121.5006874
129,萬華區,健安診所,臺北市萬華區萬大路432號1樓,25.0208299,121.4980321,(02)23012255,,25.0208299,121.4980321
130,萬華區,聖約翰婦產科診所,臺北市萬華區東園街175號,25.0242278,121.4973673,(02)23098502,,25.0242278,121.4973673
131,萬華區,漢宗小兒科診所,臺北市萬華區中華路二段434號,25.027104,121.5064733,(02)23039022,,25.027104,121.5064733
132,文山區,臺北市立萬芳醫院-委託臺北醫學大學辦理,臺北市文山區興隆路三段111號,25.0004801,121.5584967,(02)29307930,,25.0004801,121.5584967
133,文山區,臺北市立聯合醫院附設政大門診部,臺北市文山區指南路二段117號,24.9876129,121.5765374,(02)82377441,,24.9876129,121.5765374
134,文山區,仁荔健康診所,臺北市文山區興隆路一段258號1樓,24.9984458,121.5449358,(02)29339986,,24.9984458,121.5449358
135,文山區,仁耀診所,臺北市文山區興隆路一段273號,24.998981,121.544426,(02)29317788,,24.998981,121.544426
136,文山區,佳鴻診所,臺北市文山區羅斯福路六段256號1樓,24.9918649,121.540178,(02)29333096,,24.9918649,121.540178
137,文山區,屈銘軒小兒科診所,臺北市文山區興隆路二段301巷4-2號,25.0017769,121.5535166,(02)29308518,,25.0017769,121.5535166
138,文山區,東翰診所,臺北市文山區興隆路二段139號,25.000224,121.548169,(02)29308330,,25.000224,121.548169
139,文山區,林建輝小兒科診所,臺北市文山區興隆路二段70號1樓,24.9997064,121.5479708,(02)29334933,,24.9997064,121.5479708
140,文山區,洪佑承小兒專科診所,臺北市文山區興隆路四段64-2號1樓,24.9850176,121.5613698,(02)29364708,,24.9850176,121.5613698
141,文山區,徐慧玲診所,臺北市文山區興隆路四段97號,24.9884068,121.5604923,(02)22340000,,24.9884068,121.5604923
142,文山區,順欣診所,臺北市文山區木柵路三段112號,24.988673,121.5676749,(02)29391011,,24.988673,121.5676749
143,文山區,黃偉志小兒科診所,臺北市文山區萬慶街12號,24.9923978,121.5401245,(02)29354556,,24.9923978,121.5401245
144,文山區,瑞萱診所,臺北市文山區景華街124號,24.9956492,121.5469277,(02)29305313,,24.9956492,121.5469277
145,文山區,葉洪小兒科診所,臺北市文山區興隆路三段202號,24.9977567,121.5589315,(02)22300055,,24.9977567,121.5589315
146,文山區,德安小兒科診所,臺北市文山區興隆路四段6-10號1樓,24.9860185,121.5609538,(02)29395299,,24.9860185,121.5609538
147,文山區,樂群耳鼻喉科家醫科診所,臺北市文山區木新路三段202號,24.9816663,121.5600328,(02)22340158,,24.9816663,121.5600328
148,文山區,震杰小兒科診所,臺北市文山區景興路129號,24.9944281,121.5449064,(02)89351869,,24.9944281,121.5449064
149,文山區,興隆內科小兒科診所,臺北市文山區興隆路二段17號,24.99891,121.5454169,(02)29311736,,24.99891,121.5454169
150,文山區,興隆李內兒科診所,臺北市文山區興隆路一段12號,25.004163,121.5393419,(02)29314537,,25.004163,121.5393419
151,南港區,臺北市立聯合醫院忠孝院區,臺北市南港區同德路87號,25.0465997,121.5861422,(02)27861288,,25.0465997,121.5861422
152,南港區,臺北市立聯合醫院附設南港門診部,臺北市南港區南港路一段360號1樓,25.0547158,121.6068266,(02)27868756,,25.0547158,121.6068266
153,南港區,中坡耳鼻喉科診所,臺北市南港區中坡南路29號,25.0433858,121.5833753,(02)27850329,,25.0433858,121.5833753
154,南港區,友力耳鼻喉科診所,臺北市南港區中坡北路12號1樓,25.044711,121.5815825,(02)27853913,,25.044711,121.5815825
155,南港區,天仁小兒科診所,臺北市南港區成福路21號,25.0448163,121.5867293,(02)27862687,,25.0448163,121.5867293
156,南港區,天仁健康診所,臺北市南港區成福路21號,25.0448163,121.5867293,(02)27862687,,25.0448163,121.5867293
157,南港區,永育醫療福德診所,臺北市南港區福德街320號,25.039477,121.5878487,(02)27850700,,25.039477,121.5878487
158,南港區,李文珍小兒科診所,臺北市南港區研究院路二段74號,25.0455491,121.6151031,(02)26511871,,25.0455491,121.6151031
159,南港區,杏安診所,臺北市南港區同德路74、76號1樓,25.045681,121.585405,(02)27892008,,25.045681,121.585405
160,南港區,松展診所,臺北市南港區忠孝東路六段110巷18號,25.0467205,121.5850593,(02)27631373,,25.0467205,121.5850593
161,南港區,陳志鑫診所,臺北市南港區八德路四段812號,25.0509295,121.581555,(02)27839698,,25.0509295,121.581555
162,南港區,陳勝吉診所,臺北市南港區研究院路一段115號1樓,25.0515579,121.6161373,(02)27836972,,25.0515579,121.6161373
163,南港區,義仁兒科診所,臺北市南港區玉成街138號1樓,25.0450264,121.5831839,(02)26515929,,25.0450264,121.5831839
164,南港區,維康診所,臺北市南港區研究院路二段84巷1號1樓,25.0453206,121.6151986,(02)26517748,,25.0453206,121.6151986
165,南港區,蔣小兒科診所,臺北市南港區玉成街166巷30號1樓,25.0439359,121.583312,(02)26513761,,25.0439359,121.583312
166,內湖區,三軍總醫院附設民眾診療服務處,臺北市內湖區成功路二段325號,25.0733691,121.5959272,(02)87923311,,25.0733691,121.5959272
167,內湖區,中國醫藥大學附設醫院臺北分院,臺北市內湖區內湖路二段360號,25.082146,121.5907328,(02)27919696,,25.082146,121.5907328
168,內湖區,康寧醫療財團法人康寧醫院,臺北市內湖區成功路五段420巷26號,25.0756867,121.608877,(02)26345500,,25.0756867,121.608877
169,內湖區,臺北市立聯合醫院附設內湖門診部,臺北市內湖區民權東路六段99號之1,25.0693633,121.5889951,(02)27908387,,25.0693633,121.5889951
170,內湖區,小禾馨民權小兒專科診所,臺北市內湖區行忠路191號1樓,25.0674958,121.5817825,(02)55713333,,25.0674958,121.5817825
171,內湖區,仁弘耳鼻喉科診所,臺北市內湖區內湖路一段737巷50弄33號1樓,25.0806768,121.5784264,(02)26596360,,25.0806768,121.5784264
172,內湖區,日新診所,臺北市內湖區成功路五段446號1樓,25.0747932,121.6072004,(02)26342743,,25.0747932,121.6072004
173,內湖區,王慶森診所,臺北市內湖區港墘路65號,25.0811937,121.5782848,(02)27986052,,25.0811937,121.5782848
174,內湖區,永育醫療大湖診所,臺北市內湖區成功路四段366號,25.0848303,121.6004361,(02)27906002,,25.0848303,121.6004361
175,內湖區,禾馨民權婦幼診所,臺北市內湖區民權東路六段42號2樓,25.0674957,121.5816723,(02)55713333,,25.0674957,121.5816723
176,內湖區,成安耳鼻喉科診所,臺北市內湖區成功路四段61巷10號,25.0817373,121.5928208,(02)27935940,,25.0817373,121.5928208
177,內湖區,林永正診所,臺北市內湖區康樂街130號,25.0716329,121.6191009,(02)26315567,,25.0716329,121.6191009
178,內湖區,林孟勳診所,臺北市內湖區成功路四段61巷32弄2號,25.0809957,121.5933335,(02)87920955,,25.0809957,121.5933335
179,內湖區,林登山耳鼻喉科診所,臺北市內湖區文德路96號,25.0782133,121.5825415,(02)26596638,,25.0782133,121.5825415
180,內湖區,育睿診所,臺北市內湖區內湖路一段217巷35號,25.0831092,121.5639639,(02)26560801,,25.0831092,121.5639639
181,內湖區,馬思特診所,臺北市內湖區成功路四段53號1樓,25.0816562,121.5921514,(02)27925994,,25.0816562,121.5921514
182,內湖區,國泰醫療財團法人內湖國泰診所,臺北市內湖區瑞光路337號C棟,25.0778823,121.5754083,(02)87972121,,25.0778823,121.5754083
183,內湖區,康育診所,臺北市內湖區成功路三段189號2樓,25.0805298,121.5910013,(02)27909134,,25.0805298,121.5910013
184,內湖區,康樂診所,臺北市內湖區康樂街80號、82號、84號,25.0702234,121.6188311,(02)26308800,,25.0702234,121.6188311
185,內湖區,焉醫師診所,臺北市內湖區內湖路二段21號,25.0788586,121.5795351,(02)27995008,,25.0788586,121.5795351
186,內湖區,連安診所,臺北市內湖區內湖路一段619號1樓,25.0806564,121.5741515,(02)26276705,,25.0806564,121.5741515
187,內湖區,湖欣診所,臺北市內湖區成功路四段327號,25.0845096,121.598994,(02)27918350,,25.0845096,121.598994
188,內湖區,陽光活力診所,臺北市內湖區瑞光路500號1樓,25.0792407,121.5682024,(02)87973828,,25.0792407,121.5682024
189,內湖區,新明診所,臺北市內湖區新明路386號,25.0548379,121.5803312,(02)87921282,,25.0548379,121.5803312
190,內湖區,劉淦華診所,臺北市內湖區金龍路43號,25.0848929,121.5938985,(02)27905374,,25.0848929,121.5938985
191,內湖區,雙湖診所,臺北市內湖區金龍路49號,25.084937,121.593623,(02)27910066,,25.084937,121.593623
192,內湖區,魏之明小兒科診所,臺北市內湖區康寧路三段54-6號,25.0714109,121.6096076,(02)26306968,,25.0714109,121.6096076
193,內湖區,魏穀年診所,臺北市內湖區內湖路一段403號,25.0818086,121.5705513,(02)26572691,,25.0818086,121.5705513
194,內湖區,佳霖診所,臺北市內湖區東湖路147號2樓,25.0681719,121.6172215,(02)26334535,,25.0681719,121.6172215
195,內湖區,高峰診所,臺北市內湖區內湖路二段39號1樓,25.0789438,121.579836,(02)26591888,,25.0789438,121.579836
196,士林區,新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路95號,25.0964085,121.520938,(02)28332211,,25.0964085,121.520938
197,士林區,臺北市立聯合醫院陽明院區,臺北市士林區雨聲街105號,25.1051369,121.5318912,(02)28353456,,25.1051369,121.5318912
198,士林區,臺北市立聯合醫院附設士林門診部,臺北市士林區中正路439號1樓,25.0928085,121.5197824,(02)28836268,,25.0928085,121.5197824
199,士林區,士林小兒科診所,臺北市士林區中正路249號,25.0950678,121.5253681,(02)28812485,,25.0950678,121.5253681
200,士林區,小禾馨士林小兒專科診所,臺北市士林區中正路289號,25.0946897,121.5239291,(02)28827333,,25.0946897,121.5239291
201,士林區,存德小兒科診所,臺北市士林區文林路460號,25.0956489,121.5246179,(02)28342567,,25.0956489,121.5246179
202,士林區,何小兒科診所,臺北市士林區福港街176號,25.0866141,121.5176786,(02)28827401,,25.0866141,121.5176786
203,士林區,貝爾診所,臺北市士林區中山北路七段82巷9號1樓,25.1213403,121.5324541,(02)28729980,,25.1213403,121.5324541
204,士林區,佩佩婦幼診所,臺北市士林區中山北路六段182號,25.1075469,121.5252705,(02)28386262,,25.1075469,121.5252705
205,士林區,和謙耳鼻喉科診所,臺北市士林區社中街362號,25.0924774,121.5040798,(02)28165678,,25.0924774,121.5040798
206,士林區,忠誠聯合診所,臺北市士林區忠誠路二段50巷35號,25.110809,121.5290786,(02)88661176,,25.110809,121.5290786
207,士林區,林博通醫師診所,臺北市士林區通河街60號,25.0806319,121.5210112,(02)28851148,,25.0806319,121.5210112
208,士林區,邱世昌診所,臺北市士林區文林路718號,25.1024689,121.520791,(02)28328088,,25.1024689,121.520791
209,士林區,科安診所,臺北市士林區社中街116號,25.0898456,121.5104206,(02)28110699,,25.0898456,121.5104206
210,士林區,張虔熙小兒科診所,臺北市士林區中山北路六段282號,25.1101049,121.5256499,(02)28361368,,25.1101049,121.5256499
211,士林區,愛林診所,臺北市士林區承德路四段222號,25.0884766,121.5215108,(02)28836881,,25.0884766,121.5215108
212,士林區,粱耳鼻喉科診所,臺北市士林區社正路12之1號,25.0885199,121.5092819,(02)28168456,,25.0885199,121.5092819
