ROW_NO,機構代碼,機構層級,機構名稱,機構電話,機構地址,緯度,經度,給藥,衛教
53,5931018606,藥局,匯康藥局,02-29636398,新北市板橋區長安里中山路一段262號1樓,25.0145571,121.4717542,V,V
54,1131110516,區域醫院,國泰醫療財團法人汐止國泰綜合醫院,02-26482121,新北市汐止區建成路59巷2號地下4樓至地上12樓,25.0729852,121.6609281,V,V
55,2331110011,衛生所,新北市汐止區衛生所,02-26412030,新北市汐止區新台五路1段266號地下1樓．地上1至4樓,25.1121605,121.8542328,V,V
56,3531110356,診所,佑安診所,02-26488781,新北市汐止區大同路2段370號1樓,25.0670032,121.6576837,V,V
57,3531110972,診所,湖前診所,02-26922219,新北市汐止區湖前街60號－3,25.0701555,121.6321538,V,V
58,3531112556,診所,洪耳鼻喉科診所,02-26490123,新北市汐止區大同路2段332號1樓,25.0669145,121.6564467,V,V
59,3531112654,診所,祥和診所,02-86422558,新北市汐止區建成路37巷13號,25.0724009,121.6635033,V,V
60,3531112716,診所,人禾小兒科診所,02-86463037,新北市汐止區仁愛路140號1樓,25.0642869,121.6636031,V,V
61,3531112887,診所,德祐小兒科診所,02-26945180,新北市汐止區福德一路117之1號1樓,25.0677331,121.6375689,V,V
62,3531113035,診所,合康診所,02-86425222,新北市汐止區大同路2段512號1樓,25.0683457,121.661079,V,
63,3531113366,診所,育和診所,02-26486803,新北市汐止區中正路31號1、2樓,25.070171,121.662359,V,
64,3531113517,診所,幸湖診所,02-26925222,新北市汐止區湖前街27號1樓,25.06918,121.632267,V,V
65,5931111988,藥局,滿益藥局,02-86421562,新北市汐止區仁愛路130號,25.0639056,121.6632451,V,V
66,5931113348,藥局,富康活力中興藥局,02-26950222,新北市汐止區中興路156號1樓,25.0649594,121.6323337,V,V
67,2331180013,衛生所,新北市深坑區衛生所,02-26621567#304,新北市深坑區深坑街165號1－3樓,25.0009135,121.6125718,V,V
68,3531180152,診所,林振得診所,02-26647878,新北市深坑區北深路2段106號,25.0025605,121.6152949,V,V
69,3531181319,診所,麒安診所,02-26620275,新北市深坑區埔新街41號1樓,25.0027789,121.6209117,V,V
70,3531181337,診所,紹善診所,02-26628011,新北市深坑區北深路三段99號1樓、99號2樓,25.0016498,121.605884,V,
71,2331190019,衛生所,新北市石碇區衛生所,02-26631190,新北市石碇區潭邊里碇坪路1段82號,24.9365143,121.7124307,V,V
72,2331120017,衛生所,新北市瑞芳區衛生所,02-24972132,新北市瑞芳區明燈路3段1號,25.107323,121.8089504,V,V
73,3531120183,診所,詠安診所,02-24960682,新北市瑞芳區明燈路3段79號1樓,25.1082461,121.8052573,V,V
74,2331240014,衛生所,新北市平溪區衛生所,02-24951015,新北市平溪區公園街17號1樓,25.0248195,121.7372435,V,V
75,2331250010,衛生所,新北市雙溪區衛生所,02-24931210,新北市雙溪區新基南路18號,24.9971842,121.822098,V,V
76,2331260016,衛生所,新北市貢寮區衛生所,02-24901590,新北市貢寮區朝陽街70巷10號、新北市貢寮區仁愛路128號,25.021931,121.9095858,V,V
77,1131050515,醫學中心,佛教慈濟醫療財團法人台北慈濟醫院,02-66289779,新北市新店區建國路289號,24.9861221,121.5355355,V,V
78,1231050017,區域醫院,天主教耕莘醫療財團法人耕莘醫院,02-22193391,新北市新店區中正路362號、車子路15號,24.9763593,121.5359298,V,V
79,1531051163,地區醫院,豐榮醫院,02-22122111,新北市新店區安德街26巷3號B棟,24.9632662,121.5113452,V,V
80,1531051172,地區醫院,新北仁康醫院,02-22152345,新北市新店區安康路2段323號地上1至2樓B棟,24.9555591,121.4997383,V,V
81,2331050010,衛生所,新北市新店區衛生所,02-29113984,新北市新店區北新路1段86號12樓,24.978282,121.5394822,V,V
82,3531051307,診所,護康診所,02-86663366,新北市新店區安成街32號,24.9610976,121.5101281,V,V
83,3531051325,診所,富森診所,02-86658711,新北市新店區三民路97號,24.971739,121.535314,V,V
84,3531051343,診所,佳音診所,02-86660033,新北市新店區安民街135號,24.9693196,121.516375,V,V
85,3531052635,診所,林建良耳鼻喉科診所,02-29131313,新北市新店區中正路158號1樓,24.9719129,121.5414838,V,V
86,3531052804,診所,林逢慶診所,02-22156150,新北市新店區安康路3段21號1樓,24.9533232,121.4934568,V,V
87,3531052966,診所,佑康聯合診所,02-22153239,新北市新店區安康路3段17號1樓,24.9533685,121.4935792,V,V
88,3531053141,診所,安立診所,02-22177669,新北市新店區北宜路2段28號1樓,24.9514069,121.5482282,V,V
89,3531053150,診所,聖新診所,02-29131415,新北市新店區寶橋路4號1樓,24.9738892,121.5434198,V,V
90,3531053178,診所,安民診所,02-22129283,新北市新店區安民街235號1樓,24.9719464,121.5169974,V,
91,3531053409,診所,耀程耳鼻喉科診所,02-29171110,新北市新店區三民路66號1樓,24.9723508,121.5350888,V,
92,3531053641,診所,聖康診所,02-86655858,新北市新店區北新路3段104號1樓,24.9812796,121.5419896,V,V
93,3531053650,診所,大豐耳鼻喉科診所,02-22193122,新北市新店區建國路161號1樓,24.9789953,121.5386501,V,
94,3531053767,診所,日安診所,02-89112388,新北市新店區中正路289號1樓、2樓,24.9744087,121.5373231,V,V
95,3531053909,診所,瑞安耳鼻喉科診所,02-29109696,新北市新店區中正路140號1樓,24.971584,121.541948,V,V
96,3531053918,診所,康禾診所,02-29109696,新北市新店區中正路140號1樓,24.971584,121.541948,V,V
97,3531053972,診所,蘇永誠家醫科診所,02-29160650,新北市新店區北新路1段52號1樓,24.978282,121.5394822,V,
98,3531054200,診所,安倍診所,02-89119181,新北市新店區中正路132號1樓,24.9715093,121.5419883,V,V
99,3531054291,診所,睿安診所,02-29109696,新北市新店區中正路140號1樓,24.971584,121.541948,V,V
100,3531054399,診所,嘉齊診所,02-89193094,新北市新店區北新路一段56號1樓,24.9662843,121.5411313,V,V
101,5931052313,藥局,欣康藥局,02-89113189,新北市新店區中正路293號1樓,24.9745086,121.5372159,V,V
102,5931053409,藥局,寶德藥局,02-22145219,新北市新店區中興路1段185號（1樓）,24.9585377,121.5386808,V,V
103,5931053543,藥局,法米大坪林藥局,02-89147336,新北市新店區北新路三段84號1樓,24.980621,121.542063,V,V
104,2331200010,衛生所,新北市坪林區衛生所,02-26656272,新北市坪林區坪林街104號,24.9359218,121.7116516,V,V
105,2331290014,衛生所,新北市烏來區衛生所,02-26617200,新北市烏來區新烏路5段109號,24.8719975,121.5479599,V,V
106,1231030015,地區醫院,天主教耕莘醫療財團法人永和耕莘醫院,02-29286060,新北市永和區中興街80號Ｂ1-7樓、國光路123號Ｂ3-11樓,25.0118281,121.5179183,V,V
107,1531031278,地區醫院,永和復康醫院,02-29240925,新北市永和區中和路575、577、579號1至4樓,25.0103251,121.5145353,V,V
108,2331030018,衛生所,新北市永和區衛生所,02-32332780,新北市永和區秀朗路1段137號1、2、3樓,24.9989399,121.5213727,V,V
109,3531030077,診所,唐小兒科診所,02-29296170,新北市永和區中正路436，438號1，2樓,25.0025722,121.517776,V,V
110,3531030264,診所,蕭正貴小兒科家庭醫學科診所,02-29428333,新北市永和區得和路198號,24.9999403,121.520199,V,V
111,3531031289,診所,洪源裕小兒科診所,02-89266818,新北市永和區竹林路181號1、2樓,25.0096899,121.5207021,V,V
112,3531031878,診所,博新小兒科家庭醫學科診所,02-32334150,新北市永和區仁愛路24號,25.0136215,121.5147199,V,V
113,3531031903,診所,長欣診所,02-22311663,新北市永和區文化路78號,25.0152527,121.5141665,V,V
114,3531033532,診所,文林診所,02-22323300,新北市永和區仁愛路15號1樓,25.0133857,121.5147018,V,
115,3531033827,診所,和安耳鼻喉科診所,02-29223000,新北市永和區中和路525號1樓,25.0028105,121.5110675,V,V
116,3531034020,診所,洪碩壎小兒科診所,02-29461171,新北市永和區中正路157號1樓,24.9985135,121.5163421,V,V
117,3531034066,診所,柯景馨診所,02-29275500,新北市永和區得和路307號1樓,24.999679,121.5231714,V,
118,3531034413,診所,惠恩診所,02-29249333,新北市永和區保安路77號1樓,25.0147589,121.5086664,V,V
119,3531034459,診所,永平身心診所,02-29205660,新北市永和區中山路1段174號1樓,25.0057564,121.5061052,V,
120,3531034879,診所,杏日診所,02-29425936,新北市永和區中正路111號1、2樓,24.9975576,121.5154885,V,V
121,3531035134,診所,杏福診所,02-22320101,新北市永和區得和路289號1樓,24.9997914,121.522688,V,V
122,5931030013,藥局,皇誼藥局,02-29278732,新北市永和區文化路33號,25.0149476,121.5147119,V,V
123,5931032759,藥局,友辰藥局,02-29267131,新北市永和區中正路380號1樓,25.0012879,121.517845,V,V
124,5931033649,藥局,敦品民治藥局,02-29494150,新北市永和區民治街81號1樓,24.9981099,121.51748,V,V
125,5931033676,藥局,九州藥局,02-29226879,新北市永和區自由街5號1樓,25.0068569,121.5150964,V,V
126,5931033989,藥局,悠活藥局,02-31516288,新北市永和區得和路330號1樓,24.9993478,121.5234415,V,V
127,5931034084,藥局,柏愛藥局,02-89285609,新北市永和區竹林路57號1樓,25.0138706,121.5182358,V,V
128,5931034502,藥局,德和便利藥局,02-89431417,新北市永和區得和路194號1樓,24.999633,121.520081,V,V
129,5931034717,藥局,樂華康之友藥局,02-22331499,新北市永和區中山路一段141號1樓,25.0097384,121.5104304,V,V
130,1331040513,醫學中心,衛生福利部雙和醫院（委託臺北醫學大學興建經營）,02-22490088,新北市中和區中正路291號,24.9927442,121.4936559,V,V
131,1531040259,地區醫院,中祥醫院,02-22405055,新北市中和區中山路2段138號2－4樓140號及142號,25.0032502,121.5020569,V,
132,2331040014,衛生所,新北市中和區衛生所,02-22491936,新北市中和區南山路4巷3號,24.9985288,121.5017142,V,V
133,3531040957,診所,中和李內科診所,02-22454776,新北市中和區景平路718號,25.002853,121.49682,V,V
134,3531041052,診所,家安診所,02-22475531,新北市中和區中山路2段248號,25.0026568,121.4977833,V,
135,3531041623,診所,吳嘉生診所,02-22462402,新北市中和區中和路190號1樓至3樓,24.9995603,121.5050636,V,V
136,3531042291,診所,雙怡診所,02-29466112,新北市中和區華新街49號,24.9846435,121.5079088,V,V
137,3531042344,診所,南勢角復健診所,02-29477360,新北市中和區景安路207號2樓,24.9920571,121.5046994,V,V
138,3531042399,診所,慧禮診所,02-89421028,新北市中和區自立路159號1樓,24.9927657,121.5228182,V,V
139,3531044491,診所,嘉仁診所,02-29521878,新北市中和區華順街132號1樓,24.9961952,121.4647628,V,V
140,3531044535,診所,唯安診所,02-29479165,新北市中和區景新街455號1、2樓,24.988416,121.513319,V,V
141,3531044642,診所,佳和診所,02-22475588,新北市中和區光華街7號1樓,25.0044076,121.5044242,V,V
142,3531045532,診所,捷安診所,02-22331117,新北市中和區中和路456號1樓、2樓,25.0037397,121.512122,V,V
143,3531045765,診所,凱程診所,02-22231868,新北市中和區員山路150之8號1樓,24.997968,121.481427,V,V
144,3531046253,診所,樂活精神科診所,02-29463655,新北市中和區安樂路25號1樓,24.9923929,121.511609,V,
145,3531046271,診所,安祐診所,02-86681070,新北市中和區景新街401號2樓,24.9897361,121.5126799,V,V
146,3531046280,診所,健和診所,02-86681070,新北市中和區景新街401號1、2樓,24.9897361,121.5126799,V,
147,3531046566,診所,維發診所,02-29481089,新北市中和區華新街26號1樓,24.9847426,121.5075928,V,
148,3531046600,診所,通安診所,02-22433160,新北市中和區南山路45號1樓,24.9986069,121.5022981,V,V
149,3731042713,牙科診所,菁英牙醫診所,02-82423466,新北市中和區景平路524號,24.9943103,121.5031111,V,
150,3731043783,牙科診所,東陽牙醫診所,02-29264055,新北市中和區中和路440號1樓、2樓,25.0035509,121.511942,V,
151,5931040055,藥局,瑞發藥局,02-22235319,新北市中和區民享街56－1號,25.002243,121.474027,V,V
152,5931040215,藥局,華新藥局,02-29448345,新北市中和區華新街73號,24.9837297,121.5083393,V,V
153,5931040297,藥局,信隆大藥局,02-29426196,新北市中和區安樂路6號1至2樓,24.9916868,121.5118021,V,V
154,5931040733,藥局,日發藥局,02-29424926,新北市中和區興南路2段52－4號,24.9851217,121.506525,V,V
155,5931044133,藥局,康富力藥局,02-29429896,新北市中和區仁愛街32號1樓,24.988425,121.5108865,V,V
156,5931044393,藥局,躍獅康銓藥局,02-29646452,新北市中和區莒光路146號1樓,25.0008728,121.472472,V,V
157,5931044642,藥局,貞心藥局,02-29203865,新北市中和區永貞路280之1號1樓,25.0040324,121.5131663,V,V
158,5931044875,藥局,誼安健業藥局,02-86600058,新北市中和區宜安路118巷20號1樓,24.9986146,121.5108861,V,V
159,5931045729,藥局,力賀藥局,02-22473247,新北市中和區連城路7號1樓,25.0021165,121.4992382,V,V
160,1131130018,區域醫院,新北市立土城醫院（委託長庚醫療財團法人興建經營）,02-22630588,新北市土城區金城路2段6號,24.9759558,121.4488072,V,V
161,1531130052,地區醫院,廣川醫院,02-22617000,新北市土城區裕民路274、276、278號,24.9822464,121.4548156,V,V
162,2331130013,衛生所,新北市土城區衛生所,02-22603181,新北市土城區和平路26號1、2樓,24.9728567,121.4431739,V,V
163,3531130125,診所,秀偉小兒科診所,02-22620555,新北市土城區金城路2段380號,24.9854467,121.4633119,V,V
164,3531130358,診所,賴家庭醫學科診所,02-22624309,新北市土城區中央路1段169號1樓,24.991566,121.448764,V,V
165,3531130483,診所,土城診所,02-22603307,新北市土城區中央路2段177巷22號1樓,24.9760331,121.4428391,V,V
166,3531130634,診所,蔡永福小兒科診所,02-22669887,新北市土城區金城路3段176－1號1樓,24.987737,121.46803,V,V
167,3531130750,診所,張國樑診所,02-22739989,新北市土城區學府路1段72號1樓,24.9885054,121.459747,V,V
168,3531130812,診所,廣全診所,02-22625736,新北市土城區學成路2號1、2樓,24.9864876,121.4536789,V,V
169,3531131140,診所,泰康診所,02-22636123,新北市土城區中央路2段238號,24.9751113,121.4417368,V,V
170,3531133064,診所,頂埔中心診所,02-22671382,新北市土城區中央路4段286號1樓,24.9565515,121.4142602,V,V
171,3531133171,診所,裕安診所,02-22613300,新北市土城區裕民路131號1樓,24.9866056,121.4515205,V,V
172,3531133331,診所,廣益診所,02-89662262,新北市土城區廣明街56號1樓,24.9934253,121.455292,V,V
173,3531133368,診所,博盛耳鼻喉科診所,02-22622331,新北市土城區立德路66、68號1樓,24.9867854,121.4640006,V,V
174,3531133402,診所,博聖診所,02-22622331,新北市土城區立德路66、68號1樓,24.9867854,121.4640006,V,V
175,3531133475,診所,博勝診所,02-22622331,新北市土城區立德路66、68號1樓,24.9867854,121.4640006,V,V
176,3531133644,診所,土城中央診所,02-22748499,新北市土城區中央路2段219號1樓,24.9738145,121.4410431,V,V
177,3531133715,診所,瑞明診所,02-89663353,新北市土城區廣明街63巷2弄1號1樓,24.9936172,121.4545354,V,V
178,3531133804,診所,延和祥恩診所,02-22731129,新北市土城區延和路92號1樓,24.9894522,121.4665236,V,V
179,3531133813,診所,康城診所,02-82732660,新北市土城區中正路152號,24.9756364,121.4462421,V,V
180,3531133868,診所,同心學府診所,02-77179713,新北市土城區學府路二段351號1、2樓、353號1樓,24.9756012,121.4454779,V,V
181,5931130349,藥局,祥發藥局,02-22655056,新北市土城區青雲路255號,24.9808672,121.4592173,V,V
182,5931132601,藥局,吉城大藥局,02-22626870,新北市土城區學府路1段205號1樓,24.9885054,121.459747,V,V
183,5931133019,藥局,學府松藥局,02-82628665,新北市土城區學府路一段38號1、2樓,24.9886471,121.4580043,V,V
184,5931133206,藥局,樂利藥局,02-22630092,新北市土城區裕民路77號1樓,24.9876241,121.4498465,V,V
185,5931133797,藥局,欣?藥局,02-82617996,新北市土城區學士路423號1樓,24.9766627,121.4455807,V,V
186,1131090019,區域醫院,行天宮醫療志業醫療財團法人恩主公醫院,02-26723456,新北市三峽區復興路399號、中山路198、258號,24.9383661,121.3630686,V,V
187,2331090014,衛生所,新北市三峽區衛生所,02-26711592,新北市三峽區光明路71號3樓,24.9284222,121.3761849,V,V
188,3531090055,診所,主恩診所,02-26714328,新北市三峽區大同路98－2號1樓,24.9277544,121.3755123,V,V
189,3531091838,診所,如原診所,02-26713119,新北市三峽區文化路264－1號1樓,24.9358206,121.3667424,V,V
190,3531092102,診所,星龍耳鼻喉科診所,02-26711676,新北市三峽區國際一街5號1樓,24.94309,121.374561,V,V
191,5931091623,藥局,兆康藥局,02-26717875,新北市三峽區中華路22號1樓,24.9328645,121.3742197,V,V
192,5931091829,藥局,有新藥局,02-26710769,新北市三峽區學勤路18號1樓,24.9454655,121.3737311,V,V
193,5931092291,藥局,桔子藥局,02-86720186,新北市三峽區大德路186號1樓,24.9453456,121.3758793,V,V
194,1531071030,地區醫院,仁愛醫院,02-26834567,新北市樹林區文化街9號,24.9871959,121.4199928,V,V
195,2331070012,衛生所,新北市樹林區衛生所,02-26812134,新北市樹林區樹新路40－7號1、2樓,24.9963198,121.428854,V,V
196,3531070820,診所,樹林泰新診所,02-26874410,新北市樹林區中山路1段30號,25.0512149,121.5134639,V,
197,3531072306,診所,安泰診所,02-26831199,新北市樹林區中山路1段123號1、2、3、4樓,24.9926446,121.4239162,V,V
198,3531072379,診所,大樹診所,02-26818919,新北市樹林區鎮前街19號、19之1號1樓、21號2樓,24.9925864,121.4260355,V,V
199,3531072468,診所,信和診所,02-26822100,新北市樹林區博愛街178號1、2樓,24.990589,121.4256496,V,V
200,3531072477,診所,信和耳鼻喉科診所,02-26822100,新北市樹林區博愛街178號1、2樓,24.990589,121.4256496,V,
201,3531072575,診所,樹林金鶯診所,02-86850096,新北市樹林區中華路124號1樓,24.9806516,121.4176074,V,V
202,3531072619,診所,欣悅親子耳鼻喉科診所,02-26686322,新北市樹林區學府路296號1樓,24.9501116,121.3789459,V,V
203,5931070044,藥局,正宜藥局,02-26805678,新北市樹林區佳園路1段39號,24.9718322,121.3927795,V,V
204,5931070053,藥局,仁一藥局,02-26893915,新北市樹林區中正路622號,25.0160249,121.4102921,V,V
205,5931071774,藥局,澤安藥師藥局,02-26872764,新北市樹林區保安二街26號1樓,24.9946937,121.4247384,V,V
206,5931072039,藥局,樹林藥師藥局,02-26823030,新北市樹林區鎮前街24號1樓,24.9931799,121.4260709,V,V
207,5931072217,藥局,協興藥局,02-86851736,新北市樹林區東華街89號1樓,24.980491,121.415907,V,V
208,2331080018,衛生所,新北市鶯歌區衛生所,02-26702304,新北市鶯歌區文化路389號,24.9504204,121.3524958,V,V
209,3531080200,診所,崇文診所,02-26783366,新北市鶯歌區國慶街141號,24.9535613,121.3509337,V,V
210,3531080433,診所,康健家庭醫學科診所,02-26788558,新北市鶯歌區建國路231號,24.95331,121.3485565,V,V
211,3531081494,診所,慈德聯合診所,02-26772600,新北市鶯歌區國慶街151號1樓,24.9533937,121.3510918,V,V
212,5931081618,藥局,美運寶中西藥局,02-86777773,新北市鶯歌區永和街56巷4號1樓,24.967859,121.3335756,V,V
213,0131020016,區域醫院,新北市立聯合醫院,02-29829111,新北市三重區新北大道1段3號、3之1號、板橋區英士路198號,25.0470319,121.4838873,V,V
214,1531021165,地區醫院,三重中興醫院,02-29959680,新北市三重區中興北街21號,25.0464905,121.4696644,V,V
215,1531021192,地區醫院,宏仁醫院,02-29788877,新北市三重區水漾路一段一五八號,25.0543988,121.4832301,V,V
216,2331020012,衛生所,新北市三重區衛生所,02-29825233,新北市三重區新北大道1段1號,25.0614534,121.4867114,V,V
217,3531020884,診所,洪文武診所,02-29765731,新北市三重區集美街162號1樓,25.0530964,121.4899512,V,V
218,3531021505,診所,重仁診所,02-29958283,新北市三重區重新路5段592號1樓,25.0453322,121.4693633,V,V
219,3531022226,診所,九如聯合診所,02-28575600,新北市三重區仁愛街753號1樓,25.0803477,121.4813886,V,V
220,3531022771,診所,佳仁診所,02-29741152,新北市三重區中正南路5號,25.0604335,121.493291,V,V
221,3531022815,診所,吳英芳診所,02-29755521,新北市三重區龍門路161號,25.0729451,121.4988253,V,V
222,3531024239,診所,簡修平診所,02-89825506,新北市三重區正義北路300號之3,25.0696489,121.4953021,V,V
223,3531024462,診所,德河聯合診所,02-89851515,新北市三重區重陽路3段115號1樓、117號1－4樓,25.0685052,121.4909068,V,
224,3531024668,診所,集美診所,02-29775177,新北市三重區集美街174－1號,25.0533028,121.4903454,V,V
225,3531025003,診所,安禾診所,02-29820632,新北市三重區田安里中華路89號1樓,25.0629112,121.4837501,V,V
226,3531025156,診所,洋基耳鼻喉科診所,02-89810900,新北市三重區正義北路288號1樓,25.0694637,121.495462,V,V
227,3531025290,診所,明安耳鼻喉科診所,02-29862228,新北市三重區正義北路54、56號1．2樓,25.0638312,121.4971934,V,V
228,3531025307,診所,詹益智耳鼻喉科診所,02-29859589,新北市三重區重陽路４段６號１樓,25.0688993,121.4905484,V,V
229,3531025389,診所,重新診所,02-29765868,新北市三重區重新路2段150號1、2樓,25.0614833,121.4956725,V,V
230,3531025469,診所,張必正診所,02-89726657,新北市三重區重新路三段66號1樓,25.0610723,121.4935826,V,V
231,3531025530,診所,李瑞相診所,02-29826632,新北市三重區中華路89號1樓,25.0629112,121.4837501,V,V
232,3531025610,診所,健福診所,02-89851660,新北市三重區溪尾街171、173號1樓,25.0802617,121.4890189,V,V
233,3531025709,診所,康新診所,02-29865982,新北市三重區正義北路185號1樓、2樓,25.0679173,121.4964592,V,
234,3531025718,診所,康歆診所,02-29865982,新北市三重區正義北路185號1樓、2樓,25.0679173,121.4964592,V,
235,3531025790,診所,康昕診所,02-29865982,新北市三重區正義北路185號1、2樓,25.0679173,121.4964592,V,V
236,3531025889,診所,宏生診所,02-29819948,新北市三重區五華街72號1樓,25.0819208,121.4932963,V,V
237,3531026260,診所,正和診所,02-29828828,新北市三重區正義北路278號1樓,25.0690833,121.4956628,V,V
