序號,行政區,院所名稱,地址,緯度,經度,電話,緯度.1,經度.1,district
19,松山區,車參薇小兒科診所,臺北市松山區八德路三段195號１樓,25.0481627,121.5561799,02-2577-0101,25.0481627,121.5561799,松山區
20,松山區,林忠志診所,臺北市松山區南京東路五段291巷20弄3-3號,25.0525083,121.565833,02-2768-9577,25.0525083,121.565833,松山區
21,松山區,宥全診所,臺北市松山區民生東路五段216號1樓,25.0588811,121.565097,02-2767-8225,25.0588811,121.565097,松山區
22,松山區,康瑞耳鼻喉科診所,臺北市松山區八德路三段154號,25.047968,121.554914,02-2578-2522,25.047968,121.554914,松山區
23,松山區,陳炳堅內科診所,臺北市松山區延壽街327號,25.056826,121.560329,02-2763-7199,25.056826,121.560329,松山區
24,松山區,鈞賀診所,臺北市松山區富錦街462號,25.0607013,121.5624036,02-2760-0101,25.0607013,121.5624036,松山區
25,松山區,閎新耳鼻喉科皮膚科聯合診所,臺北市松山區八德路三段20-2號1樓,25.0480002,121.551044,02-2577-9898,25.0480002,121.551044,松山區
26,松山區,劉內兒科診所,臺北市松山區民生東路五段148號1樓,25.058507,121.56221,02-2760-3922,25.058507,121.56221,松山區
27,松山區,澄東耳鼻喉科診所,臺北市松山區三民路37號,25.0557787,121.5635295,02-2742-0552,25.0557787,121.5635295,松山區
28,松山區,駿昂耳鼻喉科診所,臺北市松山區八德路二段395號1樓,25.0483727,121.5464319,02-8772-8086,25.0483727,121.5464319,松山區
29,松山區,畇力診所,臺北市松山區富錦街512號1樓,25.060923,121.564603,02-2765-9022,25.060923,121.564603,松山區
30,松山區,心田民生診所,臺北市松山區民生東路五段105號1樓,25.05879,121.5600709,02-2765-3039,25.05879,121.5600709,松山區
31,松山區,弘宇診所,臺北市松山區民權東路三段160巷2之6號,25.0616002,121.5478149,02-2712-8875,25.0616002,121.5478149,松山區
32,信義區,臺北市立聯合醫院松德院區,臺北市信義區松德路309號,25.0292132,121.5745193,02-2726-3141,25.0292132,121.5745193,信義區
33,信義區,臺北醫學大學附設醫院,臺北市信義區吳興街252號,25.0269555,121.563012,02-2737-2181,25.0269555,121.563012,信義區
34,信義區,臺北市立聯合醫院附設信義門診部,臺北市信義區大道路116號1樓,25.0385914,121.5830385,02-8780-4152,25.0385914,121.5830385,信義區
35,信義區,大明診所,臺北市信義區崇德街35號,25.012077,121.575296,02-2732-6885,25.012077,121.575296,信義區
36,信義區,王寬仁診所,臺北市信義區虎林街121巷11號1樓,25.0403625,121.5772672,02-2720-4952,25.0403625,121.5772672,信義區
37,信義區,台灣中油股份有限公司員工診所,臺北市信義區松仁路3號3樓,25.0397678,121.5689627,02-8725-9796,25.0397678,121.5689627,信義區
38,信義區,永吉羅耳鼻喉科診所,臺北市信義區永吉路272號,25.045316,121.574005,02-2768-3191,25.045316,121.574005,信義區
39,信義區,朱耳鼻喉科診所,臺北市信義區忠孝東路五段452號,25.040672,121.576326,02-2720-9172,25.040672,121.576326,信義區
40,信義區,明輝診所,臺北市信義區松隆路282-3號,25.0482589,121.575595,02-8787-1235,25.0482589,121.575595,信義區
41,信義區,松山班廷建興診所,臺北市信義區市民大道六段318號,25.0488109,121.5796529,02-2765-2295,25.0488109,121.5796529,信義區
42,信義區,松仁耳鼻喉科診所,臺北市信義區松仁路231號,25.0261438,121.5688038,02-8780-8580,25.0261438,121.5688038,信義區
43,信義區,松禾診所,臺北市信義區松山路130號3樓,25.0477482,121.5774791,02-2766-6738,25.0477482,121.5774791,信義區
44,信義區,松德耳鼻喉科診所,臺北市信義區松德路58號,25.0387527,121.5763647,02-2758-4958,25.0387527,121.5763647,信義區
45,信義區,林應然小兒科診所,臺北市信義區福德街75號,25.036847,121.5811319,02-2759-5328,25.036847,121.5811319,信義區
46,信義區,長風小兒科診所,臺北市信義區莊敬路351號,25.0279119,121.5645429,02-2722-7943,25.0279119,121.5645429,信義區
47,信義區,信義邱婦產科診所,臺北市信義區虎林街198號,25.0383995,121.5768198,02-2727-8275,25.0383995,121.5768198,信義區
48,信義區,?麗恆全人診所,臺北市信義區忠孝東路五段431號2樓,25.0410667,121.5756387,02-2765-7065,25.0410667,121.5756387,信義區
49,信義區,桂其安家醫科診所,臺北市信義區莊敬路462號,25.0267213,121.5676095,02-2722-9173,25.0267213,121.5676095,信義區
50,信義區,張育驍診所,臺北市信義區吳興街467巷2弄6號1樓,25.0238287,121.5694373,02-2729-6611,25.0238287,121.5694373,信義區
51,信義區,莊敬診所,臺北市信義區莊敬路280號,25.0287545,121.5627305,02-2758-9258,25.0287545,121.5627305,信義區
52,信義區,登瑞安診所,臺北市信義區林口街232號,25.0424736,121.5813254,02-2726-5228,25.0424736,121.5813254,信義區
53,信義區,黃啟彰診所,臺北市信義區松山路261-1號,25.0438009,121.578016,02-2769-6218,25.0438009,121.578016,信義區
54,信義區,承芯耳鼻喉科診所,臺北市信義區大道路121號1樓,25.0394052,121.5832353,02-2726-5025,25.0394052,121.5832353,信義區
55,信義區,臺北產業醫診所,臺北市信義區信義路五段7號35樓,25.033259,121.562324,02-8101-6355,25.033259,121.562324,信義區
56,信義區,福德郭耳鼻喉科診所,臺北市信義區福德街62號,25.03693,121.5805992,02-2759-1051,25.03693,121.5805992,信義區
57,信義區,德佑診所,臺北市信義區福德街215號,25.038379,121.5847199,02-2759-6037,25.038379,121.5847199,信義區
58,信義區,聯合報系員工診療所,臺北市信義區忠孝東路四段559巷1號6樓,25.0420132,121.563555,02-2760-1618,25.0420132,121.563555,信義區
59,大安區,國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路四段280號,25.0364269,121.5547681,02-2708-2121,25.0364269,121.5547681,大安區
60,大安區,臺北市立聯合醫院仁愛院區,臺北市大安區仁愛路四段10號,25.037298,121.5453853,02-2709-3600,25.037298,121.5453853,大安區
61,大安區,國立臺灣大學醫學院附設醫院癌醫中心分院,臺北市大安區基隆路三段155巷57號,25.0146632,121.5443277,02-2322-0322,25.0146632,121.5443277,大安區
62,大安區,中山醫療社團法人中山醫院,臺北市大安區仁愛路四段112巷11號,25.036515,121.5499289,02-2708-1166,25.036515,121.5499289,大安區
63,大安區,中心診所醫療財團法人中心綜合醫院,臺北市大安區忠孝東路四段77號,25.0419017,121.5474814,02-2751-0221,25.0419017,121.5474814,大安區
64,大安區,宏恩醫療財團法人宏恩綜合醫院,臺北市大安區仁愛路四段71巷1號,25.038404,121.546923,02-2771-3161,25.038404,121.546923,大安區
65,大安區,秀傳醫院,臺北市大安區光復南路116巷1號B1-4樓,25.0431013,121.556919,02-2771-7172,25.0431013,121.556919,大安區
66,大安區,臺北市立聯合醫院附設大安門診部,臺北市大安區辛亥路三段15號1樓,25.021577,121.544274,02-2739-0997,25.021577,121.544274,大安區
67,大安區,啟誠聯合診所,臺北市大安區和平東路二段120號,25.0247199,121.5429539,02-2378-4380,25.0247199,121.5429539,大安區
68,大安區,小禾馨小兒專科診所,臺北市大安區新生南路三段4號1樓,25.025638,121.534529,02-2369-8833,25.025638,121.534529,大安區
69,大安區,尹書田醫療財團法人書田泌尿科眼科診所,臺北市大安區建國南路二段276號,25.0252194,121.5371884,02-2369-0211,25.0252194,121.5371884,大安區
70,大安區,仁安診所,臺北市大安區和平東路二段175巷34號,25.0268541,121.5417644,02-2706-5995,25.0268541,121.5417644,大安區
71,大安區,安仁診所,臺北市大安區安和路一段29號6樓,25.0392384,121.5505595,02-8773-3676,25.0392384,121.5505595,大安區
72,大安區,安東診所,臺北市大安區和平東路二段229號,25.0252092,121.5429088,02-2708-8995,25.0252092,121.5429088,大安區
73,大安區,行一診所,臺北市大安區新生南路三段19巷8號3樓之1,25.0248832,121.5354691,02-2784-0735,25.0248832,121.5354691,大安區
74,大安區,吳坤光婦產科診所,臺北市大安區信義路四段59號,25.0335544,121.5454675,02-2705-9320,25.0335544,121.5454675,大安區
75,大安區,呂小兒科診所,臺北市大安區通化街24巷6號1樓,25.0317962,121.5538745,02-2700-0708,25.0317962,121.5538745,大安區
76,大安區,李唯通診所,臺北市大安區安居街19號,25.0208657,121.5548712,02-2377-3506,25.0208657,121.5548712,大安區
77,大安區,李細祥內科診所,臺北市大安區四維路198巷30弄5號,25.026519,121.5458646,02-2701-8159,25.026519,121.5458646,大安區
78,大安區,杏保醫網信誠診所,臺北市大安區信義路四段197號,25.0334156,121.5514928,02-2706-8208,25.0334156,121.5514928,大安區
79,大安區,沈德昌診所,臺北市大安區四維路189號,25.0276142,121.5481151,02-2703-5300,25.0276142,121.5481151,大安區
80,大安區,那明珠診所,臺北市大安區和平東路三段8號,25.0244621,121.5469852,02-2736-0589,25.0244621,121.5469852,大安區
81,大安區,松德診所,臺北市大安區四維路170巷16號1樓,25.0281223,121.5473509,02-2707-3326,25.0281223,121.5473509,大安區
82,大安區,林青穀家庭醫學科診所,臺北市大安區大安路一段2號之1,25.0448432,121.5460986,02-2731-7557,25.0448432,121.5460986,大安區
83,大安區,林繼國診所,臺北市大安區忠孝東路三段217巷1弄12號1樓,25.042392,121.5391259,02-2731-5568,25.042392,121.5391259,大安區
84,大安區,邱醫師診所,臺北市大安區和平東路三段288號,25.0208037,121.5561433,02-2739-2696,25.0208037,121.5561433,大安區
85,大安區,夏爾診所,臺北市大安區信義路四段265巷54號,25.0351741,121.555769,02-2325-5508,25.0351741,121.555769,大安區
86,大安區,家齡診所,臺北市大安區敦化南路一段191號B1,25.0424571,121.5492637,02-2721-1258,25.0424571,121.5492637,大安區
87,大安區,健華診所,臺北市大安區和平東路二段299號,25.0249641,121.5447751,02-2707-2990,25.0249641,121.5447751,大安區
88,大安區,國立台灣大學保健中心,臺北市大安區羅斯福路四段1號,25.0153816,121.5341658,02-3366-2156,25.0153816,121.5341658,大安區
89,大安區,許靜瑛小兒科診所,臺北市大安區和平東路一段230號1樓,25.0260775,121.5323691,02-2362-9088,25.0260775,121.5323691,大安區
90,大安區,博全婦產科診所,臺北市大安區大安路一段18號,25.0441073,121.5460712,02-2777-4427,25.0441073,121.5460712,大安區
91,大安區,博安家庭醫學診所,臺北市大安區麗水街3號,25.0324319,121.5291,02-2356-7066,25.0324319,121.5291,大安區
92,大安區,逸林診所,臺北市大安區信義路四段109之2號,25.0334939,121.5478052,02-2700-6896,25.0334939,121.5478052,大安區
93,大安區,黃文香兒科診所,臺北市大安區忠孝東路四段250號2樓之1,25.0411765,121.5542524,02-2731-3305,25.0411765,121.5542524,大安區
94,大安區,愛群兒童成長診所,臺北市大安區信義路三段155號1樓,25.0336067,121.5428886,02-5599-8330,25.0336067,121.5428886,大安區
95,大安區,新鑫耳鼻喉科診所,臺北市大安區師大路105巷13號1樓,25.0226029,121.5290936,02-2362-1201,25.0226029,121.5290936,大安區
96,大安區,葉明憲小兒科診所,臺北市大安區羅斯福路三段191號2樓,25.021088,121.528109,02-2369-1688,25.021088,121.528109,大安區
97,大安區,劉建宏診所,臺北市大安區大安路二段139號,25.02855,121.5461772,02-2700-2368,25.02855,121.5461772,大安區
98,大安區,樂活診所,臺北市大安區師大路12號,25.0256575,121.52829,02-2368-3883,25.0256575,121.52829,大安區
99,大安區,樂益耳鼻喉科診所,臺北市大安區復興南路二段161號1樓,25.0280339,121.5437215,02-2709-6199,25.0280339,121.5437215,大安區
100,大安區,謝婦產科診所,臺北市大安區忠孝東路四段311號3樓之1,25.0416129,121.5557387,02-2772-8300,25.0416129,121.5557387,大安區
101,大安區,櫟安診所,臺北市大安區金山南路二段200號11樓,25.027936,121.5259107,02-2358-2138,25.027936,121.5259107,大安區
102,大安區,東風診所,臺北市大安區忠孝東路四段132號4樓,25.0412362,121.5481867,02-2777-5868,25.0412362,121.5481867,大安區
103,大安區,伊生診所,臺北市大安區忠孝東路四段216巷32弄15號,25.0400063,121.5521399,02-2775-1301,25.0400063,121.5521399,大安區
104,大安區,禾馨新生婦幼診所,臺北市大安區新生南路三段2號,25.0258209,121.534547,02-2368-2333,25.0258209,121.534547,大安區
105,中山區,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市中山區中山北路二段92號,25.0588457,121.5223977,02-2543-3535,25.0588457,121.5223977,中山區
106,中山區,臺北市立聯合醫院林森院區,臺北市中山區林森北路530號,25.0635091,121.5254499,02-2591-6681,25.0635091,121.5254499,中山區
107,中山區,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,臺北市中山區中山北路二段92號,25.0588457,121.5223977,02-2543-3535,25.0588457,121.5223977,中山區
108,中山區,協和婦女醫院,臺北市中山區松江路85巷5號,25.0503253,121.5339024,02-2507-2222,25.0503253,121.5339024,中山區
109,中山區,臺北市立聯合醫院附設中山門診部,臺北市中山區松江路367號1樓,25.0643338,121.5336997,02-2501-3363,25.0643338,121.5336997,中山區
110,中山區,大直佳恩診所,臺北市中山區北安路591號,25.081959,121.548607,02-2532-3301,25.081959,121.548607,中山區
111,中山區,大直診所,臺北市中山區北安路595巷2弄2號1樓,25.0819988,121.5483172,02-2533-2339,25.0819988,121.5483172,中山區
112,中山區,木生婦幼診所,臺北市中山區長安東路二段90號1-4樓,25.0482593,121.5345612,02-2501-2312,25.0482593,121.5345612,中山區
113,中山區,王三郎婦產科診所,臺北市中山區中山北路二段166號之2,25.0633405,121.5222607,02-2594-8758,25.0633405,121.5222607,中山區
114,中山區,北安聯合診所,臺北市中山區北安路569-3號,25.0809155,121.5482474,02-2533-7777,25.0809155,121.5482474,中山區
115,中山區,四季和安婦幼診所,臺北市中山區林森北路458號,25.0608794,121.5253564,02-2567-7310,25.0608794,121.5253564,中山區
116,中山區,正恩耳鼻喉科診所,臺北市中山區錦州街321號,25.0603334,121.5386246,02-2505-2293,25.0603334,121.5386246,中山區
117,中山區,民生承安診所,臺北市中山區民生東路三段90號,25.0574673,121.5434671,02-2503-2633,25.0574673,121.5434671,中山區
118,中山區,永育樂群診所,臺北市中山區樂群二路210之2號,25.079518,121.559291,02-8501-2268,25.079518,121.559291,中山區
119,中山區,吳振力診所,臺北市中山區長春路309號,25.0548384,121.5428567,02-2509-5909,25.0548384,121.5428567,中山區
120,中山區,李宜霖診所,臺北市中山區植福路298號,25.081213,121.5608117,02-2658-2669,25.081213,121.5608117,中山區
121,中山區,李義男婦產科診所,臺北市中山區中山北路二段71號4樓,25.0573612,121.5230844,02-2536-1158,25.0573612,121.5230844,中山區
122,中山區,杏慈診所,臺北市中山區民權東路二段152巷2-1號1樓,25.0619681,121.5350437,02-2501-3109,25.0619681,121.5350437,中山區
123,中山區,固廉診所,臺北市中山區北安路613號595巷1號地下一層,25.082687,121.548768,02-2532-3036,25.082687,121.548768,中山區
124,中山區,宗北內科診所,臺北市中山區民生西路24號2樓,25.0576674,121.5219273,02-2541-1001,25.0576674,121.5219273,中山區
125,中山區,長安診所,臺北市中山區八德路二段259號,25.0470844,121.5412458,02-2711-1000,25.0470844,121.5412458,中山區
126,中山區,信安診所,臺北市中山區民生西路24號3樓,25.0576674,121.5219274,02-2511-8112,25.0576674,121.5219274,中山區
127,中山區,柏安診所,臺北市中山區長安東路二段88號及90號10樓,25.048304,121.5344129,02-2501-9010,25.048304,121.5344129,中山區
128,中山區,高固廉診所,臺北市中山區北安路613號,25.082687,121.548768,02-2532-3036,25.082687,121.548768,中山區
129,中山區,惟廉診所,臺北市中山區北安路595巷1號B1,25.0823024,121.5485852,02-2532-3036,25.0823024,121.5485852,中山區
130,中山區,啟新診所,臺北市中山區建國北路三段42號5、6樓,25.064324,121.5365628,02-2507-0723,25.064324,121.5365628,中山區
131,中山區,莊宇龍診所,臺北市中山區北安路637號1樓,25.08373,121.549022,02-2533-1255,25.08373,121.549022,中山區
132,中山區,陳世澤內科診所,臺北市中山區龍江路284-1號,25.0609826,121.5406557,02-2501-1239,25.0609826,121.5406557,中山區
133,中山區,陳炯輝診所,臺北市中山區民生東路二段103號,25.0581019,121.531288,02-2522-1796,25.0581019,121.531288,中山區
134,中山區,晴光診所,臺北市中山區林森北路556號1樓,25.0642894,121.5254986,02-2585-3210,25.0642894,121.5254986,中山區
135,中山區,愛鄰診所,臺北市中山區北安路520-1號,25.0796826,121.5461131,02-2532-2333,25.0796826,121.5461131,中山區
136,中山區,聖和骨外科診所,臺北市中山區農安街140號,25.0646896,121.532108,02-2596-9131,25.0646896,121.532108,中山區
137,中山區,葉小兒科診所,臺北市中山區長春路227號,25.054887,121.538813,02-2505-4833,25.054887,121.538813,中山區
138,中山區,農安診所,臺北市中山區農安街62號,25.0647653,121.5284609,02-2597-8590,25.0647653,121.5284609,中山區
139,中山區,寧康聯合診所,臺北市中山區龍江路209巷6-1號,25.0564601,121.540973,02-2501-3862,25.0564601,121.540973,中山區
140,中山區,榮星診所,臺北市中山區龍江路272號,25.0606048,121.5406268,02-2516-8112,25.0606048,121.5406268,中山區
141,中山區,德美診所,臺北市中山區北安路596號1樓,25.0815673,121.5488519,02-2532-6618,25.0815673,121.5488519,中山區
142,中山區,慶生診所,臺北市中山區林森北路561號2樓,25.064581,121.5258037,02-2598-3456,25.064581,121.5258037,中山區
143,中山區,慶恩小兒科診所,臺北市中山區吉林路117號,25.0567407,121.5302883,02-2568-3199,25.0567407,121.5302883,中山區
144,中山區,鄭志誠小兒科診所,臺北市中山區民生東路一段8號,25.0578291,121.5233323,02-2551-2246,25.0578291,121.5233323,中山區
145,中山區,龍江小兒科診所,臺北市中山區龍江路181-1號1樓,25.0552012,121.5407533,02-2515-2433,25.0552012,121.5407533,中山區
146,中山區,龍江固廉診所,臺北市中山區龍江路360號,25.0661594,121.5408252,02-2517-0093,25.0661594,121.5408252,中山區
147,中山區,雙連婦產科小兒科診所,臺北市中山區民生西路30號4樓,25.0576456,121.5217812,02-2522-2350,25.0576456,121.5217812,中山區
148,中山區,麗安耳鼻喉科診所,臺北市中山區龍江路289號1樓,25.0605537,121.5410161,02-2506-8080,25.0605537,121.5410161,中山區
149,中山區,綠葉親子診所,臺北市中山區農安街12-1號1樓,25.0648345,121.5237713,02-2593-5559,25.0648345,121.5237713,中山區
150,中山區,中崙國際診所,臺北市中山區八德路二段305號1樓,25.0473869,121.542597,02-2771-1501,25.0473869,121.542597,中山區
151,中山區,晨昕診所,臺北市中山區復興北路350號3樓,25.0600615,121.5439346,02-2518-1268,25.0600615,121.5439346,中山區
152,中正區,國?臺灣大學醫學院附設醫院,臺北市中正區中山南路7、8號；常德街1號,25.0402741,121.5191591,"總機 02-2312-3456
語音預約 02-2356-7890",25.0402741,121.5191591,中正區
153,中正區,臺北市立聯合醫院和平院區,臺北市中正區中華路二段33號,25.0353943,121.5071105,02-2388-9595,25.0353943,121.5071105,中正區
154,中正區,臺北市立聯合醫院婦幼院區,臺北市中正區福州街12號,25.0289947,121.5192885,02-2391-6470,25.0289947,121.5192885,中正區
155,中正區,國?臺灣大學醫學院附設醫院兒童醫院,臺北市中正區中山南路8號,25.0443271,121.518583,"總機 02-2312-3456
語音預約 02-2356-7890",25.0443271,121.518583,中正區
156,中正區,郵政醫院(委託中英醫療社團法人經營),臺北市中正區福州街14號,25.0285986,121.5188096,02-2395-6755,25.0285986,121.5188096,中正區
157,中正區,臺北市立聯合醫院附設中正門診部,臺北市中正區牯嶺街24號,25.0304306,121.5160136,02-2321-0168,25.0304306,121.5160136,中正區
158,中正區,元泰診所,臺北市中正區羅斯福路三段2號2樓,25.0233442,121.5247924,02-2368-0599,25.0233442,121.5247924,中正區
159,中正區,禾馨婦產科診所,臺北市中正區懷寧街78號1樓,25.0432027,121.5139338,02-2361-2323,25.0432027,121.5139338,中正區
160,中正區,丞泰耳鼻喉科診所,臺北市中正區南昌路一段78號,25.0310011,121.5172755,02-2397-3668,25.0310011,121.5172755,中正區
161,中正區,同泰診所,臺北市中正區汀州路二段136、138號,25.0244653,121.5208734,02-2367-8511,25.0244653,121.5208734,中正區
162,中正區,周正成小兒科診所,臺北市中正區徐州路24號,25.0406064,121.5233726,02-2351-6830,25.0406064,121.5233726,中正區
163,中正區,和眾綜合診所,臺北市中正區忠孝西路一段6號1樓,25.0457882,121.5179649,02-2381-8766,25.0457882,121.5179649,中正區
164,中正區,宜康診所,臺北市中正區新生南路一段148號1樓,25.0353194,121.5323364,02-2341-7696,25.0353194,121.5323364,中正區
165,中正區,怡和診所,臺北市中正區汀州路二段212號,25.0223714,121.5237044,02-2362-5100,25.0223714,121.5237044,中正區
166,中正區,家禾診所,臺北市中正區三元街217號1樓、2樓,25.0276724,121.513391,02-2333-1368,25.0276724,121.513391,中正區
167,中正區,悅心診所,臺北市中正區羅斯福路二段7-2號,25.0291185,121.5212306,02-2396-1008,25.0291185,121.5212306,中正區
168,中正區,健康101診所,臺北市中正區牯嶺街97號1樓,25.0258949,121.5190675,02-2364-8085,25.0258949,121.5190675,中正區
169,中正區,國軍台?門診中心附設民眾診?服務處,臺北市中正區紹興南街7號,25.0400239,121.5244335,02-2391-8235,25.0400239,121.5244335,中正區
170,中正區,張孟源內科診所,臺北市中正區中華路二段325號1樓,25.0276273,121.5064766,02-2309-8600,25.0276273,121.5064766,中正區
171,中正區,紹毅內兒科診所,臺北市中正區八德路一段50、52號,25.043779,121.5310364,02-2393-0791,25.043779,121.5310364,中正區
172,中正區,博士診所,臺北市中正區南陽街8號B1,25.04518,121.5160103,02-2312-0120,25.04518,121.5160103,中正區
173,中正區,惠恩診所,臺北市中正區濟南路二段48巷3-2號1樓,25.0400524,121.5310589,02-2391-9572,25.0400524,121.5310589,中正區
174,中正區,鈞安診所,臺北市中正區中華路二段431號1樓,25.0253007,121.5090191,02-2309-2030,25.0253007,121.5090191,中正區
175,中正區,?安診所,臺北市中正區和平西路一段20號5樓,25.02664,121.520863,02-2363-7588,25.02664,121.520863,中正區
176,中正區,銘人診所,臺北市中正區博愛路9號3樓,25.0459458,121.5115058,02-7755-7566,25.0459458,121.5115058,中正區
177,中正區,醫療財團法人徐元智先生醫藥基金會遠東聯合診所,臺北市中正區永綏街8號,25.0429887,121.5110467,02-2311-1525,25.0429887,121.5110467,中正區
178,大同區,臺北市立聯合醫院中興院區,臺北市大同區鄭州路145號,25.0513086,121.5087132,02-2552-3234,25.0513086,121.5087132,大同區
179,大同區,臺北市立聯合醫院附設大同門診部,臺北市大同區昌吉街52號1樓,25.0656996,121.5162533,02-2594-8971,25.0656996,121.5162533,大同區
180,大同區,佑佳內科診所,臺北市大同區承德路二段142號1樓&2樓,25.0597105,121.5179986,02-2557-5687,25.0597105,121.5179986,大同區
181,大同區,建成診所,臺北市大同區長安西路82號,25.0502735,121.5191533,02-2550-0712,25.0502735,121.5191533,大同區
182,大同區,建順診所,臺北市大同區甘州街51號1樓,25.0596329,121.5128815,02-2557-3250,25.0596329,121.5128815,大同區
183,大同區,施小兒科診所,臺北市大同區重慶北路三段28號,25.0651103,121.5134393,02-2594-1935,25.0651103,121.5134393,大同區
184,大同區,紘成診所,臺北市大同區長安西路53巷7弄1號,25.0514516,121.5178336,02-2559-2412,25.0514516,121.5178336,大同區
185,大同區,鈞生診所,臺北市大同區甘州街28號,25.0588267,121.5126782,02-2557-0048,25.0588267,121.5126782,大同區
186,大同區,寧夏診所,臺北市大同區民生西路236號1樓,25.0569008,121.5144381,02-2558-6060,25.0569008,121.5144381,大同區
187,大同區,澤康診所,臺北市大同區重慶北路三段71號,25.0663565,121.5139452,02-2596-0922,25.0663565,121.5139452,大同區
188,大同區,羅志弘診所,臺北市大同區重慶北路三段115號,25.0674448,121.5139488,02-2592-1666,25.0674448,121.5139488,大同區
189,大同區,羅源彰診所,臺北市大同區長安西路137號,25.0514479,121.515086,02-2555-2500,25.0514479,121.515086,大同區
190,大同區,圓山診所,臺北市大同區酒泉街131號1樓,25.0721497,121.5144821,02-2585-0036,25.0721497,121.5144821,大同區
191,大同區,悅昇診所,臺北市大同區錦西街50-1號,25.060251,121.519998,02-2550-2664,25.060251,121.519998,大同區
192,萬華區,臺北市立聯合醫院昆明院區,臺北市萬華區昆明街100號,25.0442781,121.5047414,02-2370-3739,25.0442781,121.5047414,萬華區
193,萬華區,國立臺灣大學醫學院附設醫院北護分院,臺北市萬華區內江街87號,25.0416765,121.5035547,02-2371-7101,25.0416765,121.5035547,萬華區
194,萬華區,同仁院醫療財團法人萬華醫院,臺北市萬華區中華路二段606巷6號,25.0240418,121.5097291,02-2305-9292,25.0240418,121.5097291,萬華區
195,萬華區,西園醫療社團法人西園醫院,臺北市萬華區西園路二段270號,25.0277299,121.4943799,02-2307-6968,25.0277299,121.4943799,萬華區
196,萬華區,財團法人台灣省私立台北仁濟院附設仁濟醫院,臺北市萬華區廣州街243號,25.0369185,121.49802,02-2302-1133,25.0369185,121.49802,萬華區
197,萬華區,臺北市立聯合醫院附設萬華門診部,臺北市萬華區東園街152號,25.0232014,121.4976402,02-2339-5383,25.0232014,121.4976402,萬華區
198,萬華區,天行健診所,臺北市萬華區寶興街127號,25.0250858,121.4949273,02-2332-0688,25.0250858,121.4949273,萬華區
199,萬華區,可為診所,臺北市萬華區青年路24號1樓,25.0259172,121.5053638,02-2337-0111,25.0259172,121.5053638,萬華區
200,萬華區,台北透析診所,臺北市萬華區西園路一段200號3樓,25.03597,121.4991083,02-2338-2398,25.03597,121.4991083,萬華區
