序號,行政區,院所名稱,地址,電話
57,中山區,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,臺北市中山區中山北路二段92號,02-2543-3535
58,中山區,協和婦女醫院,臺北市中山區松江路85巷5號,02-2507-2222
59,中山區,臺北市立聯合醫院附設中山門診部,臺北市中山區松江路367號1樓,02-2501-3363
60,中山區,大直佳恩診所,臺北市中山區北安路591號,02-2532-3301
61,中山區,大直診所,臺北市中山區北安路595巷2弄2號1樓,02-2533-2339
62,中山區,木生婦幼診所,臺北市中山區長安東路二段90號1-4樓,02-2501-2312
63,中山區,北安聯合診所,臺北市中山區北安路569-3號,02-2533-7777
64,中山區,四季和安婦幼診所,臺北市中山區林森北路458號,02-2567-7310
65,中山區,正恩耳鼻喉科診所,臺北市中山區錦州街321號,02-2505-2293
66,中山區,永育樂群診所,臺北市中山區樂群二路210之2號,02-8501-2268
67,中山區,杏慈診所,臺北市中山區民權東路二段152巷2-1號1樓,02-2501-3109
68,中山區,固廉診所,臺北市中山區北安路613號595巷1號地下一層,02-2532-3036
69,中山區,高固廉診所,臺北市中山區北安路613號,02-2532-3036
70,中山區,惟廉診所,臺北市中山區北安路595巷1號B1,02-2532-3036
71,中山區,莊宇龍診所,臺北市中山區北安路637號1樓,02-2533-1255
72,中山區,陳炯輝診所,臺北市中山區民生東路二段103號,02-2522-1796
73,中山區,晴光診所,臺北市中山區林森北路556號1樓,02-2585-3210
74,中山區,愛鄰診所,臺北市中山區北安路520-1號,02-2532-2333
75,中山區,農安診所,臺北市中山區農安街62號,02-2597-8590
76,中山區,寧康聯合診所,臺北市中山區龍江路209巷6-1號,02-2501-3862
77,中山區,榮星診所,臺北市中山區龍江路272號,02-2516-8112
78,中山區,德美診所,臺北市中山區北安路596號1樓,02-2532-6618
79,中山區,慶恩小兒科診所,臺北市中山區吉林路117號,02-2568-3199
80,中山區,鄭志誠小兒科診所,臺北市中山區民生東路一段8號,02-2551-2246
81,中山區,龍江小兒科診所,臺北市中山區龍江路181-1號1樓,02-2515-2433
82,中山區,龍江固廉診所,臺北市中山區龍江路360號,02-2517-0093
83,中山區,雙連婦產科小兒科診所,臺北市中山區民生西路30號4樓,02-2522-2350
84,中山區,綠葉親子診所,臺北市中山區農安街12-1號1樓,02-2593-5559
85,中山區,中崙國際診所,臺北市中山區八德路二段305號1樓,02-2771-1501
86,中正區,臺北市立聯合醫院和平院區,臺北市中正區中華路二段33號,02-2388-9595
87,中正區,臺北市立聯合醫院婦幼院區,臺北市中正區福州街12號,02-2391-6470
88,中正區,國?臺灣大學醫學院附設醫院兒童醫院,臺北市中正區中山南路8號,"總機 02-2312-3456
語音預約 02-2356-7890"
89,中正區,臺北市立聯合醫院附設中正門診部,臺北市中正區牯嶺街24號,02-2321-0168
90,中正區,禾馨婦產科診所,臺北市中正區懷寧街78號1樓,02-2361-2323
91,中正區,周正成小兒科診所,臺北市中正區徐州路24號,02-2351-6830
92,中正區,和眾綜合診所,臺北市中正區忠孝西路一段6號1樓,02-2381-8766
93,中正區,悅心診所,臺北市中正區羅斯福路二段7-2號,02-2396-1008
94,中正區,健康101診所,臺北市中正區牯嶺街97號1樓,02-2364-8085
95,大同區,臺北市立聯合醫院中興院區,臺北市大同區鄭州路145號,02-2552-3234
96,大同區,臺北市立聯合醫院附設大同門診部,臺北市大同區昌吉街52號1樓,02-2594-8971
97,大同區,施小兒科診所,臺北市大同區重慶北路三段28號,02-2594-1935
98,大同區,寧夏診所,臺北市大同區民生西路236號1樓,02-2558-6060
99,大同區,澤康診所,臺北市大同區重慶北路三段71號,02-2596-0922
100,大同區,羅志弘診所,臺北市大同區重慶北路三段115號,02-2592-1666
101,大同區,羅源彰診所,臺北市大同區長安西路137號,02-2555-2500
102,大同區,悅昇診所,臺北市大同區錦西街50-1號,02-2550-2664
103,萬華區,國立臺灣大學醫學院附設醫院北護分院,臺北市萬華區內江街87號,02-2371-7101
104,萬華區,西園醫療社團法人西園醫院,臺北市萬華區西園路二段270號,02-2307-6968
105,萬華區,臺北市立聯合醫院附設萬華門診部,臺北市萬華區東園街152號,02-2339-5383
106,萬華區,可為診所,臺北市萬華區青年路24號1樓,02-2337-0111
107,萬華區,光耳鼻喉科診所,臺北市萬華區青年路90號,02-2307-7565
108,萬華區,快樂兒童診所,臺北市萬華區寶興街121號,02-2332-8610
109,萬華區,佳安診所,臺北市萬華區青年路34號,02-2332-0898
110,萬華區,青年診所,臺北市萬華區中華路二段424號,02-2303-2450
111,萬華區,益銓診所,臺北市萬華區萬大路233號,02-2333-1323
112,萬華區,聖約翰婦產科診所,臺北市萬華區東園街175號,02-2309-8502
113,萬華區,漢宗小兒科診所,臺北市萬華區中華路二段434號,02-2303-9022
114,文山區,臺北市立萬芳醫院-委託臺北醫學大學辦理,臺北市文山區興隆路三段111號,02-2930-7930
115,文山區,臺北市立聯合醫院附設政大門診部,臺北市文山區指南路二段117號,02-8237-7441
116,文山區,仁荔健康診所,臺北市文山區興隆路一段258號1樓,02-2933-9986
117,文山區,佳鴻診所,臺北市文山區羅斯福路六段256號1樓,02-2933-3096
118,文山區,屈銘軒小兒科診所,臺北市文山區興隆路二段301巷4-2號,02-2930-8518
119,文山區,東翰診所,臺北市文山區興隆路二段139號,02-2930-8330
120,文山區,林建輝小兒科診所,臺北市文山區興隆路二段70號1樓,02-2933-4933
121,文山區,洪佑承小兒專科診所,臺北市文山區興隆路四段64-2號1樓,02-2936-4708
122,文山區,徐慧玲診所,臺北市文山區興隆路四段97號,02-2234-0000
123,文山區,黃偉志小兒科診所,臺北市文山區萬慶街12號,02-2935-4556
124,文山區,瑞萱診所,臺北市文山區景華街124號,02-2930-5313
125,文山區,葉洪小兒科診所,臺北市文山區興隆路三段202號,02-2230-0055
126,文山區,德安小兒科診所,臺北市文山區興隆路四段6-10號1樓,02-2939-5299
127,文山區,樂群耳鼻喉科家醫科診所,臺北市文山區木新路三段202號,02-2234-0158
128,文山區,震杰小兒科診所,臺北市文山區景興路129號,02-8935-1869
129,文山區,興隆內科小兒科診所,臺北市文山區興隆路二段17號,02-2931-1736
130,文山區,興隆李內兒科診所,臺北市文山區興隆路一段12號,02-2931-4537
131,南港區,臺北市立聯合醫院忠孝院區,臺北市南港區同德路87號,02-2786-1288
132,南港區,臺北市立聯合醫院附設南港門診部,臺北市南港區南港路一段360號1樓,02-2786-8756
133,南港區,友力耳鼻喉科診所,臺北市南港區中坡北路12號1樓,02-2785-3913
134,南港區,天仁小兒科診所,臺北市南港區成福路21號,02-2786-2687
135,南港區,天仁健康診所,臺北市南港區成福路21號,02-2786-2687
136,南港區,永育醫療福德診所,臺北市南港區福德街320號,02-2785-0700
137,南港區,李文珍小兒科診所,臺北市南港區研究院路二段74號,02-2651-1871
138,南港區,杏安診所,臺北市南港區同德路74、76號1樓,02-2789-2008
139,南港區,松展診所,臺北市南港區忠孝東路六段110巷18號,02-2763-1373
140,南港區,陳志鑫診所,臺北市南港區八德路四段812號,02-2783-9698
141,南港區,陳勝吉診所,臺北市南港區研究院路一段115號1樓,02-2783-6972
142,南港區,義仁兒科診所,臺北市南港區玉成街138號1樓,02-2651-5929
143,南港區,維康診所,臺北市南港區研究院路二段84巷1號1樓,02-2651-7748
144,南港區,蔣小兒科診所,臺北市南港區玉成街166巷30號1樓,02-2651-3761
145,內湖區,三軍總醫院附設民眾診療服務處,臺北市內湖區成功路二段325號,02-8792-3311
146,內湖區,中國醫藥大學附設醫院臺北分院,臺北市內湖區內湖路二段360號,02-2791-9696
147,內湖區,康寧醫療財團法人康寧醫院,臺北市內湖區成功路五段420巷26號,02-2634-5500
148,內湖區,臺北市立聯合醫院附設內湖門診部,臺北市內湖區民權東路六段99號之1,02-2790-8387
149,內湖區,小禾馨民權小兒專科診所,臺北市內湖區行忠路191號1樓,02-5571-3333
150,內湖區,仁弘耳鼻喉科診所,臺北市內湖區內湖路一段737巷50弄33號1樓,02-2659-6360
151,內湖區,日新診所,臺北市內湖區成功路五段446號1樓,02-2634-2743
152,內湖區,王慶森診所,臺北市內湖區港墘路65號,02-2798-6052
153,內湖區,永育醫療大湖診所,臺北市內湖區成功路四段366號,02-2790-6002
154,內湖區,禾馨民權婦幼診所,臺北市內湖區民權東路六段42號2樓,02-5571-3333
155,內湖區,成安耳鼻喉科診所,臺北市內湖區成功路四段61巷10號,02-2793-5940
156,內湖區,林永正診所,臺北市內湖區康樂街130號,02-2631-5567
157,內湖區,林孟勳診所,臺北市內湖區成功路四段61巷32弄2號,02-8792-0955
158,內湖區,林登山耳鼻喉科診所,臺北市內湖區文德路96號,02-2659-6638
159,內湖區,育睿診所,臺北市內湖區內湖路一段217巷35號,02-2656-0801
160,內湖區,馬思特診所,臺北市內湖區成功路四段53號1樓,02-2792-5994
161,內湖區,國泰醫療財團法人內湖國泰診所,臺北市內湖區瑞光路337號C棟,02-8797-2121
162,內湖區,康育診所,臺北市內湖區成功路三段189號2樓,02-2790-9134
163,內湖區,康樂診所,臺北市內湖區康樂街80號、82號、84號,02-2630-8800
164,內湖區,焉醫師診所,臺北市內湖區內湖路二段21號,02-2799-5008
165,內湖區,連安診所,臺北市內湖區內湖路一段619號1樓,02-2627-6705
166,內湖區,湖欣診所,臺北市內湖區成功路四段327號,02-2791-8350
167,內湖區,陽光活力診所,臺北市內湖區瑞光路500號1樓,02-8797-3828
168,內湖區,劉淦華診所,臺北市內湖區金龍路43號,02-2790-5374
169,內湖區,雙湖診所,臺北市內湖區金龍路49號,02-2791-0066
170,內湖區,魏之明小兒科診所,臺北市內湖區康寧路三段54-6號,02-2630-6968
171,內湖區,魏穀年診所,臺北市內湖區內湖路一段403號,02-2657-2691
172,內湖區,佳霖診所,臺北市內湖區東湖路147號2樓,02-2633-4535
173,內湖區,高峰診所,臺北市內湖區內湖路二段39號1樓,02-2659-1888
174,士林區,新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路95號,02-2833-2211
175,士林區,臺北市立聯合醫院陽明院區,臺北市士林區雨聲街105號,02-2835-3456
176,士林區,臺北市立聯合醫院附設士林門診部,臺北市士林區中正路439號1樓,02-2883-6268
177,士林區,士林小兒科診所,臺北市士林區中正路249號,02-2881-2485
178,士林區,小禾馨士林小兒專科診所,臺北市士林區中正路289號,02-2882-7333
179,士林區,存德小兒科診所,臺北市士林區文林路460號,02-2834-2567
180,士林區,何小兒科診所,臺北市士林區福港街176號,02-2882-7401
181,士林區,貝爾診所,臺北市士林區中山北路七段82巷9號1樓,02-2872-9980
182,士林區,佩佩婦幼診所,臺北市士林區中山北路六段182號,02-2838-6262
183,士林區,和謙耳鼻喉科診所,臺北市士林區社中街362號,02-2816-5678
184,士林區,忠誠聯合診所,臺北市士林區忠誠路二段50巷35號,02-8866-1176
185,士林區,邱世昌診所,臺北市士林區文林路718號,02-2832-8088
186,士林區,科安診所,臺北市士林區社中街116號,02-2811-0699
187,士林區,張虔熙小兒科診所,臺北市士林區中山北路六段282號,02-2836-1368
188,士林區,愛林診所,臺北市士林區承德路四段222號,02-2883-6881
189,士林區,粱耳鼻喉科診所,臺北市士林區社正路12之1號,02-2816-8456
190,士林區,慈田耳鼻喉科診所,臺北市士林區延平北路五段185號1樓,02-2812-3595
191,士林區,榮清耳鼻喉科診所,臺北市士林區文林路483號1樓,02-2831-6878
192,士林區,樹爸爸親子診所,臺北市士林區德行東路286號,02-2838-1838
193,士林區,橙光耳鼻喉科診所,臺北市士林區大南路286號,02-2888-3222
194,士林區,蕭雨青小兒科診所,臺北市士林區延平北路五段292號,02-2812-6415
195,士林區,耀明診所,臺北市士林區中正路322號,02-2832-0657
196,士林區,蘇慧卿診所,臺北市士林區大南路274號,02-2882-9955
197,士林區,永捷診所,臺北市士林區社子街67號1樓,02-2811-1472
198,北投區,臺北榮民總醫院,臺北市北投區石牌路二段201號,02-2871-2121
199,北投區,振興醫療財團法人振興醫院,臺北市北投區振興路45號,02-2826-4400
200,北投區,臺北市立關渡醫院-委託臺北榮民總醫院經營,臺北市北投區知行路225巷12號,02-2858-7000
201,北投區,臺北市立聯合醫院附設北投門診部,臺北市北投區新市街30號5樓,02-2891-2670
202,北投區,台北欣安耳鼻喉科診所,臺北市北投區石牌路一段152號,02-2821-0501
203,北投區,何叔芳小兒科診所,臺北市北投區石牌路二段90巷12號1樓,02-2820-6886
204,北投區,宏恩兒科診所,臺北市北投區致遠一路二段99號1樓,02-2827-1110
205,北投區,李伯匯小兒科診所,臺北市北投區石牌路一段93號1樓,02-2822-1212
206,北投區,和勤診所,臺北市北投區中央北路四段543號1樓,02-2894-2339
207,北投區,昱德聯合診所,臺北市北投區光明路102號1樓,02-2897-5050
208,北投區,清田婦產科家醫科診所,臺北市北投區中和街268號,02-2893-1323
209,北投區,陳信方小兒科診所,臺北市北投區明德路106號,02-2820-1068
210,北投區,陳柏宏親子診所,臺北市北投區明德路124號,02-2822-5257
211,北投區,陳獻明小兒科診所,臺北市北投區中央南路一段69號1樓,02-2892-8950
212,北投區,黃正宏診所,臺北市北投區西安街一段359號,02-2821-7076
213,北投區,黃浩魁小兒科診所,臺北市北投區中央北路一段168號,02-2898-3256
214,北投區,慈恩耳鼻喉科診所,臺北市北投區中央南路一段13號,02-2897-8787
215,北投區,蔡秉勳小兒科診所,臺北市北投區中和街281號,02-2896-6525
216,北投區,橙品耳鼻喉科診所,臺北市北投區自強街70號1樓,02-2820-0022
