no,name,tel,地址,緯度,經度,type,remark,reservation,own_expense,division,notice,twd97x,twd97y,wgs84ax,wgs84ay,緯度,經度
3530000000.0,三重正義好評診所,2.99E+07,新北市三重區正義北路203號1樓,25.0683165,121.4962839,診所,如要接種，請先致電詢問疫苗庫存,現場,是,不分科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察42分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,300061.89,2773440.74,121.496227,25.068356,25.0683165,121.4962839
3530000000.0,三重祥安,2280-8558,新北市三重區三和路四段374號,25.0786404,121.4826806,診所,如要接種，請先致電詢問疫苗庫存,電話、現場,是,家醫科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察43分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,298688.92,2774586.45,121.482659,25.078744,25.0786404,121.4826806
3530000000.0,三重華泰診所,2857-7688,新北市三重區五華街176號,25.0861669,121.488914,診所,如要接種，請先致電詢問疫苗庫存,現場,是,家醫科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察44分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,299316.7,2775411.94,121.488912,25.086176,25.0861669,121.488914
3530000000.0,大有診所,2983-4567,新北市三重區中正北路374號,25.0695251,121.4768714,診所,如要接種，請先致電詢問疫苗庫存,現場,否,家醫科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察45分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,298105.86,2773575.64,121.476844,25.069637,25.0695251,121.4768714
3531026519.0,大榮耳鼻喉科診所,2983-3707,新北市三重區正義北路178號,25.0665805,121.4963879,診所,如要接種，請先致電詢問疫苗庫存,電話、現場,否,耳鼻喉科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察46分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,300086.25,2773250.95,121.496462,25.066642,25.0665805,121.4963879
3530000000.0,仁新小兒科,2857-4762,新北市三重區仁愛街735號,25.0805857,121.4818652,診所,如要接種，請先致電詢問疫苗庫存,現場,是,小兒科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察47分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,298595.4,2774786.01,121.481739,25.080549,25.0805857,121.4818652
3530000000.0,仁暉診所,2972-9689,新北市三重區重新路一段50號2樓,25.0637081,121.5028082,診所,如要接種，請先致電詢問疫苗庫存,電話、現場,否,內科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察48分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,300734.55,2772936.69,121.502876,25.063783,25.0637081,121.5028082
3530000000.0,仁馨診所,2989-0808,新北市三重區龍門路1號5樓,25.070982,121.494895,診所,如要接種，請先致電詢問疫苗庫存,現場,否,內科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察49分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,299920.03,2773734.0,121.494832,25.071008,25.070982,121.494895
3530000000.0,友孝診所,2986-3699,新北市三重區中華路60號1樓,25.0621773,121.4833757,診所,如要接種，請先致電詢問疫苗庫存,現場,是,一般科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察50分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,298770.58,2772754.78,121.483404,25.062205,25.0621773,121.4833757
3530000000.0,天亮耳鼻喉科診所,8981-3431,新北市三重區中正北路314號,25.068996,121.479186,診所,如要接種，請先致電詢問疫苗庫存,電話、現場,是,耳鼻喉科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察51分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,298345.5,2773505.61,121.479217,25.068998,25.068996,121.479186
3530000000.0,世鴻耳鼻喉科小兒科聯合診所,2286-6038,新北市三重區三和路四段318號,25.0779158,121.4840337,診所,如要接種，請先致電詢問疫苗庫存,現場,是,耳鼻喉科、小兒科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察52分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,298842.74,2774492.82,121.48418,25.077894,25.0779158,121.4840337
3530000000.0,正和診所,2982-8828,新北市三重區正義北路278號,25.0690833,121.4956628,診所,如要接種，請先致電詢問疫苗庫存,現場,是,家醫科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察53分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,300008.81,2773519.57,121.495704,25.069069,25.0690833,121.4956628
3530000000.0,正興診所,2986-1235,新北市三重區正義北路113號,25.0657672,121.4970073,診所,如要接種，請先致電詢問疫苗庫存,電話、現場,是,內科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察54分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,300138.97,2773156.62,121.496981,25.065788,25.0657672,121.4970073
3530000000.0,吉田診所,2980-1715,新北市三重區中正北路174之7號,25.066701,121.483367,診所,如要接種，請先致電詢問疫苗庫存,電話、現場,否,耳鼻喉科、皮膚科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察55分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,298766.82,2773253.33,121.483384,25.066706,25.066701,121.483367
3530000000.0,安禾診所,2982-0632,新北市三重區中華路89號,25.0629112,121.4837501,診所,如要接種，請先致電詢問疫苗庫存,電話、現場,是,家醫科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察56分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,298791.48,2772840.77,121.483614,25.062981,25.0629112,121.4837501
3530000000.0,江村聯合診所,2982-1515#16,新北市三重區重新路三段7號,25.0616542,121.4952986,診所,如要接種，請先致電詢問疫苗庫存,網路、電話、現場,是,家醫科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察57分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,299979.39,2772672.85,121.495382,25.061426,25.0616542,121.4952986
3530000000.0,至安診所,2977-3835,新北市三重區重安街6號,25.0585017,121.4893567,診所,如要接種，請先致電詢問疫苗庫存,電話、現場,是,內科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察58分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,299445.97,2772355.29,121.490083,25.058577,25.0585017,121.4893567
3530000000.0,吳英芳診所,2975-5521,新北市三重區龍門路161號,25.0729451,121.4988253,診所,如要接種，請先致電詢問疫苗庫存,現場,是,小兒科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察59分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,300319.73,2773955.67,121.498802,25.072996,25.0729451,121.4988253
1530000000.0,宏仁醫院,2978-8877#500,新北市三重區三和路二段186號,25.0688529,121.498712,地區醫院,如要接種，請先致電詢問疫苗庫存,現場,否,內科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察60分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,300304.07,2773505.06,121.49863,25.068929,25.0688529,121.498712
3530000000.0,宏生診所,2981-9948,新北市三重區仁愛街425巷91號,25.0826382,121.4923333,診所,如要接種，請先致電詢問疫苗庫存,電話、現場,是,耳鼻喉科、內科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察61分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,299660.23,2775024.54,121.492303,25.082668,25.0826382,121.4923333
3530000000.0,宏鴻診所,2978-4325,新北市三重區長生路67號1樓,25.0614534,121.4867114,診所,如要接種，請先致電詢問疫苗庫存,現場,否,內科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察62分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,299271.44,2772604.51,121.488363,25.060833,25.0614534,121.4867114
3530000000.0,李振興診所,2280-6657,新北市三重區力行路二段129號,25.0768235,121.4834559,診所,如要接種，請先致電詢問疫苗庫存,現場,否,外科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察63分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,298749.61,2774375.87,121.483253,25.076841,25.0768235,121.4834559
3530000000.0,李瑞相診所,2982-0632,新北市三重區中華路89號,25.0629112,121.4837501,診所,如要接種，請先致電詢問疫苗庫存,電話、現場,是,家醫科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察64分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,298791.48,2772840.77,121.483614,25.062981,25.0629112,121.4837501
