序號,行政區,院所名稱,地址,緯度,經度,電話,緯度.1,經度.1,district
19,信義區,林應然小兒科診所,臺北市信義區福德街75號,25.036847,121.5811319,02-2759-5328,25.036847,121.5811319,信義區
20,信義區,長風小兒科診所,臺北市信義區莊敬路351號,25.0279119,121.5645429,02-2722-7943,25.0279119,121.5645429,信義區
21,信義區,信義邱婦產科診所,臺北市信義區虎林街198號,25.0383995,121.5768198,02-2727-8275,25.0383995,121.5768198,信義區
22,信義區,張育驍診所,臺北市信義區吳興街467巷2弄6號1樓,25.0238287,121.5694373,02-2729-6611,25.0238287,121.5694373,信義區
23,信義區,登瑞安診所,臺北市信義區林口街232號,25.0424736,121.5813254,02-2726-5228,25.0424736,121.5813254,信義區
24,信義區,黃啟彰診所,臺北市信義區松山路261-1號,25.0438009,121.578016,02-2769-6218,25.0438009,121.578016,信義區
25,信義區,承芯耳鼻喉科診所,臺北市信義區大道路121號1樓,25.0394052,121.5832353,02-2726-5025,25.0394052,121.5832353,信義區
26,大安區,國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路四段280號,25.0364269,121.5547681,02-2708-2121,25.0364269,121.5547681,大安區
27,大安區,臺北市立聯合醫院仁愛院區,臺北市大安區仁愛路四段10號,25.037298,121.5453853,02-2709-3600,25.037298,121.5453853,大安區
28,大安區,中山醫療社團法人中山醫院,臺北市大安區仁愛路四段112巷11號,25.036515,121.5499289,02-2708-1166,25.036515,121.5499289,大安區
29,大安區,臺北市立聯合醫院附設大安門診部,臺北市大安區辛亥路三段15號1樓,25.021577,121.544274,02-2739-0997,25.021577,121.544274,大安區
30,大安區,啟誠聯合診所,臺北市大安區和平東路二段120號,25.0247199,121.5429539,02-2378-4380,25.0247199,121.5429539,大安區
31,大安區,小禾馨小兒專科診所,臺北市大安區新生南路三段4號1樓,25.025638,121.534529,02-2369-8833,25.025638,121.534529,大安區
32,大安區,尹書田醫療財團法人書田泌尿科眼科診所,臺北市大安區建國南路二段276號,25.0252194,121.5371884,02-2369-0211,25.0252194,121.5371884,大安區
33,大安區,仁安診所,臺北市大安區和平東路二段175巷34號,25.0268541,121.5417644,02-2706-5995,25.0268541,121.5417644,大安區
34,大安區,安東診所,臺北市大安區和平東路二段229號,25.0252092,121.5429088,02-2708-8995,25.0252092,121.5429088,大安區
35,大安區,吳坤光婦產科診所,臺北市大安區信義路四段59號,25.0335544,121.5454675,02-2705-9320,25.0335544,121.5454675,大安區
36,大安區,呂小兒科診所,臺北市大安區通化街24巷6號1樓,25.0317962,121.5538745,02-2700-0708,25.0317962,121.5538745,大安區
37,大安區,李細祥內科診所,臺北市大安區四維路198巷30弄5號,25.026519,121.5458646,02-2701-8159,25.026519,121.5458646,大安區
38,大安區,杏保醫網信誠診所,臺北市大安區信義路四段197號,25.0334156,121.5514928,02-2706-8208,25.0334156,121.5514928,大安區
39,大安區,那明珠診所,臺北市大安區和平東路三段8號,25.0244621,121.5469852,02-2736-0589,25.0244621,121.5469852,大安區
40,大安區,松德診所,臺北市大安區四維路170巷16號1樓,25.0281223,121.5473509,02-2707-3326,25.0281223,121.5473509,大安區
41,大安區,林繼國診所,臺北市大安區忠孝東路三段217巷1弄12號1樓,25.042392,121.5391259,02-2731-5568,25.042392,121.5391259,大安區
42,大安區,邱醫師診所,臺北市大安區和平東路三段288號,25.0208037,121.5561433,02-2739-2696,25.0208037,121.5561433,大安區
43,大安區,夏爾診所,臺北市大安區信義路四段265巷54號,25.0351741,121.555769,02-2325-5508,25.0351741,121.555769,大安區
44,大安區,家齡診所,臺北市大安區敦化南路一段191號B1,25.0424571,121.5492637,02-2721-1258,25.0424571,121.5492637,大安區
45,大安區,健華診所,臺北市大安區和平東路二段299號,25.0249641,121.5447751,02-2707-2990,25.0249641,121.5447751,大安區
46,大安區,許靜瑛小兒科診所,臺北市大安區和平東路一段230號1樓,25.0260775,121.5323691,02-2362-9088,25.0260775,121.5323691,大安區
47,大安區,博全婦產科診所,臺北市大安區大安路一段18號,25.0441073,121.5460712,02-2777-4427,25.0441073,121.5460712,大安區
48,大安區,博安家庭醫學診所,臺北市大安區麗水街3號,25.0324319,121.5291,02-2356-7066,25.0324319,121.5291,大安區
49,大安區,黃文香兒科診所,臺北市大安區忠孝東路四段250號2樓之1,25.0411765,121.5542524,02-2731-3305,25.0411765,121.5542524,大安區
50,大安區,愛群兒童成長診所,臺北市大安區信義路三段155號1樓,25.0336067,121.5428886,02-5599-8330,25.0336067,121.5428886,大安區
51,大安區,葉明憲小兒科診所,臺北市大安區羅斯福路三段191號2樓,25.021088,121.528109,02-2369-1688,25.021088,121.528109,大安區
52,大安區,劉建宏診所,臺北市大安區大安路二段139號,25.02855,121.5461772,02-2700-2368,25.02855,121.5461772,大安區
53,大安區,樂益耳鼻喉科診所,臺北市大安區復興南路二段161號1樓,25.0280339,121.5437215,02-2709-6199,25.0280339,121.5437215,大安區
54,大安區,伊生診所,臺北市大安區忠孝東路四段216巷32弄15號,25.0400063,121.5521399,02-2775-1301,25.0400063,121.5521399,大安區
55,大安區,禾馨新生婦幼診所,臺北市大安區新生南路三段2號,25.0258209,121.534547,02-2368-2333,25.0258209,121.534547,大安區
56,中山區,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市中山區中山北路二段92號,25.0588457,121.5223977,02-2543-3535,25.0588457,121.5223977,中山區
57,中山區,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,臺北市中山區中山北路二段92號,25.0588457,121.5223977,02-2543-3535,25.0588457,121.5223977,中山區
58,中山區,協和婦女醫院,臺北市中山區松江路85巷5號,25.0503253,121.5339024,02-2507-2222,25.0503253,121.5339024,中山區
59,中山區,臺北市立聯合醫院附設中山門診部,臺北市中山區松江路367號1樓,25.0643338,121.5336997,02-2501-3363,25.0643338,121.5336997,中山區
60,中山區,大直佳恩診所,臺北市中山區北安路591號,25.081959,121.548607,02-2532-3301,25.081959,121.548607,中山區
61,中山區,大直診所,臺北市中山區北安路595巷2弄2號1樓,25.0819988,121.5483172,02-2533-2339,25.0819988,121.5483172,中山區
62,中山區,木生婦幼診所,臺北市中山區長安東路二段90號1-4樓,25.0482593,121.5345612,02-2501-2312,25.0482593,121.5345612,中山區
63,中山區,北安聯合診所,臺北市中山區北安路569-3號,25.0809155,121.5482474,02-2533-7777,25.0809155,121.5482474,中山區
64,中山區,四季和安婦幼診所,臺北市中山區林森北路458號,25.0608794,121.5253564,02-2567-7310,25.0608794,121.5253564,中山區
65,中山區,正恩耳鼻喉科診所,臺北市中山區錦州街321號,25.0603334,121.5386246,02-2505-2293,25.0603334,121.5386246,中山區
66,中山區,永育樂群診所,臺北市中山區樂群二路210之2號,25.079518,121.559291,02-8501-2268,25.079518,121.559291,中山區
67,中山區,杏慈診所,臺北市中山區民權東路二段152巷2-1號1樓,25.0619681,121.5350437,02-2501-3109,25.0619681,121.5350437,中山區
68,中山區,固廉診所,臺北市中山區北安路613號595巷1號地下一層,25.082687,121.548768,02-2532-3036,25.082687,121.548768,中山區
69,中山區,高固廉診所,臺北市中山區北安路613號,25.082687,121.548768,02-2532-3036,25.082687,121.548768,中山區
70,中山區,惟廉診所,臺北市中山區北安路595巷1號B1,25.0823024,121.5485852,02-2532-3036,25.0823024,121.5485852,中山區
71,中山區,莊宇龍診所,臺北市中山區北安路637號1樓,25.08373,121.549022,02-2533-1255,25.08373,121.549022,中山區
72,中山區,陳炯輝診所,臺北市中山區民生東路二段103號,25.0581019,121.531288,02-2522-1796,25.0581019,121.531288,中山區
73,中山區,晴光診所,臺北市中山區林森北路556號1樓,25.0642894,121.5254986,02-2585-3210,25.0642894,121.5254986,中山區
74,中山區,愛鄰診所,臺北市中山區北安路520-1號,25.0796826,121.5461131,02-2532-2333,25.0796826,121.5461131,中山區
75,中山區,農安診所,臺北市中山區農安街62號,25.0647653,121.5284609,02-2597-8590,25.0647653,121.5284609,中山區
76,中山區,寧康聯合診所,臺北市中山區龍江路209巷6-1號,25.0564601,121.540973,02-2501-3862,25.0564601,121.540973,中山區
77,中山區,榮星診所,臺北市中山區龍江路272號,25.0606048,121.5406268,02-2516-8112,25.0606048,121.5406268,中山區
78,中山區,德美診所,臺北市中山區北安路596號1樓,25.0815673,121.5488519,02-2532-6618,25.0815673,121.5488519,中山區
79,中山區,慶恩小兒科診所,臺北市中山區吉林路117號,25.0567407,121.5302883,02-2568-3199,25.0567407,121.5302883,中山區
80,中山區,鄭志誠小兒科診所,臺北市中山區民生東路一段8號,25.0578291,121.5233323,02-2551-2246,25.0578291,121.5233323,中山區
81,中山區,龍江小兒科診所,臺北市中山區龍江路181-1號1樓,25.0552012,121.5407533,02-2515-2433,25.0552012,121.5407533,中山區
82,中山區,龍江固廉診所,臺北市中山區龍江路360號,25.0661594,121.5408252,02-2517-0093,25.0661594,121.5408252,中山區
83,中山區,雙連婦產科小兒科診所,臺北市中山區民生西路30號4樓,25.0576456,121.5217812,02-2522-2350,25.0576456,121.5217812,中山區
84,中山區,綠葉親子診所,臺北市中山區農安街12-1號1樓,25.0648345,121.5237713,02-2593-5559,25.0648345,121.5237713,中山區
85,中山區,中崙國際診所,臺北市中山區八德路二段305號1樓,25.0473869,121.542597,02-2771-1501,25.0473869,121.542597,中山區
86,中正區,臺北市立聯合醫院和平院區,臺北市中正區中華路二段33號,25.0353943,121.5071105,02-2388-9595,25.0353943,121.5071105,中正區
87,中正區,臺北市立聯合醫院婦幼院區,臺北市中正區福州街12號,25.0289947,121.5192885,02-2391-6470,25.0289947,121.5192885,中正區
88,中正區,國?臺灣大學醫學院附設醫院兒童醫院,臺北市中正區中山南路8號,25.0443271,121.518583,"總機 02-2312-3456
語音預約 02-2356-7890",25.0443271,121.518583,中正區
89,中正區,臺北市立聯合醫院附設中正門診部,臺北市中正區牯嶺街24號,25.0304306,121.5160136,02-2321-0168,25.0304306,121.5160136,中正區
90,中正區,禾馨婦產科診所,臺北市中正區懷寧街78號1樓,25.0432027,121.5139338,02-2361-2323,25.0432027,121.5139338,中正區
91,中正區,周正成小兒科診所,臺北市中正區徐州路24號,25.0406064,121.5233726,02-2351-6830,25.0406064,121.5233726,中正區
92,中正區,和眾綜合診所,臺北市中正區忠孝西路一段6號1樓,25.0457882,121.5179649,02-2381-8766,25.0457882,121.5179649,中正區
93,中正區,悅心診所,臺北市中正區羅斯福路二段7-2號,25.0291185,121.5212306,02-2396-1008,25.0291185,121.5212306,中正區
94,中正區,健康101診所,臺北市中正區牯嶺街97號1樓,25.0258949,121.5190675,02-2364-8085,25.0258949,121.5190675,中正區
95,大同區,臺北市立聯合醫院中興院區,臺北市大同區鄭州路145號,25.0513086,121.5087132,02-2552-3234,25.0513086,121.5087132,大同區
96,大同區,臺北市立聯合醫院附設大同門診部,臺北市大同區昌吉街52號1樓,25.0656996,121.5162533,02-2594-8971,25.0656996,121.5162533,大同區
97,大同區,施小兒科診所,臺北市大同區重慶北路三段28號,25.0651103,121.5134393,02-2594-1935,25.0651103,121.5134393,大同區
98,大同區,寧夏診所,臺北市大同區民生西路236號1樓,25.0569008,121.5144381,02-2558-6060,25.0569008,121.5144381,大同區
99,大同區,澤康診所,臺北市大同區重慶北路三段71號,25.0663565,121.5139452,02-2596-0922,25.0663565,121.5139452,大同區
100,大同區,羅志弘診所,臺北市大同區重慶北路三段115號,25.0674448,121.5139488,02-2592-1666,25.0674448,121.5139488,大同區
101,大同區,羅源彰診所,臺北市大同區長安西路137號,25.0514479,121.515086,02-2555-2500,25.0514479,121.515086,大同區
102,大同區,悅昇診所,臺北市大同區錦西街50-1號,25.060251,121.519998,02-2550-2664,25.060251,121.519998,大同區
103,萬華區,國立臺灣大學醫學院附設醫院北護分院,臺北市萬華區內江街87號,25.0416765,121.5035547,02-2371-7101,25.0416765,121.5035547,萬華區
104,萬華區,西園醫療社團法人西園醫院,臺北市萬華區西園路二段270號,25.0277299,121.4943799,02-2307-6968,25.0277299,121.4943799,萬華區
105,萬華區,臺北市立聯合醫院附設萬華門診部,臺北市萬華區東園街152號,25.0232014,121.4976402,02-2339-5383,25.0232014,121.4976402,萬華區
106,萬華區,可為診所,臺北市萬華區青年路24號1樓,25.0259172,121.5053638,02-2337-0111,25.0259172,121.5053638,萬華區
107,萬華區,光耳鼻喉科診所,臺北市萬華區青年路90號,25.0231,121.5025942,02-2307-7565,25.0231,121.5025942,萬華區
108,萬華區,快樂兒童診所,臺北市萬華區寶興街121號,25.0251946,121.4948419,02-2332-8610,25.0251946,121.4948419,萬華區
109,萬華區,佳安診所,臺北市萬華區青年路34號,25.0257006,121.5045323,02-2332-0898,25.0257006,121.5045323,萬華區
110,萬華區,青年診所,臺北市萬華區中華路二段424號,25.0275478,121.506136,02-2303-2450,25.0275478,121.506136,萬華區
111,萬華區,益銓診所,臺北市萬華區萬大路233號,25.0264556,121.5006874,02-2333-1323,25.0264556,121.5006874,萬華區
112,萬華區,聖約翰婦產科診所,臺北市萬華區東園街175號,25.0242278,121.4973673,02-2309-8502,25.0242278,121.4973673,萬華區
113,萬華區,漢宗小兒科診所,臺北市萬華區中華路二段434號,25.027104,121.5064733,02-2303-9022,25.027104,121.5064733,萬華區
114,文山區,臺北市立萬芳醫院-委託臺北醫學大學辦理,臺北市文山區興隆路三段111號,25.0004801,121.5584967,02-2930-7930,25.0004801,121.5584967,文山區
115,文山區,臺北市立聯合醫院附設政大門診部,臺北市文山區指南路二段117號,24.9876129,121.5765374,02-8237-7441,24.9876129,121.5765374,文山區
116,文山區,仁荔健康診所,臺北市文山區興隆路一段258號1樓,24.9984458,121.5449358,02-2933-9986,24.9984458,121.5449358,文山區
117,文山區,佳鴻診所,臺北市文山區羅斯福路六段256號1樓,24.9918649,121.540178,02-2933-3096,24.9918649,121.540178,文山區
118,文山區,屈銘軒小兒科診所,臺北市文山區興隆路二段301巷4-2號,25.0017769,121.5535166,02-2930-8518,25.0017769,121.5535166,文山區
119,文山區,東翰診所,臺北市文山區興隆路二段139號,25.000224,121.548169,02-2930-8330,25.000224,121.548169,文山區
120,文山區,林建輝小兒科診所,臺北市文山區興隆路二段70號1樓,24.9997064,121.5479708,02-2933-4933,24.9997064,121.5479708,文山區
121,文山區,洪佑承小兒專科診所,臺北市文山區興隆路四段64-2號1樓,24.9850176,121.5613698,02-2936-4708,24.9850176,121.5613698,文山區
122,文山區,徐慧玲診所,臺北市文山區興隆路四段97號,24.9884068,121.5604923,02-2234-0000,24.9884068,121.5604923,文山區
123,文山區,黃偉志小兒科診所,臺北市文山區萬慶街12號,24.9923978,121.5401245,02-2935-4556,24.9923978,121.5401245,文山區
124,文山區,瑞萱診所,臺北市文山區景華街124號,24.9956492,121.5469277,02-2930-5313,24.9956492,121.5469277,文山區
125,文山區,葉洪小兒科診所,臺北市文山區興隆路三段202號,24.9977567,121.5589315,02-2230-0055,24.9977567,121.5589315,文山區
126,文山區,德安小兒科診所,臺北市文山區興隆路四段6-10號1樓,24.9860185,121.5609538,02-2939-5299,24.9860185,121.5609538,文山區
127,文山區,樂群耳鼻喉科家醫科診所,臺北市文山區木新路三段202號,24.9816663,121.5600328,02-2234-0158,24.9816663,121.5600328,文山區
128,文山區,震杰小兒科診所,臺北市文山區景興路129號,24.9944281,121.5449064,02-8935-1869,24.9944281,121.5449064,文山區
129,文山區,興隆內科小兒科診所,臺北市文山區興隆路二段17號,24.99891,121.5454169,02-2931-1736,24.99891,121.5454169,文山區
130,文山區,興隆李內兒科診所,臺北市文山區興隆路一段12號,25.004163,121.5393419,02-2931-4537,25.004163,121.5393419,文山區
131,南港區,臺北市立聯合醫院忠孝院區,臺北市南港區同德路87號,25.0465997,121.5861422,02-2786-1288,25.0465997,121.5861422,南港區
132,南港區,臺北市立聯合醫院附設南港門診部,臺北市南港區南港路一段360號1樓,25.0547158,121.6068266,02-2786-8756,25.0547158,121.6068266,南港區
133,南港區,友力耳鼻喉科診所,臺北市南港區中坡北路12號1樓,25.044711,121.5815825,02-2785-3913,25.044711,121.5815825,南港區
134,南港區,天仁小兒科診所,臺北市南港區成福路21號,25.0448163,121.5867293,02-2786-2687,25.0448163,121.5867293,南港區
135,南港區,天仁健康診所,臺北市南港區成福路21號,25.0448163,121.5867293,02-2786-2687,25.0448163,121.5867293,南港區
136,南港區,永育醫療福德診所,臺北市南港區福德街320號,25.039477,121.5878487,02-2785-0700,25.039477,121.5878487,南港區
137,南港區,李文珍小兒科診所,臺北市南港區研究院路二段74號,25.0455491,121.6151031,02-2651-1871,25.0455491,121.6151031,南港區
138,南港區,杏安診所,臺北市南港區同德路74、76號1樓,25.045681,121.585405,02-2789-2008,25.045681,121.585405,南港區
139,南港區,松展診所,臺北市南港區忠孝東路六段110巷18號,25.0467205,121.5850593,02-2763-1373,25.0467205,121.5850593,南港區
140,南港區,陳志鑫診所,臺北市南港區八德路四段812號,25.0509295,121.581555,02-2783-9698,25.0509295,121.581555,南港區
141,南港區,陳勝吉診所,臺北市南港區研究院路一段115號1樓,25.0515579,121.6161373,02-2783-6972,25.0515579,121.6161373,南港區
142,南港區,義仁兒科診所,臺北市南港區玉成街138號1樓,25.0450264,121.5831839,02-2651-5929,25.0450264,121.5831839,南港區
143,南港區,維康診所,臺北市南港區研究院路二段84巷1號1樓,25.0453206,121.6151986,02-2651-7748,25.0453206,121.6151986,南港區
144,南港區,蔣小兒科診所,臺北市南港區玉成街166巷30號1樓,25.0439359,121.583312,02-2651-3761,25.0439359,121.583312,南港區
145,內湖區,三軍總醫院附設民眾診療服務處,臺北市內湖區成功路二段325號,25.0733691,121.5959272,02-8792-3311,25.0733691,121.5959272,內湖區
146,內湖區,中國醫藥大學附設醫院臺北分院,臺北市內湖區內湖路二段360號,25.082146,121.5907328,02-2791-9696,25.082146,121.5907328,內湖區
147,內湖區,康寧醫療財團法人康寧醫院,臺北市內湖區成功路五段420巷26號,25.0756867,121.608877,02-2634-5500,25.0756867,121.608877,內湖區
148,內湖區,臺北市立聯合醫院附設內湖門診部,臺北市內湖區民權東路六段99號之1,25.0693633,121.5889951,02-2790-8387,25.0693633,121.5889951,內湖區
149,內湖區,小禾馨民權小兒專科診所,臺北市內湖區行忠路191號1樓,25.0674958,121.5817825,02-5571-3333,25.0674958,121.5817825,內湖區
150,內湖區,仁弘耳鼻喉科診所,臺北市內湖區內湖路一段737巷50弄33號1樓,25.0806768,121.5784264,02-2659-6360,25.0806768,121.5784264,內湖區
151,內湖區,日新診所,臺北市內湖區成功路五段446號1樓,25.0747932,121.6072004,02-2634-2743,25.0747932,121.6072004,內湖區
152,內湖區,王慶森診所,臺北市內湖區港墘路65號,25.0811937,121.5782848,02-2798-6052,25.0811937,121.5782848,內湖區
153,內湖區,永育醫療大湖診所,臺北市內湖區成功路四段366號,25.0848303,121.6004361,02-2790-6002,25.0848303,121.6004361,內湖區
154,內湖區,禾馨民權婦幼診所,臺北市內湖區民權東路六段42號2樓,25.0674957,121.5816723,02-5571-3333,25.0674957,121.5816723,內湖區
155,內湖區,成安耳鼻喉科診所,臺北市內湖區成功路四段61巷10號,25.0817373,121.5928208,02-2793-5940,25.0817373,121.5928208,內湖區
156,內湖區,林永正診所,臺北市內湖區康樂街130號,25.0716329,121.6191009,02-2631-5567,25.0716329,121.6191009,內湖區
157,內湖區,林孟勳診所,臺北市內湖區成功路四段61巷32弄2號,25.0809957,121.5933335,02-8792-0955,25.0809957,121.5933335,內湖區
158,內湖區,林登山耳鼻喉科診所,臺北市內湖區文德路96號,25.0782133,121.5825415,02-2659-6638,25.0782133,121.5825415,內湖區
159,內湖區,育睿診所,臺北市內湖區內湖路一段217巷35號,25.0831092,121.5639639,02-2656-0801,25.0831092,121.5639639,內湖區
160,內湖區,馬思特診所,臺北市內湖區成功路四段53號1樓,25.0816562,121.5921514,02-2792-5994,25.0816562,121.5921514,內湖區
161,內湖區,國泰醫療財團法人內湖國泰診所,臺北市內湖區瑞光路337號C棟,25.0778823,121.5754083,02-8797-2121,25.0778823,121.5754083,內湖區
162,內湖區,康育診所,臺北市內湖區成功路三段189號2樓,25.0805298,121.5910013,02-2790-9134,25.0805298,121.5910013,內湖區
163,內湖區,康樂診所,臺北市內湖區康樂街80號、82號、84號,25.0702234,121.6188311,02-2630-8800,25.0702234,121.6188311,內湖區
164,內湖區,焉醫師診所,臺北市內湖區內湖路二段21號,25.0788586,121.5795351,02-2799-5008,25.0788586,121.5795351,內湖區
165,內湖區,連安診所,臺北市內湖區內湖路一段619號1樓,25.0806564,121.5741515,02-2627-6705,25.0806564,121.5741515,內湖區
166,內湖區,湖欣診所,臺北市內湖區成功路四段327號,25.0845096,121.598994,02-2791-8350,25.0845096,121.598994,內湖區
167,內湖區,陽光活力診所,臺北市內湖區瑞光路500號1樓,25.0792407,121.5682024,02-8797-3828,25.0792407,121.5682024,內湖區
168,內湖區,劉淦華診所,臺北市內湖區金龍路43號,25.0848929,121.5938985,02-2790-5374,25.0848929,121.5938985,內湖區
169,內湖區,雙湖診所,臺北市內湖區金龍路49號,25.084937,121.593623,02-2791-0066,25.084937,121.593623,內湖區
170,內湖區,魏之明小兒科診所,臺北市內湖區康寧路三段54-6號,25.0714109,121.6096076,02-2630-6968,25.0714109,121.6096076,內湖區
171,內湖區,魏穀年診所,臺北市內湖區內湖路一段403號,25.0818086,121.5705513,02-2657-2691,25.0818086,121.5705513,內湖區
172,內湖區,佳霖診所,臺北市內湖區東湖路147號2樓,25.0681719,121.6172215,02-2633-4535,25.0681719,121.6172215,內湖區
173,內湖區,高峰診所,臺北市內湖區內湖路二段39號1樓,25.0789438,121.579836,02-2659-1888,25.0789438,121.579836,內湖區
174,士林區,新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路95號,25.0964085,121.520938,02-2833-2211,25.0964085,121.520938,士林區
175,士林區,臺北市立聯合醫院陽明院區,臺北市士林區雨聲街105號,25.1051369,121.5318912,02-2835-3456,25.1051369,121.5318912,士林區
176,士林區,臺北市立聯合醫院附設士林門診部,臺北市士林區中正路439號1樓,25.0928085,121.5197824,02-2883-6268,25.0928085,121.5197824,士林區
177,士林區,士林小兒科診所,臺北市士林區中正路249號,25.0950678,121.5253681,02-2881-2485,25.0950678,121.5253681,士林區
178,士林區,小禾馨士林小兒專科診所,臺北市士林區中正路289號,25.0946897,121.5239291,02-2882-7333,25.0946897,121.5239291,士林區
179,士林區,存德小兒科診所,臺北市士林區文林路460號,25.0956489,121.5246179,02-2834-2567,25.0956489,121.5246179,士林區
180,士林區,何小兒科診所,臺北市士林區福港街176號,25.0866141,121.5176786,02-2882-7401,25.0866141,121.5176786,士林區
181,士林區,貝爾診所,臺北市士林區中山北路七段82巷9號1樓,25.1213403,121.5324541,02-2872-9980,25.1213403,121.5324541,士林區
182,士林區,佩佩婦幼診所,臺北市士林區中山北路六段182號,25.1075469,121.5252705,02-2838-6262,25.1075469,121.5252705,士林區
183,士林區,和謙耳鼻喉科診所,臺北市士林區社中街362號,25.0924774,121.5040798,02-2816-5678,25.0924774,121.5040798,士林區
184,士林區,忠誠聯合診所,臺北市士林區忠誠路二段50巷35號,25.110809,121.5290786,02-8866-1176,25.110809,121.5290786,士林區
185,士林區,邱世昌診所,臺北市士林區文林路718號,25.1024689,121.520791,02-2832-8088,25.1024689,121.520791,士林區
186,士林區,科安診所,臺北市士林區社中街116號,25.0898456,121.5104206,02-2811-0699,25.0898456,121.5104206,士林區
187,士林區,張虔熙小兒科診所,臺北市士林區中山北路六段282號,25.1101049,121.5256499,02-2836-1368,25.1101049,121.5256499,士林區
188,士林區,愛林診所,臺北市士林區承德路四段222號,25.0884766,121.5215108,02-2883-6881,25.0884766,121.5215108,士林區
189,士林區,粱耳鼻喉科診所,臺北市士林區社正路12之1號,25.0885199,121.5092819,02-2816-8456,25.0885199,121.5092819,士林區
190,士林區,慈田耳鼻喉科診所,臺北市士林區延平北路五段185號1樓,25.0832436,121.5099948,02-2812-3595,25.0832436,121.5099948,士林區
191,士林區,榮清耳鼻喉科診所,臺北市士林區文林路483號1樓,25.096134,121.5242199,02-2831-6878,25.096134,121.5242199,士林區
192,士林區,樹爸爸親子診所,臺北市士林區德行東路286號,25.1099779,121.5360119,02-2838-1838,25.1099779,121.5360119,士林區
193,士林區,橙光耳鼻喉科診所,臺北市士林區大南路286號,25.0888093,121.5193307,02-2888-3222,25.0888093,121.5193307,士林區
194,士林區,蕭雨青小兒科診所,臺北市士林區延平北路五段292號,25.0856717,121.5097429,02-2812-6415,25.0856717,121.5097429,士林區
195,士林區,耀明診所,臺北市士林區中正路322號,25.0947475,121.5225939,02-2832-0657,25.0947475,121.5225939,士林區
196,士林區,蘇慧卿診所,臺北市士林區大南路274號,25.0887571,121.5197184,02-2882-9955,25.0887571,121.5197184,士林區
197,士林區,永捷診所,臺北市士林區社子街67號1樓,25.0874978,121.5066888,02-2811-1472,25.0874978,121.5066888,士林區
198,北投區,臺北榮民總醫院,臺北市北投區石牌路二段201號,25.1208483,121.5227627,02-2871-2121,25.1208483,121.5227627,北投區
199,北投區,振興醫療財團法人振興醫院,臺北市北投區振興路45號,25.1151759,121.515018,02-2826-4400,25.1151759,121.515018,北投區
