序號,行政區,院所名稱,地址,電話
59,大安區,國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路四段280號,02-2708-2121
60,大安區,臺北市立聯合醫院仁愛院區,臺北市大安區仁愛路四段10號,02-2709-3600
61,大安區,國立臺灣大學醫學院附設醫院癌醫中心分院,臺北市大安區基隆路三段155巷57號,02-2322-0322
62,大安區,中山醫療社團法人中山醫院,臺北市大安區仁愛路四段112巷11號,02-2708-1166
63,大安區,中心診所醫療財團法人中心綜合醫院,臺北市大安區忠孝東路四段77號,02-2751-0221
64,大安區,宏恩醫療財團法人宏恩綜合醫院,臺北市大安區仁愛路四段71巷1號,02-2771-3161
65,大安區,秀傳醫院,臺北市大安區光復南路116巷1號B1-4樓,02-2771-7172
66,大安區,臺北市立聯合醫院附設大安門診部,臺北市大安區辛亥路三段15號1樓,02-2739-0997
67,大安區,啟誠聯合診所,臺北市大安區和平東路二段120號,02-2378-4380
68,大安區,小禾馨小兒專科診所,臺北市大安區新生南路三段4號1樓,02-2369-8833
69,大安區,尹書田醫療財團法人書田泌尿科眼科診所,臺北市大安區建國南路二段276號,02-2369-0211
70,大安區,仁安診所,臺北市大安區和平東路二段175巷34號,02-2706-5995
71,大安區,安仁診所,臺北市大安區安和路一段29號6樓,02-8773-3676
72,大安區,安東診所,臺北市大安區和平東路二段229號,02-2708-8995
73,大安區,行一診所,臺北市大安區新生南路三段19巷8號3樓之1,02-2784-0735
74,大安區,吳坤光婦產科診所,臺北市大安區信義路四段59號,02-2705-9320
75,大安區,呂小兒科診所,臺北市大安區通化街24巷6號1樓,02-2700-0708
76,大安區,李唯通診所,臺北市大安區安居街19號,02-2377-3506
77,大安區,李細祥內科診所,臺北市大安區四維路198巷30弄5號,02-2701-8159
78,大安區,杏保醫網信誠診所,臺北市大安區信義路四段197號,02-2706-8208
79,大安區,沈德昌診所,臺北市大安區四維路189號,02-2703-5300
80,大安區,那明珠診所,臺北市大安區和平東路三段8號,02-2736-0589
81,大安區,松德診所,臺北市大安區四維路170巷16號1樓,02-2707-3326
82,大安區,林青穀家庭醫學科診所,臺北市大安區大安路一段2號之1,02-2731-7557
83,大安區,林繼國診所,臺北市大安區忠孝東路三段217巷1弄12號1樓,02-2731-5568
84,大安區,邱醫師診所,臺北市大安區和平東路三段288號,02-2739-2696
85,大安區,夏爾診所,臺北市大安區信義路四段265巷54號,02-2325-5508
86,大安區,家齡診所,臺北市大安區敦化南路一段191號B1,02-2721-1258
87,大安區,健華診所,臺北市大安區和平東路二段299號,02-2707-2990
88,大安區,國立台灣大學保健中心,臺北市大安區羅斯福路四段1號,02-3366-2156
89,大安區,許靜瑛小兒科診所,臺北市大安區和平東路一段230號1樓,02-2362-9088
90,大安區,博全婦產科診所,臺北市大安區大安路一段18號,02-2777-4427
91,大安區,博安家庭醫學診所,臺北市大安區麗水街3號,02-2356-7066
92,大安區,逸林診所,臺北市大安區信義路四段109之2號,02-2700-6896
93,大安區,黃文香兒科診所,臺北市大安區忠孝東路四段250號2樓之1,02-2731-3305
94,大安區,愛群兒童成長診所,臺北市大安區信義路三段155號1樓,02-5599-8330
95,大安區,新鑫耳鼻喉科診所,臺北市大安區師大路105巷13號1樓,02-2362-1201
96,大安區,葉明憲小兒科診所,臺北市大安區羅斯福路三段191號2樓,02-2369-1688
97,大安區,劉建宏診所,臺北市大安區大安路二段139號,02-2700-2368
98,大安區,樂活診所,臺北市大安區師大路12號,02-2368-3883
99,大安區,樂益耳鼻喉科診所,臺北市大安區復興南路二段161號1樓,02-2709-6199
100,大安區,謝婦產科診所,臺北市大安區忠孝東路四段311號3樓之1,02-2772-8300
101,大安區,櫟安診所,臺北市大安區金山南路二段200號11樓,02-2358-2138
102,大安區,東風診所,臺北市大安區忠孝東路四段132號4樓,02-2777-5868
103,大安區,伊生診所,臺北市大安區忠孝東路四段216巷32弄15號,02-2775-1301
104,大安區,禾馨新生婦幼診所,臺北市大安區新生南路三段2號,02-2368-2333
105,中山區,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市中山區中山北路二段92號,02-2543-3535
106,中山區,臺北市立聯合醫院林森院區,臺北市中山區林森北路530號,02-2591-6681
107,中山區,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,臺北市中山區中山北路二段92號,02-2543-3535
108,中山區,協和婦女醫院,臺北市中山區松江路85巷5號,02-2507-2222
109,中山區,臺北市立聯合醫院附設中山門診部,臺北市中山區松江路367號1樓,02-2501-3363
110,中山區,大直佳恩診所,臺北市中山區北安路591號,02-2532-3301
111,中山區,大直診所,臺北市中山區北安路595巷2弄2號1樓,02-2533-2339
112,中山區,木生婦幼診所,臺北市中山區長安東路二段90號1-4樓,02-2501-2312
113,中山區,王三郎婦產科診所,臺北市中山區中山北路二段166號之2,02-2594-8758
114,中山區,北安聯合診所,臺北市中山區北安路569-3號,02-2533-7777
115,中山區,四季和安婦幼診所,臺北市中山區林森北路458號,02-2567-7310
116,中山區,正恩耳鼻喉科診所,臺北市中山區錦州街321號,02-2505-2293
117,中山區,民生承安診所,臺北市中山區民生東路三段90號,02-2503-2633
118,中山區,永育樂群診所,臺北市中山區樂群二路210之2號,02-8501-2268
119,中山區,吳振力診所,臺北市中山區長春路309號,02-2509-5909
120,中山區,李宜霖診所,臺北市中山區植福路298號,02-2658-2669
121,中山區,李義男婦產科診所,臺北市中山區中山北路二段71號4樓,02-2536-1158
122,中山區,杏慈診所,臺北市中山區民權東路二段152巷2-1號1樓,02-2501-3109
123,中山區,固廉診所,臺北市中山區北安路613號595巷1號地下一層,02-2532-3036
124,中山區,宗北內科診所,臺北市中山區民生西路24號2樓,02-2541-1001
125,中山區,長安診所,臺北市中山區八德路二段259號,02-2711-1000
126,中山區,信安診所,臺北市中山區民生西路24號3樓,02-2511-8112
127,中山區,柏安診所,臺北市中山區長安東路二段88號及90號10樓,02-2501-9010
128,中山區,高固廉診所,臺北市中山區北安路613號,02-2532-3036
129,中山區,惟廉診所,臺北市中山區北安路595巷1號B1,02-2532-3036
130,中山區,啟新診所,臺北市中山區建國北路三段42號5、6樓,02-2507-0723
131,中山區,莊宇龍診所,臺北市中山區北安路637號1樓,02-2533-1255
132,中山區,陳世澤內科診所,臺北市中山區龍江路284-1號,02-2501-1239
133,中山區,陳炯輝診所,臺北市中山區民生東路二段103號,02-2522-1796
134,中山區,晴光診所,臺北市中山區林森北路556號1樓,02-2585-3210
135,中山區,愛鄰診所,臺北市中山區北安路520-1號,02-2532-2333
136,中山區,聖和骨外科診所,臺北市中山區農安街140號,02-2596-9131
137,中山區,葉小兒科診所,臺北市中山區長春路227號,02-2505-4833
138,中山區,農安診所,臺北市中山區農安街62號,02-2597-8590
139,中山區,寧康聯合診所,臺北市中山區龍江路209巷6-1號,02-2501-3862
140,中山區,榮星診所,臺北市中山區龍江路272號,02-2516-8112
141,中山區,德美診所,臺北市中山區北安路596號1樓,02-2532-6618
142,中山區,慶生診所,臺北市中山區林森北路561號2樓,02-2598-3456
143,中山區,慶恩小兒科診所,臺北市中山區吉林路117號,02-2568-3199
144,中山區,鄭志誠小兒科診所,臺北市中山區民生東路一段8號,02-2551-2246
145,中山區,龍江小兒科診所,臺北市中山區龍江路181-1號1樓,02-2515-2433
146,中山區,龍江固廉診所,臺北市中山區龍江路360號,02-2517-0093
147,中山區,雙連婦產科小兒科診所,臺北市中山區民生西路30號4樓,02-2522-2350
148,中山區,麗安耳鼻喉科診所,臺北市中山區龍江路289號1樓,02-2506-8080
149,中山區,綠葉親子診所,臺北市中山區農安街12-1號1樓,02-2593-5559
150,中山區,中崙國際診所,臺北市中山區八德路二段305號1樓,02-2771-1501
151,中山區,晨昕診所,臺北市中山區復興北路350號3樓,02-2518-1268
152,中正區,國?臺灣大學醫學院附設醫院,臺北市中正區中山南路7、8號；常德街1號,"總機 02-2312-3456
語音預約 02-2356-7890"
153,中正區,臺北市立聯合醫院和平院區,臺北市中正區中華路二段33號,02-2388-9595
154,中正區,臺北市立聯合醫院婦幼院區,臺北市中正區福州街12號,02-2391-6470
155,中正區,國?臺灣大學醫學院附設醫院兒童醫院,臺北市中正區中山南路8號,"總機 02-2312-3456
語音預約 02-2356-7890"
156,中正區,郵政醫院(委託中英醫療社團法人經營),臺北市中正區福州街14號,02-2395-6755
157,中正區,臺北市立聯合醫院附設中正門診部,臺北市中正區牯嶺街24號,02-2321-0168
158,中正區,元泰診所,臺北市中正區羅斯福路三段2號2樓,02-2368-0599
159,中正區,禾馨婦產科診所,臺北市中正區懷寧街78號1樓,02-2361-2323
160,中正區,丞泰耳鼻喉科診所,臺北市中正區南昌路一段78號,02-2397-3668
161,中正區,同泰診所,臺北市中正區汀州路二段136、138號,02-2367-8511
162,中正區,周正成小兒科診所,臺北市中正區徐州路24號,02-2351-6830
163,中正區,和眾綜合診所,臺北市中正區忠孝西路一段6號1樓,02-2381-8766
164,中正區,宜康診所,臺北市中正區新生南路一段148號1樓,02-2341-7696
165,中正區,怡和診所,臺北市中正區汀州路二段212號,02-2362-5100
166,中正區,家禾診所,臺北市中正區三元街217號1樓、2樓,02-2333-1368
167,中正區,悅心診所,臺北市中正區羅斯福路二段7-2號,02-2396-1008
168,中正區,健康101診所,臺北市中正區牯嶺街97號1樓,02-2364-8085
169,中正區,國軍台?門診中心附設民眾診?服務處,臺北市中正區紹興南街7號,02-2391-8235
170,中正區,張孟源內科診所,臺北市中正區中華路二段325號1樓,02-2309-8600
171,中正區,紹毅內兒科診所,臺北市中正區八德路一段50、52號,02-2393-0791
172,中正區,博士診所,臺北市中正區南陽街8號B1,02-2312-0120
173,中正區,惠恩診所,臺北市中正區濟南路二段48巷3-2號1樓,02-2391-9572
174,中正區,鈞安診所,臺北市中正區中華路二段431號1樓,02-2309-2030
175,中正區,?安診所,臺北市中正區和平西路一段20號5樓,02-2363-7588
176,中正區,銘人診所,臺北市中正區博愛路9號3樓,02-7755-7566
177,中正區,醫療財團法人徐元智先生醫藥基金會遠東聯合診所,臺北市中正區永綏街8號,02-2311-1525
178,大同區,臺北市立聯合醫院中興院區,臺北市大同區鄭州路145號,02-2552-3234
179,大同區,臺北市立聯合醫院附設大同門診部,臺北市大同區昌吉街52號1樓,02-2594-8971
180,大同區,佑佳內科診所,臺北市大同區承德路二段142號1樓&2樓,02-2557-5687
181,大同區,建成診所,臺北市大同區長安西路82號,02-2550-0712
182,大同區,建順診所,臺北市大同區甘州街51號1樓,02-2557-3250
183,大同區,施小兒科診所,臺北市大同區重慶北路三段28號,02-2594-1935
184,大同區,紘成診所,臺北市大同區長安西路53巷7弄1號,02-2559-2412
185,大同區,鈞生診所,臺北市大同區甘州街28號,02-2557-0048
186,大同區,寧夏診所,臺北市大同區民生西路236號1樓,02-2558-6060
187,大同區,澤康診所,臺北市大同區重慶北路三段71號,02-2596-0922
188,大同區,羅志弘診所,臺北市大同區重慶北路三段115號,02-2592-1666
189,大同區,羅源彰診所,臺北市大同區長安西路137號,02-2555-2500
190,大同區,圓山診所,臺北市大同區酒泉街131號1樓,02-2585-0036
191,大同區,悅昇診所,臺北市大同區錦西街50-1號,02-2550-2664
192,萬華區,臺北市立聯合醫院昆明院區,臺北市萬華區昆明街100號,02-2370-3739
193,萬華區,國立臺灣大學醫學院附設醫院北護分院,臺北市萬華區內江街87號,02-2371-7101
194,萬華區,同仁院醫療財團法人萬華醫院,臺北市萬華區中華路二段606巷6號,02-2305-9292
195,萬華區,西園醫療社團法人西園醫院,臺北市萬華區西園路二段270號,02-2307-6968
196,萬華區,財團法人台灣省私立台北仁濟院附設仁濟醫院,臺北市萬華區廣州街243號,02-2302-1133
197,萬華區,臺北市立聯合醫院附設萬華門診部,臺北市萬華區東園街152號,02-2339-5383
198,萬華區,天行健診所,臺北市萬華區寶興街127號,02-2332-0688
199,萬華區,可為診所,臺北市萬華區青年路24號1樓,02-2337-0111
200,萬華區,台北透析診所,臺北市萬華區西園路一段200號3樓,02-2338-2398
201,萬華區,永康診所,臺北市萬華區桂林路47號,02-2312-3455
202,萬華區,光耳鼻喉科診所,臺北市萬華區青年路90號,02-2307-7565
203,萬華區,名家耳鼻喉科診所,臺北市萬華區西藏路107-2號1樓,02-2303-6513
204,萬華區,快樂兒童診所,臺北市萬華區寶興街121號,02-2332-8610
205,萬華區,佳安診所,臺北市萬華區青年路34號,02-2332-0898
206,萬華區,青年診所,臺北市萬華區中華路二段424號,02-2303-2450
207,萬華區,益銓診所,臺北市萬華區萬大路233號,02-2333-1323
208,萬華區,健安診所,臺北市萬華區萬大路432號1樓,02-2301-2255
209,萬華區,瑞生診所,臺北市萬華區西園路二段250號,02-2301-2788
210,萬華區,萬澤內科診所,臺北市萬華區萬大路425之1號2~3樓,02-2339-7018
211,萬華區,漢宗小兒科診所,臺北市萬華區中華路二段434號,02-2303-9022
212,萬華區,慧洋診所,臺北市萬華區莒光路125號,02-2302-0209
213,萬華區,盧漢隆耳鼻喉科診所,臺北市萬華區環河南路二段197號,02-2336-1363
214,萬華區,東京生活診所,臺北市萬華區萬大路491號1樓,02-2309-0990
215,萬華區,新田診所,臺北市萬華區梧州街62號1樓,02-2308-9515
216,文山區,臺北市立萬芳醫院-委託臺北醫學大學辦理,臺北市文山區興隆路三段111號,02-2930-7930
217,文山區,景美醫院,臺北市文山區羅斯福路六段280號,02-2933-1010
218,文山區,臺北市立聯合醫院附設政大門診部,臺北市文山區指南路二段117號,02-8237-7441
219,文山區,仁荔健康診所,臺北市文山區興隆路一段258號1樓,02-2933-9986
220,文山區,仁耀診所,臺北市文山區興隆路一段273號,02-2931-7788
221,文山區,世誠耳鼻喉科診所,臺北市文山區忠順街一段107號1樓,02-2234-3618
222,文山區,吳錫賢診所,臺北市文山區木新路三段208號,02-2938-1577
223,文山區,佳鴻診所,臺北市文山區羅斯福路六段256號1樓,02-2933-3096
224,文山區,官世英診所,臺北市文山區景興路45號1樓,02-8663-8189
225,文山區,定安診所,臺北市文山區景興路165號,02-2932-3755
226,文山區,屈銘軒小兒科診所,臺北市文山區興隆路二段301巷4-2號,02-2930-8518
227,文山區,東翰診所,臺北市文山區興隆路二段139號,02-2930-8330
228,文山區,林正豐診所,臺北市文山區保儀路25號,02-2936-3665
229,文山區,林建輝小兒科診所,臺北市文山區興隆路二段70號1樓,02-2933-4933
230,文山區,欣民診所,臺北市文山區保儀路37號,02-2937-5115
231,文山區,泓仁診所,臺北市文山區木新路二段273號,02-2938-2627
232,文山區,洪佑承小兒專科診所,臺北市文山區興隆路四段64-2號1樓,02-2936-4708
233,文山區,徐慧玲診所,臺北市文山區興隆路四段97號,02-2234-0000
234,文山區,健鑫診所,臺北市文山區忠順街一段28號1樓,02-2937-5680
235,文山區,陳建業診所,臺北市文山區景文街86號,02-2935-8181
236,文山區,順欣診所,臺北市文山區木柵路三段112號,02-2939-1011
237,文山區,黃偉志小兒科診所,臺北市文山區萬慶街12號,02-2935-4556
238,文山區,瑞萱診所,臺北市文山區景華街124號,02-2930-5313
239,文山區,葉洪小兒科診所,臺北市文山區興隆路三段202號,02-2230-0055
240,文山區,德安小兒科診所,臺北市文山區興隆路四段6-10號1樓,02-2939-5299
241,文山區,樂群耳鼻喉科家醫科診所,臺北市文山區木新路三段202號,02-2234-0158
242,文山區,震杰小兒科診所,臺北市文山區景興路129號,02-8935-1869
243,文山區,興隆內科小兒科診所,臺北市文山區興隆路二段17號,02-2931-1736
244,文山區,興隆李內兒科診所,臺北市文山區興隆路一段12號,02-2931-4537
245,南港區,臺北市立聯合醫院忠孝院區,臺北市南港區同德路87號,02-2786-1288
246,南港區,臺北市立聯合醫院附設南港門診部,臺北市南港區南港路一段360號1樓,02-2786-8756
247,南港區,中坡耳鼻喉科診所,臺北市南港區中坡南路29號,02-2785-0329
248,南港區,友力耳鼻喉科診所,臺北市南港區中坡北路12號1樓,02-2785-3913
249,南港區,天仁小兒科診所,臺北市南港區成福路21號,02-2786-2687
250,南港區,天仁健康診所,臺北市南港區成福路21號,02-2786-2687
251,南港區,永育醫療福德診所,臺北市南港區福德街320號,02-2785-0700
252,南港區,李文珍小兒科診所,臺北市南港區研究院路二段74號,02-2651-1871
253,南港區,杏安診所,臺北市南港區同德路74、76號1樓,02-2789-2008
254,南港區,松展診所,臺北市南港區忠孝東路六段110巷18號,02-2763-1373
255,南港區,陳志鑫診所,臺北市南港區八德路四段812號,02-2783-9698
256,南港區,陳勝吉診所,臺北市南港區研究院路一段115號1樓,02-2783-6972
257,南港區,義仁兒科診所,臺北市南港區玉成街138號1樓,02-2651-5929
258,南港區,維康診所,臺北市南港區研究院路二段84巷1號1樓,02-2651-7748
259,南港區,蔣小兒科診所,臺北市南港區玉成街166巷30號1樓,02-2651-3761
260,內湖區,三軍總醫院附設民眾診療服務處,臺北市內湖區成功路二段325號,02-8792-3311
261,內湖區,中國醫藥大學附設醫院臺北分院,臺北市內湖區內湖路二段360號,02-2791-9696
262,內湖區,康寧醫療財團法人康寧醫院,臺北市內湖區成功路五段420巷26號,02-2634-5500
263,內湖區,臺北市立聯合醫院附設內湖門診部,臺北市內湖區民權東路六段99號之1,02-2790-8387
264,內湖區,小禾馨民權小兒專科診所,臺北市內湖區行忠路191號1樓,02-5571-3333
265,內湖區,仁弘耳鼻喉科診所,臺北市內湖區內湖路一段737巷50弄33號1樓,02-2659-6360
266,內湖區,內湖長春診所,臺北市內湖區民權東路六段64號,02-2792-6868
267,內湖區,日新診所,臺北市內湖區成功路五段446號1樓,02-2634-2743
268,內湖區,王慶森診所,臺北市內湖區港墘路65號,02-2798-6052
269,內湖區,永育醫療大湖診所,臺北市內湖區成功路四段366號,02-2790-6002
270,內湖區,禾馨民權婦幼診所,臺北市內湖區民權東路六段42號2樓,02-5571-3333
271,內湖區,成功耳鼻喉科診所,臺北市內湖區成功路三段162之1號1樓、164號1樓、164之1號1樓、166之1號1樓,02-2794-0064
272,內湖區,成安耳鼻喉科診所,臺北市內湖區成功路四段61巷10號,02-2793-5940
273,內湖區,林永正診所,臺北市內湖區康樂街130號,02-2631-5567
274,內湖區,林孟勳診所,臺北市內湖區成功路四段61巷32弄2號,02-8792-0955
275,內湖區,林登山耳鼻喉科診所,臺北市內湖區文德路96號,02-2659-6638
276,內湖區,育睿診所,臺北市內湖區內湖路一段217巷35號,02-2656-0801
277,內湖區,思維診所,臺北市內湖區文德路25號,02-2657-5779
278,內湖區,洪永祥診所,臺北市內湖區成功路三段6巷1號,02-8791-7601
279,內湖區,馬思特診所,臺北市內湖區成功路四段53號1樓,02-2792-5994
280,內湖區,國泰醫療財團法人內湖國泰診所,臺北市內湖區瑞光路337號C棟,02-8797-2121
281,內湖區,康育診所,臺北市內湖區成功路三段189號2樓,02-2790-9134
282,內湖區,康樂診所,臺北市內湖區康樂街80號、82號、84號,02-2630-8800
283,內湖區,焉醫師診所,臺北市內湖區內湖路二段21號,02-2799-5008
284,內湖區,連安診所,臺北市內湖區內湖路一段619號1樓,02-2627-6705
285,內湖區,陳森豊聯合診所,臺北市內湖區環山路1段2號,02-2799-0361
286,內湖區,湖欣診所,臺北市內湖區成功路四段327號,02-2791-8350
287,內湖區,陽光活力診所,臺北市內湖區瑞光路500號1樓,02-8797-3828
288,內湖區,新明診所,臺北市內湖區新明路386號,02-8792-1282
289,內湖區,瑞康診所,臺北市內湖區江南街96巷3號,02-2659-9691
290,內湖區,葫洲診所,臺北市內湖區康寧路三段35、37號,02-2630-6606
291,內湖區,誠康診所,臺北市內湖區內湖路一段585號,02-2657-2585
292,內湖區,劉淦華診所,臺北市內湖區金龍路43號,02-2790-5374
293,內湖區,雙湖診所,臺北市內湖區金龍路49號,02-2791-0066
294,內湖區,魏之明小兒科診所,臺北市內湖區康寧路三段54-6號,02-2630-6968
295,內湖區,魏穀年診所,臺北市內湖區內湖路一段403號,02-2657-2691
296,內湖區,麗康診所,臺北市內湖區金湖路362號,02-2634-2296
297,內湖區,佳霖診所,臺北市內湖區東湖路147號2樓,02-2633-4535
298,內湖區,高峰診所,臺北市內湖區內湖路二段39號1樓,02-2659-1888
299,內湖區,樂善診所,臺北市內湖區行善路260號,02-2790-2600
300,士林區,新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路95號,02-2833-2211
301,士林區,臺北市立聯合醫院陽明院區,臺北市士林區雨聲街105號,02-2835-3456
302,士林區,臺北市立聯合醫院附設士林門診部,臺北市士林區中正路439號1樓,02-2883-6268
303,士林區,士林小兒科診所,臺北市士林區中正路249號,02-2881-2485
304,士林區,小禾馨士林小兒專科診所,臺北市士林區中正路289號,02-2882-7333
305,士林區,心福內科診所,臺北市士林區中山北路六段167號,02-2833-1115
306,士林區,平安診所,臺北市士林區社子街36-1號,02-2816-7263
307,士林區,存德小兒科診所,臺北市士林區文林路460號,02-2834-2567
308,士林區,何小兒科診所,臺北市士林區福港街176號,02-2882-7401
309,士林區,杏暉診所,臺北市士林區社子街15號1樓,02-2811-7094
310,士林區,貝爾診所,臺北市士林區中山北路七段82巷9號1樓,02-2872-9980
311,士林區,佩佩婦幼診所,臺北市士林區中山北路六段182號,02-2838-6262
312,士林區,和謙耳鼻喉科診所,臺北市士林區社中街362號,02-2816-5678
313,士林區,忠誠聯合診所,臺北市士林區忠誠路二段50巷35號,02-8866-1176
314,士林區,林博通醫師診所,臺北市士林區通河街60號,02-2885-1148
315,士林區,邱世昌診所,臺北市士林區文林路718號,02-2832-8088
316,士林區,科安診所,臺北市士林區社中街116號,02-2811-0699
317,士林區,張虔熙小兒科診所,臺北市士林區中山北路六段282號,02-2836-1368
318,士林區,陳彥銘耳鼻喉科診所,臺北市士林區士東路12之1號,02-2838-1770
319,士林區,愛林診所,臺北市士林區承德路四段222號,02-2883-6881
320,士林區,粱耳鼻喉科診所,臺北市士林區社正路12之1號,02-2816-8456
321,士林區,慈田耳鼻喉科診所,臺北市士林區延平北路五段185號1樓,02-2812-3595
322,士林區,榮清耳鼻喉科診所,臺北市士林區文林路483號1樓,02-2831-6878
323,士林區,德泰耳鼻喉科診所,臺北市士林區通河街42-1號,02-2885-1570
324,士林區,鄭醫師診所,臺北市士林區延平北路五段120號1樓2樓,02-2812-7412
325,士林區,樹爸爸親子診所,臺北市士林區德行東路286號,02-2838-1838
326,士林區,橙光耳鼻喉科診所,臺北市士林區大南路286號,02-2888-3222
327,士林區,蕭雨青小兒科診所,臺北市士林區延平北路五段292號,02-2812-6415
328,士林區,耀明診所,臺北市士林區中正路322號,02-2832-0657
329,士林區,蘇慧卿診所,臺北市士林區大南路274號,02-2882-9955
330,士林區,德生診所,臺北市士林區文林路552號,02-2981-2988
331,士林區,永捷診所,臺北市士林區社子街67號1樓,02-2811-1472
332,北投區,臺北榮民總醫院,臺北市北投區石牌路二段201號,02-2871-2121
333,北投區,振興醫療財團法人振興醫院,臺北市北投區振興路45號,02-2826-4400
