ROW_NO,機構代碼,機構層級,機構名稱,機構電話,機構地址,給藥,衛教
32,3701105449,牙科診所,康卓牙醫診所,02-27318331,臺北市中山區朱崙街56號,V,V
33,5901102828,藥局,逸帆藥局,02-25222323,臺北市中山區錦州街189號,V,V
34,5901103272,藥局,長安藥局,02-27772740,臺北市中山區長安東路2段171之2號(1樓),V,V
35,5901103585,藥局,禾全藥局,02-25165721,臺北市中山區龍江路332號,V,V
36,5901103807,藥局,專品龍江藥局,02-25178870,臺北市中山區龍江路311號1樓,V,V
37,5901103834,藥局,弘元中西藥局,02-25185688,臺北市中山區長安東路二段６４號１樓,V,V
38,5901104082,藥局,滿順藥局,02-25075283,臺北市中山區伊通街５４號１樓,V,V
39,0501010019,區域醫院,三軍總醫院松山分院附設民眾診療服務處,02-27642151#671718,臺北市松山區健康路131號,V,V
40,1101010012,醫學中心,長庚醫療財團法人台北長庚紀念醫院,02-27135211,臺北市松山區敦化北路199號,V,V
41,1101010021,區域醫院,基督復臨安息日會醫療財團法人臺安醫院,02-27718151,臺北市松山區八德路2段424、426號,V,V
42,1501010010,地區醫院,博仁綜合醫院,02-25786677,臺北市松山區光復北路66、68號,V,
43,3501011493,診所,車參薇小兒科診所,02-25770101,臺北市松山區八德路3段195號1樓,V,V
44,3501013059,診所,親親家庭診所,02-25283232,臺北市松山區南京東路5段347號,V,V
45,3501014476,診所,鈞賀診所,02-27601181,臺北市松山區富錦街462號,V,V
46,5901012570,藥局,予志藥局,02-27623522,臺北市松山區富錦街521號,V,V
47,5901013942,藥局,專品南京藥局,02-25147685,臺北市松山區南京東路4段73號,V,V
48,0101090517,區域醫院,臺北市立聯合醫院仁愛院區,02-25553000,臺北市大安區仁愛路四段10號,V,V
49,1101020018,醫學中心,國泰醫療財團法人國泰綜合醫院,02-27082121,臺北市大安區仁愛路4段280號，266巷6號,V,V
50,1101020036,地區醫院,宏恩醫療財團法人宏恩綜合醫院,02-27713161,臺北市大安區仁愛路4段71巷1號及4段61號、91巷16號,V,V
51,3501021391,診所,全家聯合診所,02-27067575,臺北市大安區和平東路2段353號,V,V
52,3501021579,診所,沈德昌診所,02-27035300,臺北市大安區四維路189號,V,V
53,3501022496,診所,仁安診所,02-27065995,臺北市大安區和平東路2段175巷34號1樓,V,V
54,3501026225,診所,張國麟耳鼻喉科診所,02-27338386,臺北市大安區和平東路3段147號1樓,V,V
55,3501027884,診所,安吉耳鼻喉科診所,02-27385008,臺北市大安區和平東路3段226號,V,V
56,3501028210,診所,博安家庭醫學科診所,02-23567066,臺北市大安區麗水街3號,V,V
57,3501029931,診所,松德診所,02-27073326,臺北市大安區四維路170巷16號,V,V
58,350102A107,診所,夏爾診所,02-23255508,臺北市大安區信義路4段265巷52號、54號,V,V
59,350102E445,診所,安民家庭醫學科診所,02-27218556,臺北市大安區大安路1段65號2樓之1,V,V
60,350102I587,診所,瑞森診所,02-27076002,臺北市大安區信義路３段１３４巷１００號１樓,V,V
61,3701020790,牙科診所,愛育牙醫診所,02-27059704,臺北市大安區復興南路2段193巷7號,V,V
62,4001020028,診所,尹書田醫療財團法人書田泌尿科眼科診所,02-23690211,臺北市大安區建國南路2段276號1樓、278號1樓,V,
63,5901023591,藥局,一心藥局,02-27321818,臺北市大安區和平東路3段238號,V,V
64,5901024490,藥局,明星大藥局,02-27023747,臺北市大安區光復南路430之1號,V,V
65,5901024696,藥局,仁華藥局,02-27336762,臺北市大安區臥龍街155號,V,V
66,0401190010,地區醫院,國立臺灣大學醫學院附設醫院北護分院,02-23717101,臺北市萬華區康定路37號、臺北市萬華區內江街87號,V,V
67,0901190010,地區醫院,西園醫療社團法人西園醫院,02-23076968,臺北市萬華區西園路2段266～274號、185、187號,V,V
68,1401190039,地區醫院,同仁院醫療財團法人萬華醫院,02-23059292,臺北市萬華區中華路2段606巷6號,V,V
69,3501192251,診所,漢宗小兒科診所,02-23039022,臺北市萬華區中華路2段434號,V,V
70,3501192733,診所,天行健診所,02-23320688,臺北市萬華區寶興街121、125、127號,V,V
71,3501194451,診所,青年診所,02-23032450,臺北市萬華區中華路2段424號,V,
72,3501195270,診所,萬華衛康內科診所,02-23092807,臺北市萬華區萬大路217號,V,V
73,3501195289,診所,艋舺通安診所,02-23089862,臺北市萬華區環河南路2段242號、242之1號,V,
74,3501195690,診所,瑞生診所,02-23012788,臺北市萬華區西園路2段250號、250號2樓、250號3樓、,V,V
75,5901190024,藥局,長泰藥局,02-23012869,臺北市萬華區西園路2段280號,V,V
76,5901192180,藥局,康之友藥局,02-23011598,臺北市萬華區青年路20號,V,V
77,5901192822,藥局,專品藥局,02-23718892,臺北市萬華區長沙街2段71－1號,V,V
78,5901193123,藥局,千誠北護藥局,02-23123530,臺北市萬華區內江街114號,V,V
79,5901193249,藥局,光華藥局,02-23613609,臺北市萬華區華西街19－5號,V,V
80,0101090517,區域醫院,臺北市立聯合醫院松德院區,02-25553000,臺北市信義區松德路309號、中正區金山南路一段5號1、2樓,V,V
81,1301170017,區域醫院,臺北醫學大學附設醫院,02-27372181,臺北市信義區吳興街252號、250號,V,V
82,3401171107,診所,聯合報系員工診療所,02-27681234,臺北市信義區忠孝東路4段559巷1號6樓,V,V
83,3401171170,診所,台灣中油股份有限公司員工診所,02-87259752,臺北市信義區松仁路3號（實際營業地址：3樓）,V,V
84,3501170237,診所,信義邱婦產科診所,02-27278275,臺北市信義區虎林街198號,V,
85,3501170255,診所,朱耳鼻喉科診所,02-27209172,臺北市信義區忠孝東路5段452號,V,V
86,3501172893,診所,姚醫師診所,02-87898822,臺北市信義區忠孝東路5段396號2樓,V,V
87,3501173032,診所,陽光耳鼻喉科診所,02-27279529,臺北市信義區松山路484之8號,V,
88,3501173569,診所,信義耳鼻喉科診所,02-23450288,臺北市信義區莊敬路391巷4號,V,V
89,3501173783,診所,俊安診所,02-27605757,臺北市信義區永吉路30巷148弄6號,V,
90,3501174593,診所,理恩診所,02-87899728,臺北市信義區忠孝東路5段410之2號,V,V
91,5901170406,藥局,鼎泰藥局,02-27620617,臺北市信義區基隆路1段155號1樓,V,V
92,5901170915,藥局,杏仁藥局,02-27262541,臺北市信義區大道路135號,V,V
93,5901172240,藥局,德康大藥局,02-27272502,臺北市信義區松山路541巷21號,V,V
94,5901172839,藥局,九州藥局,02-87323331,臺北市信義區和平東路3段239號,V,V
95,5901173238,藥局,正和藥局,02-23455186,臺北市信義區吳興街225巷6號,V,V
96,5901173710,藥局,專品光復藥局,02-27586682,臺北市信義區光復南路467之1號,V,V
97,5901174235,藥局,柏愛藥局,02-27325472,臺北市信義區基隆路二段131-20號,V,V
98,0101090517,區域醫院,臺北市立聯合醫院陽明院區,02-25553000,臺北市士林區雨聲街105號、臺北市士林區中正路439號1樓,V,V
99,1101150011,醫學中心,新光醫療財團法人新光吳火獅紀念醫院,02-28389477,臺北市士林區文昌路95號及士商路51號1至7樓53、55號,V,V
100,3501150422,診所,存德小兒科診所,02-28342567,臺北市士林區文林路460號,V,
101,3501150575,診所,鄭醫師診所,02-28127412,臺北市士林區延平北路5段120號1、2樓,V,V
102,3501151018,診所,林博通醫師診所,02-28851148,臺北市士林區通河街60號1樓,V,
103,3501151438,診所,德福診所,02-28811982,臺北市士林區大東路77號,V,V
104,3501151849,診所,忠誠聯合診所,02-88661176,臺北市士林區忠誠路2段50巷35號,V,V
105,3501154420,診所,榮清耳鼻喉科診所,02-28316878,臺北市士林區文林路483號（1樓）,V,
106,3501154724,診所,心築身心診所,02-28856572,臺北市士林區劍潭路28號1樓、30號1樓,V,V
107,3501154733,診所,士林身心醫學診所,02-28812205,臺北市士林區文林路410號,V,V
108,3501155007,診所,士林欣然耳鼻喉科診所,02-28386090,臺北市士林區文林路４５０號,V,V
109,3501155098,診所,政吉診所,02-28748318,臺北市士林區士東路６７號１樓,V,V
110,5901150244,藥局,佳赫藥局,02-28367202,臺北市士林區文昌路62號,V,V
111,5901152293,藥局,安泰藥師藥局,02-28166977,臺北市士林區延平北路六段83號（實際使用：1、2樓）,V,V
112,5901153245,藥局,大東健保藥局,02-28834672,臺北市士林區大東路86－4號,V,V
113,5901154162,藥局,慈航藥局,02-28813168,臺北市士林區文林路441號,V,V
114,5901154331,藥局,天養藥局,02-28387466,臺北市士林區蘭雅里中山北路六段262號1樓,V,V
115,5901154466,藥局,大田大藥局,02-28326112,臺北市士林區德行東路１３３號１樓,V,V
116,0501160014,區域醫院,三軍總醫院北投分院附設民眾診療服務處,02-28935865,臺北市北投區新民路60號中和街250號,V,V
117,0601160016,醫學中心,臺北榮民總醫院,02-28712121,臺北市北投區石牌路2段201號,V,V
118,0701160518,地區醫院,臺北市立關渡醫院－委託臺北榮民總醫院經營,02-28587000,臺北市北投區知行路225巷12號,V,V
119,1101160017,區域醫院,振興醫療財團法人振興醫院,02-28264400,臺北市北投區振興街45號,V,V
120,1101160026,區域醫院,醫療財團法人辜公亮基金會和信治癌中心醫院,02-28970011ext3912,臺北市北投區立德路125號,V,V
121,2101161033,診所,臺北市立聯合醫院附設北投門診部,02-28912670,臺北市北投區新市街30號5樓,V,V
122,3501160231,診所,洪耳鼻喉科診所,02-28928769,臺北市北投區中央南路1段43號,V,V
123,3501160982,診所,清田婦產科家醫科診所,02-28931323,臺北市北投區中和街268號,V,V
124,3501160991,診所,張參雄診所,02-28926555,臺北市北投區光明路166號、166－1號1．2．3樓,V,V
125,3501162502,診所,惠康診所,02-28283964,臺北市北投區西安街2段113號,V,V
126,3501162664,診所,王永良診所,02-28227287,臺北市北投區自強街94號,V,V
127,3501162682,診所,張晉豪診所,02-28913820,臺北市北投區中央南路1段155號,V,
128,3501162879,診所,陳珀勳診所,02-28206263,台北市北投區明德路75號1樓,V,V
129,3501163036,診所,黃正宏診所,02-28217076,臺北市北投區西安街1段359號,V,V
130,3501163312,診所,台北欣安耳鼻喉科診所,02-28210501,臺北市北投區石牌路1段152號,V,V
131,3501163410,診所,石牌鄭身心醫學診所,02-28227660,臺北市北投區石牌路1段69號（實際地址：1、2樓）,V,V
132,3501163509,診所,常哲診所,02-28285515,臺北市北投區明德路157－4號（實際使用：1樓）,V,V
133,3701161054,牙科診所,微美牙醫診所,02-28209122,臺北市北投區實踐街38號,V,V
134,5901160197,藥局,川秀藥局,02-28279996,臺北市北投區石牌路2段99巷9號1樓,V,V
135,5901162119,藥局,祐鄰藥局,02-28281232,臺北市北投區尊賢街250號,V,V
136,5901163107,藥局,小豬藥局,02-28217099,臺北市北投區東陽街403號1樓,V,V
137,5901163330,藥局,萬信藥局,02-28583083,臺北市北投區知行路305號（實際使用1樓）,V,V
138,5901163849,藥局,赫爾振華藥局,02-28233730,臺北市北投區振華街３４號１樓,V,V
139,0501110514,醫學中心,三軍總醫院附設民眾診療服務處,02-87923311,臺北市內湖區成功路2段325號,V,V
140,1101110026,地區醫院,康寧醫療財團法人康寧醫院,02-26345500,臺北市內湖區成功路5段420巷26號,V,V
141,1301110511,地區醫院,中國醫藥大學附設醫院臺北分院,02-27919696,臺北市內湖區內湖路2段360號,V,V
142,3501110080,診所,陳森豊診所,02-27990361,臺北市內湖區環山路1段2號1樓及2樓,V,V
143,3501110311,診所,徐醫師診所,02-26336616,臺北市內湖區東湖路53號,V,V
144,3501110455,診所,東湖張耳鼻喉科診所,02-26331864,臺北市內湖區康寧路3段169號,V,V
145,3501110571,診所,劉淦華診所,02-27905374,臺北市內湖區金龍路43號1樓,V,V
146,3501110982,診所,馬思特診所,02-27925994,臺北市內湖區成功路4段53號1樓,V,V
147,3501112851,診所,日新診所,02-26342743,臺北市內湖區成功路5段446號1樓,V,V
148,3501113134,診所,焉醫師診所,02-27995008,臺北市內湖區內湖路2段21號,V,V
149,3501113330,診所,仁弘耳鼻喉科診所,02-26596360,臺北市內湖區內湖路1段737巷50弄37號,V,
150,3501113849,診所,育睿診所,02-26560801,臺北市內湖區內湖路1段217巷35號,V,
151,3501114042,診所,新明診所,02-87921282,臺北市內湖區新明路386號,V,V
152,4001110018,診所,國泰醫療財團法人內湖國泰診所,02-87972121,臺北市內湖區瑞光路337號（1、2、3、4樓）,V,V
153,5901110339,藥局,富山藥局,02-27996446,臺北市內湖區麗山街364巷2號1樓,V,V
154,5901113312,藥局,江南大藥局,02-26595430,臺北市內湖區文德路22巷9弄56號,V,V
155,5901113349,藥局,澴山藥局,02-87978793,臺北市內湖區環山路1段4號,V,V
156,5901113849,藥局,佳德健保藥局,02-26315910,臺北市內湖區康寧路3段151號1樓,V,V
157,0101090517,區域醫院,臺北市立聯合醫院忠孝院區,02-25553000,臺北市南港區同德路87號、南港區園區街3之2號2樓,V,V
158,3501121814,診所,李文珍小兒科診所,02-26511871,臺北市南港區研究院路2段74號,V,V
159,3501121823,診所,天仁健康診所,02-27862687,臺北市南港區成福路21號,V,V
160,3701120106,牙科診所,南港牙醫診所,02-27829777,臺北市南港區研究院路1段11號,V,
161,5901121421,藥局,祥安藥局,02-26547322,臺北市南港區中坡南路25號,V,V
162,5901121850,藥局,健涵藥局,02-27837285,臺北市南港區舊莊街1段147號,V,V
163,1301200010,醫學中心,臺北市立萬芳醫院-委託臺北醫學大學辦理,02-29307930,臺北市文山區興隆路3段111號,V,V
164,1501201020,地區醫院,景美醫院,02-29331010,臺北市文山區羅斯福路6段280號及文山區育英街18巷2號1樓,V,V
165,3501200249,診所,仁耀診所,02-29317788,臺北市文山區興隆路1段273號1樓,V,
166,3501201004,診所,洪佑承小兒專科診所,02-29364708,臺北市文山區興隆路4段64之2號,V,V
167,3501202798,診所,定安診所,02-29323755,臺北市文山區景興路165號,V,V
168,3501202967,診所,東翰診所,02-29308330,臺北市文山區興隆路2段139號,V,
169,3501203357,診所,大豐耳鼻喉科診所,02-29371299,臺北市文山區木新路3段220號,V,
170,3501203455,診所,佳鴻診所,02-29333096,臺北市文山區景美里羅斯福路六段256號1樓,V,V
171,5901201540,藥局,逸仙藥師藥局,02-29312597,臺北市文山區興隆路2段218－1號1樓,V,V
172,5901202949,藥局,萬隆大藥局,02-29334580,臺北市文山區羅斯福路5段218巷15號,V,V
173,5901203697,藥局,專品政大藥局,02-22343010,臺北市文山區指南路2段8號,V,V
