ROW_NO,機構代碼,機構層級,機構名稱,機構電話,機構地址,給藥,衛教
37,3531019283,診所,佳恩耳鼻喉科診所,02-22509566,新北市板橋區陽明街40號1樓,V,V
38,3531019407,診所,樂田耳鼻喉科診所,02-82582968,新北市板橋區文化路2段10號（1樓）,V,V
39,3531019783,診所,信德診所,02-22570295,新北市板橋區文化路1段310號1～2樓,V,V
40,3531019934,診所,明品診所,02-82752688,新北市板橋區僑中一街88號,V,
41,353101A495,診所,正家診所,02-89520988,新北市板橋區四川路一段２２３號１樓,V,V
42,353101A664,診所,山木耳鼻喉科診所,02-22540800,新北市板橋區英士路５３號１樓,V,V
43,5931010011,藥局,埔墘藥局,02-29646705,新北市板橋區中山路2段227號,V,V
44,5931010459,藥局,欣民藥局,02-22545938,新北市板橋區雙十路3段39號,V,V
45,5931010477,藥局,華傳綜合大藥局,02-29670029,新北市板橋區大智街40號,V,V
46,5931011447,藥局,日生大藥局,02-29675261,新北市板橋區中正路1巷16弄16號,V,V
47,5931012140,藥局,南雅藥局,02-22725358,新北市板橋區南雅南路1段5巷22號,V,V
48,5931016335,藥局,康匯藥局,02-29512610,新北市板橋區實踐路167號（1樓）,V,V
49,5931016880,藥局,漢民藥局,02-29598168,新北市板橋區漢生東路346號（1樓）,V,V
50,5931017396,藥局,美康四維藥局,02-22506616,新北市板橋區四維路122號1樓,V,V
51,5931018240,藥局,微笑藥局,02-29655811,新北市板橋區中正路211號1、2樓,V,V
52,5931018384,藥局,廣欣藥師藥局,02-22540613,新北市板橋區雙十路3段52號1樓,V,V
53,5931018606,藥局,匯康藥局,02-29636398,新北市板橋區長安里中山路一段262號1樓,V,V
54,1131110516,區域醫院,國泰醫療財團法人汐止國泰綜合醫院,02-26482121,新北市汐止區建成路59巷2號地下4樓至地上12樓,V,V
55,2331110011,衛生所,新北市汐止區衛生所,02-26412030,新北市汐止區新台五路1段266號地下1樓．地上1至4樓,V,V
56,3531110356,診所,佑安診所,02-26488781,新北市汐止區大同路2段370號1樓,V,V
57,3531110972,診所,湖前診所,02-26922219,新北市汐止區湖前街60號－3,V,V
58,3531112556,診所,洪耳鼻喉科診所,02-26490123,新北市汐止區大同路2段332號1樓,V,V
59,3531112654,診所,祥和診所,02-86422558,新北市汐止區建成路37巷13號,V,V
60,3531112716,診所,人禾小兒科診所,02-86463037,新北市汐止區仁愛路140號1樓,V,V
61,3531112887,診所,德祐小兒科診所,02-26945180,新北市汐止區福德一路117之1號1樓,V,V
62,3531113035,診所,合康診所,02-86425222,新北市汐止區大同路2段512號1樓,V,
63,3531113366,診所,育和診所,02-26486803,新北市汐止區中正路31號1、2樓,V,
64,3531113517,診所,幸湖診所,02-26925222,新北市汐止區湖前街27號1樓,V,V
65,5931111988,藥局,滿益藥局,02-86421562,新北市汐止區仁愛路130號,V,V
66,5931113348,藥局,富康活力中興藥局,02-26950222,新北市汐止區中興路156號1樓,V,V
67,2331180013,衛生所,新北市深坑區衛生所,02-26621567#304,新北市深坑區深坑街165號1－3樓,V,V
68,3531180152,診所,林振得診所,02-26647878,新北市深坑區北深路2段106號,V,V
69,3531181319,診所,麒安診所,02-26620275,新北市深坑區埔新街41號1樓,V,V
70,3531181337,診所,紹善診所,02-26628011,新北市深坑區北深路三段99號1樓、99號2樓,V,
71,2331190019,衛生所,新北市石碇區衛生所,02-26631190,新北市石碇區潭邊里碇坪路1段82號,V,V
72,2331120017,衛生所,新北市瑞芳區衛生所,02-24972132,新北市瑞芳區明燈路3段1號,V,V
73,3531120183,診所,詠安診所,02-24960682,新北市瑞芳區明燈路3段79號1樓,V,V
74,2331240014,衛生所,新北市平溪區衛生所,02-24951015,新北市平溪區公園街17號1樓,V,V
75,2331250010,衛生所,新北市雙溪區衛生所,02-24931210,新北市雙溪區新基南路18號,V,V
76,2331260016,衛生所,新北市貢寮區衛生所,02-24901590,新北市貢寮區朝陽街70巷10號、新北市貢寮區仁愛路128號,V,V
77,1131050515,醫學中心,佛教慈濟醫療財團法人台北慈濟醫院,02-66289779,新北市新店區建國路289號,V,V
78,1231050017,區域醫院,天主教耕莘醫療財團法人耕莘醫院,02-22193391,新北市新店區中正路362號、車子路15號,V,V
79,1531051163,地區醫院,豐榮醫院,02-22122111,新北市新店區安德街26巷3號B棟,V,V
80,1531051172,地區醫院,新北仁康醫院,02-22152345,新北市新店區安康路2段323號地上1至2樓B棟,V,V
81,2331050010,衛生所,新北市新店區衛生所,02-29113984,新北市新店區北新路1段86號12樓,V,V
82,3531051307,診所,護康診所,02-86663366,新北市新店區安成街32號,V,V
83,3531051325,診所,富森診所,02-86658711,新北市新店區三民路97號,V,V
84,3531051343,診所,佳音診所,02-86660033,新北市新店區安民街135號,V,V
85,3531052635,診所,林建良耳鼻喉科診所,02-29131313,新北市新店區中正路158號1樓,V,V
86,3531052804,診所,林逢慶診所,02-22156150,新北市新店區安康路3段21號1樓,V,V
87,3531052966,診所,佑康聯合診所,02-22153239,新北市新店區安康路3段17號1樓,V,V
88,3531053141,診所,安立診所,02-22177669,新北市新店區北宜路2段28號1樓,V,V
89,3531053150,診所,聖新診所,02-29131415,新北市新店區寶橋路4號1樓,V,V
90,3531053178,診所,安民診所,02-22129283,新北市新店區安民街235號1樓,V,
91,3531053409,診所,耀程耳鼻喉科診所,02-29171110,新北市新店區三民路66號1樓,V,
92,3531053641,診所,聖康診所,02-86655858,新北市新店區北新路3段104號1樓,V,V
93,3531053650,診所,大豐耳鼻喉科診所,02-22193122,新北市新店區建國路161號1樓,V,
94,3531053767,診所,日安診所,02-89112388,新北市新店區中正路289號1樓、2樓,V,V
95,3531053909,診所,瑞安耳鼻喉科診所,02-29109696,新北市新店區中正路140號1樓,V,V
96,3531053918,診所,康禾診所,02-29109696,新北市新店區中正路140號1樓,V,V
97,3531053972,診所,蘇永誠家醫科診所,02-29160650,新北市新店區北新路1段52號1樓,V,
98,3531054200,診所,安倍診所,02-89119181,新北市新店區中正路132號1樓,V,V
99,3531054291,診所,睿安診所,02-29109696,新北市新店區中正路140號1樓,V,V
100,3531054399,診所,嘉齊診所,02-89193094,新北市新店區北新路一段56號1樓,V,V
101,5931052313,藥局,欣康藥局,02-89113189,新北市新店區中正路293號1樓,V,V
102,5931053409,藥局,寶德藥局,02-22145219,新北市新店區中興路1段185號（1樓）,V,V
103,5931053543,藥局,法米大坪林藥局,02-89147336,新北市新店區北新路三段84號1樓,V,V
104,2331200010,衛生所,新北市坪林區衛生所,02-26656272,新北市坪林區坪林街104號,V,V
105,2331290014,衛生所,新北市烏來區衛生所,02-26617200,新北市烏來區新烏路5段109號,V,V
106,1231030015,地區醫院,天主教耕莘醫療財團法人永和耕莘醫院,02-29286060,新北市永和區中興街80號Ｂ1-7樓、國光路123號Ｂ3-11樓,V,V
107,1531031278,地區醫院,永和復康醫院,02-29240925,新北市永和區中和路575、577、579號1至4樓,V,V
108,2331030018,衛生所,新北市永和區衛生所,02-32332780,新北市永和區秀朗路1段137號1、2、3樓,V,V
109,3531030077,診所,唐小兒科診所,02-29296170,新北市永和區中正路436，438號1，2樓,V,V
110,3531030264,診所,蕭正貴小兒科家庭醫學科診所,02-29428333,新北市永和區得和路198號,V,V
111,3531031289,診所,洪源裕小兒科診所,02-89266818,新北市永和區竹林路181號1、2樓,V,V
112,3531031878,診所,博新小兒科家庭醫學科診所,02-32334150,新北市永和區仁愛路24號,V,V
113,3531031903,診所,長欣診所,02-22311663,新北市永和區文化路78號,V,V
114,3531033532,診所,文林診所,02-22323300,新北市永和區仁愛路15號1樓,V,
115,3531033827,診所,和安耳鼻喉科診所,02-29223000,新北市永和區中和路525號1樓,V,V
116,3531034020,診所,洪碩壎小兒科診所,02-29461171,新北市永和區中正路157號1樓,V,V
117,3531034066,診所,柯景馨診所,02-29275500,新北市永和區得和路307號1樓,V,
118,3531034413,診所,惠恩診所,02-29249333,新北市永和區保安路77號1樓,V,V
119,3531034459,診所,永平身心診所,02-29205660,新北市永和區中山路1段174號1樓,V,
120,3531034879,診所,杏日診所,02-29425936,新北市永和區中正路111號1、2樓,V,V
121,3531035134,診所,杏福診所,02-22320101,新北市永和區得和路289號1樓,V,V
122,5931030013,藥局,皇誼藥局,02-29278732,新北市永和區文化路33號,V,V
123,5931032759,藥局,友辰藥局,02-29267131,新北市永和區中正路380號1樓,V,V
124,5931033649,藥局,敦品民治藥局,02-29494150,新北市永和區民治街81號1樓,V,V
125,5931033676,藥局,九州藥局,02-29226879,新北市永和區自由街5號1樓,V,V
126,5931033989,藥局,悠活藥局,02-31516288,新北市永和區得和路330號1樓,V,V
127,5931034084,藥局,柏愛藥局,02-89285609,新北市永和區竹林路57號1樓,V,V
128,5931034502,藥局,德和便利藥局,02-89431417,新北市永和區得和路194號1樓,V,V
129,5931034717,藥局,樂華康之友藥局,02-22331499,新北市永和區中山路一段141號1樓,V,V
130,1331040513,醫學中心,衛生福利部雙和醫院（委託臺北醫學大學興建經營）,02-22490088,新北市中和區中正路291號,V,V
131,1531040259,地區醫院,中祥醫院,02-22405055,新北市中和區中山路2段138號2－4樓140號及142號,V,
132,2331040014,衛生所,新北市中和區衛生所,02-22491936,新北市中和區南山路4巷3號,V,V
133,3531040957,診所,中和李內科診所,02-22454776,新北市中和區景平路718號,V,V
134,3531041052,診所,家安診所,02-22475531,新北市中和區中山路2段248號,V,
135,3531041623,診所,吳嘉生診所,02-22462402,新北市中和區中和路190號1樓至3樓,V,V
136,3531042291,診所,雙怡診所,02-29466112,新北市中和區華新街49號,V,V
137,3531042344,診所,南勢角復健診所,02-29477360,新北市中和區景安路207號2樓,V,V
138,3531042399,診所,慧禮診所,02-89421028,新北市中和區自立路159號1樓,V,V
139,3531044491,診所,嘉仁診所,02-29521878,新北市中和區華順街132號1樓,V,V
140,3531044535,診所,唯安診所,02-29479165,新北市中和區景新街455號1、2樓,V,V
141,3531044642,診所,佳和診所,02-22475588,新北市中和區光華街7號1樓,V,V
142,3531045532,診所,捷安診所,02-22331117,新北市中和區中和路456號1樓、2樓,V,V
143,3531045765,診所,凱程診所,02-22231868,新北市中和區員山路150之8號1樓,V,V
144,3531046253,診所,樂活精神科診所,02-29463655,新北市中和區安樂路25號1樓,V,
145,3531046271,診所,安祐診所,02-86681070,新北市中和區景新街401號2樓,V,V
146,3531046280,診所,健和診所,02-86681070,新北市中和區景新街401號1、2樓,V,
147,3531046566,診所,維發診所,02-29481089,新北市中和區華新街26號1樓,V,
148,3531046600,診所,通安診所,02-22433160,新北市中和區南山路45號1樓,V,V
149,3731042713,牙科診所,菁英牙醫診所,02-82423466,新北市中和區景平路524號,V,
150,3731043783,牙科診所,東陽牙醫診所,02-29264055,新北市中和區中和路440號1樓、2樓,V,
151,5931040055,藥局,瑞發藥局,02-22235319,新北市中和區民享街56－1號,V,V
152,5931040215,藥局,華新藥局,02-29448345,新北市中和區華新街73號,V,V
153,5931040297,藥局,信隆大藥局,02-29426196,新北市中和區安樂路6號1至2樓,V,V
154,5931040733,藥局,日發藥局,02-29424926,新北市中和區興南路2段52－4號,V,V
155,5931044133,藥局,康富力藥局,02-29429896,新北市中和區仁愛街32號1樓,V,V
156,5931044393,藥局,躍獅康銓藥局,02-29646452,新北市中和區莒光路146號1樓,V,V
157,5931044642,藥局,貞心藥局,02-29203865,新北市中和區永貞路280之1號1樓,V,V
158,5931044875,藥局,誼安健業藥局,02-86600058,新北市中和區宜安路118巷20號1樓,V,V
159,5931045729,藥局,力賀藥局,02-22473247,新北市中和區連城路7號1樓,V,V
160,1131130018,區域醫院,新北市立土城醫院（委託長庚醫療財團法人興建經營）,02-22630588,新北市土城區金城路2段6號,V,V
161,1531130052,地區醫院,廣川醫院,02-22617000,新北市土城區裕民路274、276、278號,V,V
162,2331130013,衛生所,新北市土城區衛生所,02-22603181,新北市土城區和平路26號1、2樓,V,V
163,3531130125,診所,秀偉小兒科診所,02-22620555,新北市土城區金城路2段380號,V,V
164,3531130358,診所,賴家庭醫學科診所,02-22624309,新北市土城區中央路1段169號1樓,V,V
165,3531130483,診所,土城診所,02-22603307,新北市土城區中央路2段177巷22號1樓,V,V
166,3531130634,診所,蔡永福小兒科診所,02-22669887,新北市土城區金城路3段176－1號1樓,V,V
167,3531130750,診所,張國樑診所,02-22739989,新北市土城區學府路1段72號1樓,V,V
168,3531130812,診所,廣全診所,02-22625736,新北市土城區學成路2號1、2樓,V,V
169,3531131140,診所,泰康診所,02-22636123,新北市土城區中央路2段238號,V,V
170,3531133064,診所,頂埔中心診所,02-22671382,新北市土城區中央路4段286號1樓,V,V
171,3531133171,診所,裕安診所,02-22613300,新北市土城區裕民路131號1樓,V,V
172,3531133331,診所,廣益診所,02-89662262,新北市土城區廣明街56號1樓,V,V
173,3531133368,診所,博盛耳鼻喉科診所,02-22622331,新北市土城區立德路66、68號1樓,V,V
174,3531133402,診所,博聖診所,02-22622331,新北市土城區立德路66、68號1樓,V,V
175,3531133475,診所,博勝診所,02-22622331,新北市土城區立德路66、68號1樓,V,V
176,3531133644,診所,土城中央診所,02-22748499,新北市土城區中央路2段219號1樓,V,V
177,3531133715,診所,瑞明診所,02-89663353,新北市土城區廣明街63巷2弄1號1樓,V,V
178,3531133804,診所,延和祥恩診所,02-22731129,新北市土城區延和路92號1樓,V,V
179,3531133813,診所,康城診所,02-82732660,新北市土城區中正路152號,V,V
180,3531133868,診所,同心學府診所,02-77179713,新北市土城區學府路二段351號1、2樓、353號1樓,V,V
181,5931130349,藥局,祥發藥局,02-22655056,新北市土城區青雲路255號,V,V
182,5931132601,藥局,吉城大藥局,02-22626870,新北市土城區學府路1段205號1樓,V,V
183,5931133019,藥局,學府松藥局,02-82628665,新北市土城區學府路一段38號1、2樓,V,V
184,5931133206,藥局,樂利藥局,02-22630092,新北市土城區裕民路77號1樓,V,V
185,5931133797,藥局,欣?藥局,02-82617996,新北市土城區學士路423號1樓,V,V
186,1131090019,區域醫院,行天宮醫療志業醫療財團法人恩主公醫院,02-26723456,新北市三峽區復興路399號、中山路198、258號,V,V
187,2331090014,衛生所,新北市三峽區衛生所,02-26711592,新北市三峽區光明路71號3樓,V,V
188,3531090055,診所,主恩診所,02-26714328,新北市三峽區大同路98－2號1樓,V,V
189,3531091838,診所,如原診所,02-26713119,新北市三峽區文化路264－1號1樓,V,V
190,3531092102,診所,星龍耳鼻喉科診所,02-26711676,新北市三峽區國際一街5號1樓,V,V
191,5931091623,藥局,兆康藥局,02-26717875,新北市三峽區中華路22號1樓,V,V
192,5931091829,藥局,有新藥局,02-26710769,新北市三峽區學勤路18號1樓,V,V
193,5931092291,藥局,桔子藥局,02-86720186,新北市三峽區大德路186號1樓,V,V
194,1531071030,地區醫院,仁愛醫院,02-26834567,新北市樹林區文化街9號,V,V
195,2331070012,衛生所,新北市樹林區衛生所,02-26812134,新北市樹林區樹新路40－7號1、2樓,V,V
196,3531070820,診所,樹林泰新診所,02-26874410,新北市樹林區中山路1段30號,V,
197,3531072306,診所,安泰診所,02-26831199,新北市樹林區中山路1段123號1、2、3、4樓,V,V
198,3531072379,診所,大樹診所,02-26818919,新北市樹林區鎮前街19號、19之1號1樓、21號2樓,V,V
199,3531072468,診所,信和診所,02-26822100,新北市樹林區博愛街178號1、2樓,V,V
200,3531072477,診所,信和耳鼻喉科診所,02-26822100,新北市樹林區博愛街178號1、2樓,V,
201,3531072575,診所,樹林金鶯診所,02-86850096,新北市樹林區中華路124號1樓,V,V
202,3531072619,診所,欣悅親子耳鼻喉科診所,02-26686322,新北市樹林區學府路296號1樓,V,V
203,5931070044,藥局,正宜藥局,02-26805678,新北市樹林區佳園路1段39號,V,V
204,5931070053,藥局,仁一藥局,02-26893915,新北市樹林區中正路622號,V,V
205,5931071774,藥局,澤安藥師藥局,02-26872764,新北市樹林區保安二街26號1樓,V,V
206,5931072039,藥局,樹林藥師藥局,02-26823030,新北市樹林區鎮前街24號1樓,V,V
207,5931072217,藥局,協興藥局,02-86851736,新北市樹林區東華街89號1樓,V,V
208,2331080018,衛生所,新北市鶯歌區衛生所,02-26702304,新北市鶯歌區文化路389號,V,V
209,3531080200,診所,崇文診所,02-26783366,新北市鶯歌區國慶街141號,V,V
210,3531080433,診所,康健家庭醫學科診所,02-26788558,新北市鶯歌區建國路231號,V,V
211,3531081494,診所,慈德聯合診所,02-26772600,新北市鶯歌區國慶街151號1樓,V,V
212,5931081618,藥局,美運寶中西藥局,02-86777773,新北市鶯歌區永和街56巷4號1樓,V,V
213,0131020016,區域醫院,新北市立聯合醫院,02-29829111,新北市三重區新北大道1段3號、3之1號、板橋區英士路198號,V,V
214,1531021165,地區醫院,三重中興醫院,02-29959680,新北市三重區中興北街21號,V,V
215,1531021192,地區醫院,宏仁醫院,02-29788877,新北市三重區水漾路一段一五八號,V,V
216,2331020012,衛生所,新北市三重區衛生所,02-29825233,新北市三重區新北大道1段1號,V,V
217,3531020884,診所,洪文武診所,02-29765731,新北市三重區集美街162號1樓,V,V
218,3531021505,診所,重仁診所,02-29958283,新北市三重區重新路5段592號1樓,V,V
219,3531022226,診所,九如聯合診所,02-28575600,新北市三重區仁愛街753號1樓,V,V
220,3531022771,診所,佳仁診所,02-29741152,新北市三重區中正南路5號,V,V
221,3531022815,診所,吳英芳診所,02-29755521,新北市三重區龍門路161號,V,V
222,3531024239,診所,簡修平診所,02-89825506,新北市三重區正義北路300號之3,V,V
223,3531024462,診所,德河聯合診所,02-89851515,新北市三重區重陽路3段115號1樓、117號1－4樓,V,
224,3531024668,診所,集美診所,02-29775177,新北市三重區集美街174－1號,V,V
225,3531025003,診所,安禾診所,02-29820632,新北市三重區田安里中華路89號1樓,V,V
226,3531025156,診所,洋基耳鼻喉科診所,02-89810900,新北市三重區正義北路288號1樓,V,V
227,3531025290,診所,明安耳鼻喉科診所,02-29862228,新北市三重區正義北路54、56號1．2樓,V,V
228,3531025307,診所,詹益智耳鼻喉科診所,02-29859589,新北市三重區重陽路４段６號１樓,V,V
229,3531025389,診所,重新診所,02-29765868,新北市三重區重新路2段150號1、2樓,V,V
230,3531025469,診所,張必正診所,02-89726657,新北市三重區重新路三段66號1樓,V,V
231,3531025530,診所,李瑞相診所,02-29826632,新北市三重區中華路89號1樓,V,V
232,3531025610,診所,健福診所,02-89851660,新北市三重區溪尾街171、173號1樓,V,V
233,3531025709,診所,康新診所,02-29865982,新北市三重區正義北路185號1樓、2樓,V,
234,3531025718,診所,康歆診所,02-29865982,新北市三重區正義北路185號1樓、2樓,V,
235,3531025790,診所,康昕診所,02-29865982,新北市三重區正義北路185號1、2樓,V,V
236,3531025889,診所,宏生診所,02-29819948,新北市三重區五華街72號1樓,V,V
237,3531026260,診所,正和診所,02-29828828,新北市三重區正義北路278號1樓,V,V
238,3531026420,診所,皇嘉耳鼻喉科診所,02-28579666,新北市三重區五華街247號1樓,V,V
239,3531026680,診所,培力佳診所,02-29834012,新北市三重區自強路三段67號1樓,V,V
240,3531026797,診所,天亮診所,02-89813431,新北市三重區中正北路314號1樓,V,V
241,3531026859,診所,禾順診所,02-29780087,新北市三重區文化北路3號1樓,V,V
242,3531026911,診所,良安診所,02-29743698,新北市三重區重新路３段３４號,V,V
243,3531026920,診所,保順皮膚科家醫科診所,02-29710719,新北市三重區正義北路５號,V,V
244,3731022971,牙科診所,威登牙醫診所,02-29813233,新北市三重區忠孝路3段32號1．2樓,V,
245,5931020446,藥局,玉美藥局,02-22879836,新北市三重區力行路2段136巷49弄2號,V,V
246,5931020624,藥局,新英藥師藥局,02-29824840,新北市三重區雙園街37號,V,V
247,5931024588,藥局,陽光藥師藥局,02-29788120,新北市三重區三和路2段182號1樓,V,V
248,5931024711,藥局,臻燿藥局,02-29724765,新北市三重區集美街150號1樓,V,V
249,5931025889,藥局,親鄰藥局,02-29760012,新北市三重區福德北路43號1樓,V,V
250,5931025905,藥局,出雲藥局,02-29842559,新北市三重區正義北路272號1樓,V,V
251,5931026359,藥局,專品先嗇宮藥局,02-85124658,新北市三重區光復路1段47號1樓,V,V
252,0131060010,地區醫院,衛生福利部樂生療養院,02-82006600,新北市新莊區中正路794號及桃園縣龜山鄉萬壽路1段50巷2號,V,V
253,0131060029,區域醫院,衛生福利部臺北醫院,02-22765566#1205,新北市新莊區思源路127號、新北巿新莊區長春街6號2樓、3樓,V,V
254,2331060016,衛生所,新北市新莊區衛生所,02-29967123,新北市新莊區中華路1段2號1至4樓,V,V
255,3531060459,診所,陳桔泱診所,02-29931161,新北市新莊區中港路119號,V,V
256,3531060511,診所,德安婦產科診所,02-22010706,新北市新莊區新泰路31號1－2樓,V,V
257,3531060995,診所,陳世昌婦產科診所,02-22066020,新北市新莊區後港一路98號1樓及100號1至2樓,V,V
258,3531061278,診所,聯安診所,02-29986191,新北市新莊區中正路302號1樓,V,V
259,3531061643,診所,祐幼小兒科診所,02-22030993,新北市新莊區民安西路21號1樓,V,V
260,3531061769,診所,幸福呂耳鼻喉科診所,02-29906923,新北市新莊區幸福路529號,V,V
261,3531061876,診所,新莊徐耳鼻喉科診所,02-29907505,新北市新莊區中平路373號1樓,V,V
262,3531061929,診所,林定參診所,02-22070390,新北市新莊區民安西路211號1樓,V,V
263,3531061983,診所,健佑診所,02-29900713,新北市新莊區昌平街55號1樓,V,
264,3531062195,診所,林復森耳鼻喉科診所,02-22011378,新北市新莊區民安路220號,V,V
265,3531063389,診所,青青診所,02-29980055,新北市新莊區中平路50號1樓,V,V
266,3531063594,診所,沈耳鼻喉科診所,02-29016119,新北市新莊區富國路67號1樓,V,V
267,3531064466,診所,佳泰診所,02-29945902,新北市新莊區文衡里新泰路62號,V,
268,3531064617,診所,家泰耳鼻喉科診所,02-29945994,新北市新莊區新泰路70號1樓,V,
269,3531065123,診所,志安診所,02-22769455,新北市新莊區幸福路521號,V,V
270,3531065221,診所,和新診所,02-22071315,新北市新莊區八德街3號1樓,V,V
271,3531065294,診所,晉安診所,02-29061510,新北市新莊區中正路700之24號1樓、2樓,V,V
272,3531065392,診所,合新診所,02-22071315,新北市新莊區八德街3號1樓,V,V
273,3531065507,診所,禾新耳鼻喉科診所,02-22071315,新北市新莊區八德街3號1樓,V,V
274,3531065669,診所,恩典診所,02-22072001,新北市新莊區後港一路55號1樓,V,
275,3531065794,診所,自立診所,02-89925770,新北市新莊區中港一街52號1樓,V,V
276,3531065927,診所,明新診所,02-22043466,新北市新莊區建安街109號1樓,V,V
277,3531065945,診所,昌明耳鼻喉科診所,02-89920100,新北市新莊區昌明街80號1樓,V,V
278,3531066004,診所,中平耳鼻喉科診所,02-29977307,新北市新莊區中平路29號1樓．31號2樓．33號2樓,V,V
279,3531066095,診所,璟順骨科診所,02-22760330,新北市新莊區復興路2段131號1樓、135號1樓,V,
280,3531066139,診所,家福診所,02-29942300,新北市新莊區福壽街67號1、2樓,V,
281,3531066148,診所,家慈診所,02-29942300,新北市新莊區福壽街67號1、2樓,V,V
282,3531066273,診所,寶祥診所,02-29960303,新北市新莊區中平路53號1樓至2樓,V,V
283,3531066415,診所,家貞診所,02-29942300,新北市新莊區福壽街67號1、2樓,V,V
284,3531066433,診所,軒禾診所,02-29066999,新北市新莊區天祥街114號1樓及夾層,V,V
285,3531066737,診所,宜新診所,02-85221606,新北市新莊區中原東路62號1樓,V,V
286,3531066988,診所,輔大診所,02-29052526,新北市新莊區中正路510號（醫學綜合大樓1樓）,V,V
287,3531067038,診所,鉅儒診所,02-22057193,新北市新莊區西盛街180號1樓,V,V
288,3531067136,診所,好心情身心精神科診所,02-29965868,新北市新莊區復興路2段10號1樓,V,V
289,5931060557,藥局,一安藥局,02-29941618,新北市新莊區立德里新泰路268號,V,V
290,5931067109,藥局,揚明藥師藥局,02-29921473,新北市新莊區中港路173號1樓,V,V
291,5931069792,藥局,宏泰藥局,02-29988595,新北市新莊區自信街37號1樓,V,V
292,593106A922,藥局,德翰藥局,02-22025576,新北市新莊區四維路171巷1、3號1樓,V,V
293,593106A995,藥局,美德心藥局,02-29989025,新北市新莊區中平路367號1樓,V,V
294,593106B027,藥局,樂福藥局,02-29923388,新北市新莊區幸福路48號1樓、幸福路64巷2弄16號1樓,V,V
295,593106B385,藥局,新莊大藥局,02-29978268,新北市新莊區福壽街130號1樓,V,V
296,593106B787,藥局,微笑埔銓藥局,02-29901680,新北市新莊區中平路77號,V,V
