行政區,醫療院所名稱,地址,緯度,經度,聯絡電話,緯度.1,經度.1,district
63000080,徐慧玲診所,臺北市文山區興隆路4段99號,24.9882776,121.5604919,02-22340000,24.9882776,121.5604919,文山區
63000080,臺北市立聯合醫院附設政大門診部,臺北市文山區指南路二段117號,24.9876129,121.5765374,02-82377441,24.9876129,121.5765374,文山區
63000080,葉洪小兒科診所,臺北市文山區興隆路三段202號,24.9977567,121.5589315,02-22300055,24.9977567,121.5589315,文山區
63000080,泓仁診所,臺北市文山區木新路2段273號,24.982888,121.566105,02-29382627,24.982888,121.566105,文山區
63000080,仁荔健康診所,臺北市文山區興隆路一段258號1樓,24.9984458,121.5449358,02-29339986,24.9984458,121.5449358,文山區
63000080,林建輝小兒科診所,臺北市文山區興隆路二段70號1F,24.9997064,121.5479708,02-29334933,24.9997064,121.5479708,文山區
63000090,蔣小兒科診所,臺北市南港區玉成街166巷30號1樓,25.0439359,121.583312,02-26515960,25.0439359,121.583312,南港區
63000090,李文珍小兒科診所,臺北市南港區研究院路2段74號,25.0455491,121.6151031,02-26511871,25.0455491,121.6151031,南港區
63000090,臺北市立聯合醫院附設南港門診部,臺北市南港區南港路一段360號,25.0547158,121.6068266,02-27868756,25.0547158,121.6068266,南港區
63000090,永育醫療福德診所,臺北市南港區福德街320-2號,25.03957,121.588095,02-27850700,25.03957,121.588095,南港區
63000100,永育醫療康樂診所,臺北市內湖區康樂街82號,25.070294,121.618846,02-26308800,25.070294,121.618846,內湖區
63000100,永育醫療大湖診所,臺北市內湖區成功路四段366 號,25.0848303,121.6004361,02-27906002,25.0848303,121.6004361,內湖區
63000100,佳霖診所,臺北市內湖區東湖路147 號2 樓,25.0681719,121.6172215,02-26334535,25.0681719,121.6172215,內湖區
63000100,中國醫藥大學附設醫院臺北分院,臺北市內湖區內湖路二段360號,25.082146,121.5907328,02-27919696,25.082146,121.5907328,內湖區
63000100,日新診所,臺北市內湖區成功路五段446號1樓,25.0747932,121.6072004,02-26342743,25.0747932,121.6072004,內湖區
63000100,國泰醫療財團法人內湖國泰診所,臺北市內湖區瑞光路337號,25.0778823,121.5754083,02-87972121,25.0778823,121.5754083,內湖區
63000100,焉醫師診所,臺北市內湖區內湖路二段21號,25.0788586,121.5795351,02-27995008,25.0788586,121.5795351,內湖區
63000100,高峰診所,臺北市內湖區內湖路二段39號,25.0789689,121.5799027,02-2659-1888,25.0789689,121.5799027,內湖區
63000100,魏穀年診所,臺北市內湖區內湖路1段403號,25.0823089,121.5683655,02-26572024,25.0823089,121.5683655,內湖區
63000100,新明診所,臺北市內湖區新明路386號,25.0548379,121.5803312,02-22741127,25.0548379,121.5803312,內湖區
63000100,康寧醫療財團法人康寧醫院,臺北市內湖區成功路5段420巷26號,25.0756867,121.608877,02-26345500,25.0756867,121.608877,內湖區
63000100,仁弘耳鼻喉科診所,臺北市內湖區內湖路一段737巷50弄37號1樓,25.0806835,121.578434,02-26596360,25.0806835,121.578434,內湖區
63000100,臺北市立聯合醫院附設內湖門診部,臺北市內湖區民權東路六段99號1F,25.0692307,121.5890989,02-27908387,25.0692307,121.5890989,內湖區
63000100,誠康診所,臺北市內湖區內湖路1段585號,25.0823089,121.5683655,02-26572585,25.0823089,121.5683655,內湖區
63000100,瑞康診所,臺北市內湖區江南街96巷3號,25.0772496,121.5768317,02-26599691,25.0772496,121.5768317,內湖區
63000100,麗康診所,臺北市內湖區金湖路362號,25.0736854,121.6042362,02-26342296,25.0736854,121.6042362,內湖區
63000100,三軍總醫院附設民眾診療服務處,臺北市內湖區成功路2段325號,25.0733691,121.5959272,02-87923311,25.0733691,121.5959272,內湖區
63000110,臺北市立聯合醫院附設士林門診部,臺北市士林區中正路439號,25.0928085,121.5197824,02-28836268,25.0928085,121.5197824,士林區
63000110,愛林診所,臺北市士林區承德路4段222號之1(之2),25.0884766,121.5215108,02-28836881,25.0884766,121.5215108,士林區
63000110,張虔熙小兒科診所,臺北市士林區中山北路6段282號,25.1101049,121.5256499,02-28361368,25.1101049,121.5256499,士林區
63000110,科安診所,臺北市士林區社中街116號,25.0898456,121.5104206,02-28110699,25.0898456,121.5104206,士林區
63000110,樹爸爸親子診所,臺北市士林區德行東路286號,25.1099779,121.5360119,02-28381838,25.1099779,121.5360119,士林區
63000110,耀明診所,臺北市士林區中正路322號,25.0947475,121.5225939,02-28320657,25.0947475,121.5225939,士林區
63000110,新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路95號,25.0964085,121.520938,02-28332211,25.0964085,121.520938,士林區
63000110,士林欣然耳鼻喉科診所,臺北市士林區文林路450號,25.0954216,121.5246379,02-28386090,25.0954216,121.5246379,士林區
63000120,李伯匯小兒科診所,臺北市北投區石牌路1段93號,25.1133685,121.510814,02-28221212,25.1133685,121.510814,北投區
63000120,宏恩兒科診所,臺北市北投區致遠一路2段99號,25.1128924,121.5129316,02-28271110,25.1128924,121.5129316,北投區
63000120,張參雄診所,臺北市北投區光明路166-1號,25.1350276,121.5026804,02-28926555,25.1350276,121.5026804,北投區
63000120,臺北榮民總醫院,臺北市北投區石牌路2段201號,25.1208483,121.5227627,02-28757576,25.1208483,121.5227627,北投區
63000120,昱德聯合診所,臺北市北投區光明路102號,25.1330638,121.5012176,02-28975050,25.1330638,121.5012176,北投區
63000120,臺北市立聯合醫院附設北投門診部,臺北市北投區新市街30號5樓,25.1328136,121.5026592,02-28912670,25.1328136,121.5026592,北投區
63000120,振興醫療財團法人振興醫院,臺北市北投區振興路45號,25.1151759,121.515018,02-28264400,25.1151759,121.515018,北投區
63000120,台北欣安耳鼻喉科診所,臺北市北投區石牌路一段152號,25.1142258,121.5131469,02-28210501,25.1142258,121.5131469,北投區
63000120,臺北市立關渡醫院-委託臺北榮民總醫院經營,臺北市北投區知行路225巷12號,25.1206037,121.4661496,02-28587000,25.1206037,121.4661496,北投區
